Test Case: A100SXM_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       4.81       |       4.83        |       4.86       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.56%        |        0.56%         |     2.67%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       6.35       |       6.37        |       6.4        |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.85%        |        0.85%         |     4.05%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       9.11       |       9.14        |       9.16       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.18%        |        1.18%         |     5.65%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      14.49       |       14.51       |      14.54       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.48%        |        1.48%         |     7.1%      |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      25.29       |       25.31       |      25.34       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.7%         |         1.7%         |     8.13%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |       46.9       |       46.92       |      46.95       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.83%        |        1.83%         |     8.77%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      92.06       |       92.13       |      92.21       |       12.29        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.87%        |        1.87%         |     8.94%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       3.48       |        3.5        |       3.53       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       3.58       |       3.61        |       3.64       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       3.58       |       3.63        |       3.69       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.01%        |        0.01%         |     0.03%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       3.58       |       3.61        |       3.64       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.06%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       3.64       |       3.66        |       3.69       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.11%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       3.69       |       3.71        |       3.74       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.05%        |        0.05%         |     0.22%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       3.69       |       3.74        |       3.79       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.09%        |        0.09%         |     0.44%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       3.84       |       3.87        |       3.89       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.18%        |        0.18%         |     0.84%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       3.94       |       3.97        |       3.99       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.34%        |        0.34%         |     1.63%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       4.25       |       4.28        |       4.3        |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.63%        |        0.63%         |     3.03%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       4.81       |       4.84        |       4.86       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        1.12%        |        1.12%         |     5.35%     |
