Test Case: A100SXM_aten_bmm
|  B  |  M   |  K   |  N   |              input_shape               | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 128 |  1   |  32  | 2048 |    [[128, 1, 32], [128, 32, 2048]]     | bf16  |      18.94       |       19.04       |       19.1       |       12.61        | 1.68e+07 | 8.65e+06 |      0.28%       |    44.82%     |
|  1  |  64  |  32  | 2048 |      [[1, 64, 32], [1, 32, 2048]]      | bf16  |      21.04       |       21.32       |      21.71       |        2.24        | 8.39e+06 | 1.99e+05 |      0.13%       |     0.93%     |
|  8  |  64  |  32  | 2048 |      [[8, 64, 32], [8, 32, 2048]]      | bf16  |       21.2       |       21.38       |      21.56       |        3.95        | 6.71e+07 | 1.59e+06 |      1.01%       |     7.35%     |
| 128 |  64  |  32  | 2048 |    [[128, 64, 32], [128, 32, 2048]]    | bf16  |      61.64       |       61.75       |      61.85       |       33.18        | 1.07e+09 | 2.54e+07 |      5.58%       |    40.46%     |
|  1  | 1024 |  32  | 2048 |     [[1, 1024, 32], [1, 32, 2048]]     | bf16  |       19.2       |       19.35       |      19.61       |        4.69        | 1.34e+08 | 2.20e+06 |      2.24%       |    11.22%     |
|  8  | 1024 |  32  | 2048 |     [[8, 1024, 32], [8, 32, 2048]]     | bf16  |      60.57       |       60.6        |      60.67       |       23.53        | 1.07e+09 | 1.76e+07 |      5.68%       |    28.44%     |
| 128 | 1024 |  32  | 2048 |   [[128, 1024, 32], [128, 32, 2048]]   | bf16  |      833.13      |      833.19       |      833.33      |       346.55       | 1.72e+10 | 2.81e+08 |      6.61%       |    33.09%     |
|  1  |  1   | 3072 | 2048 |    [[1, 1, 3072], [1, 3072, 2048]]     | bf16  |      22.89       |       23.01       |      23.14       |        9.72        | 1.26e+07 | 6.30e+06 |      0.18%       |    26.98%     |
|  8  |  1   | 3072 | 2048 |    [[8, 1, 3072], [8, 3072, 2048]]     | bf16  |      84.02       |       84.17       |      84.48       |       63.76        | 1.01e+08 | 5.04e+07 |      0.38%       |    58.81%     |
| 128 |  1   | 3072 | 2048 |  [[128, 1, 3072], [128, 3072, 2048]]   | bf16  |     1092.81      |      1095.72      |     1099.01      |       990.18       | 1.61e+09 | 8.06e+08 |      0.47%       |    72.34%     |
|  1  |  64  | 3072 | 2048 |    [[1, 64, 3072], [1, 3072, 2048]]    | bf16  |      22.32       |       22.58       |      22.89       |       10.12        | 8.05e+08 | 6.62e+06 |      11.56%      |    29.09%     |
|  8  |  64  | 3072 | 2048 |    [[8, 64, 3072], [8, 3072, 2048]]    | bf16  |      88.42       |       88.68       |      88.93       |       66.93        | 6.44e+09 | 5.30e+07 |      23.35%      |    58.74%     |
| 128 |  64  | 3072 | 2048 |  [[128, 64, 3072], [128, 3072, 2048]]  | bf16  |     1201.87      |      1209.12      |     1213.54      |      1040.81       | 1.03e+11 | 8.47e+08 |      27.49%      |    69.15%     |
|  1  | 1024 | 3072 | 2048 |   [[1, 1024, 3072], [1, 3072, 2048]]   | bf16  |      83.56       |       83.63       |      83.71       |       47.89        | 1.29e+10 | 1.15e+07 |      49.42%      |    13.54%     |
|  8  | 1024 | 3072 | 2048 |   [[8, 1024, 3072], [8, 3072, 2048]]   | bf16  |      582.35      |       619.1       |      651.42      |       369.09       | 1.03e+11 | 9.23e+07 |      56.73%      |    15.54%     |
| 128 | 1024 | 3072 | 2048 | [[128, 1024, 3072], [128, 3072, 2048]] | bf16  |     6398.67      |      6441.41      |     6533.12      |      5875.46       | 1.65e+12 | 1.48e+09 |      82.61%      |    22.63%     |
|  1  |  1   | 8192 | 2048 |    [[1, 1, 8192], [1, 8192, 2048]]     | bf16  |      30.57       |       30.69       |      30.87       |       22.58        | 3.36e+07 | 1.68e+07 |      0.35%       |    53.86%     |
|  8  |  1   | 8192 | 2048 |    [[8, 1, 8192], [8, 8192, 2048]]     | bf16  |      207.41      |      207.51       |      207.62      |       166.66       | 2.68e+08 | 1.34e+08 |      0.41%       |    63.51%     |
| 128 |  1   | 8192 | 2048 |  [[128, 1, 8192], [128, 8192, 2048]]   | bf16  |     2992.69      |      2995.43      |     3004.06      |      2636.62       | 4.29e+09 | 2.15e+09 |      0.46%       |    70.43%     |
|  1  |  64  | 8192 | 2048 |    [[1, 64, 8192], [1, 8192, 2048]]    | bf16  |      34.15       |       34.26       |      34.41       |       23.37        | 2.15e+09 | 1.74e+07 |      20.16%      |    50.07%     |
|  8  |  64  | 8192 | 2048 |    [[8, 64, 8192], [8, 8192, 2048]]    | bf16  |      229.99      |      231.17       |      231.94      |       172.99       | 1.72e+10 | 1.39e+08 |      23.94%      |    59.48%     |
| 128 |  64  | 8192 | 2048 |  [[128, 64, 8192], [128, 8192, 2048]]  | bf16  |     3111.48      |      3113.08      |     3114.91      |      2737.86       | 2.75e+11 | 2.23e+09 |      28.32%      |    70.34%     |
|  1  | 1024 | 8192 | 2048 |   [[1, 1024, 8192], [1, 8192, 2048]]   | bf16  |      157.24      |       157.3       |      157.39      |       124.36       | 3.44e+10 | 2.73e+07 |      70.04%      |    17.01%     |
|  8  | 1024 | 8192 | 2048 |   [[8, 1024, 8192], [8, 8192, 2048]]   | bf16  |     1454.85      |      1612.27      |     1639.27      |       980.91       | 2.75e+11 | 2.18e+08 |      60.56%      |     14.7%     |
| 128 | 1024 | 8192 | 2048 | [[128, 1024, 8192], [128, 8192, 2048]] | bf16  |     20228.96     |     20497.81      |     20755.1      |      15664.56      | 4.40e+12 | 3.49e+09 |      69.68%      |    16.92%     |
|  1  |  1   |  32  | 8192 |      [[1, 1, 32], [1, 32, 8192]]       | bf16  |      19.71       |       19.98       |      20.28       |        2.33        | 5.24e+05 | 2.70e+05 |      0.01%       |     1.35%     |
|  8  |  1   |  32  | 8192 |      [[8, 1, 32], [8, 32, 8192]]       | bf16  |      20.84       |       21.26       |      21.66       |        4.65        | 4.19e+06 | 2.16e+06 |      0.06%       |    10.18%     |
| 128 |  1   |  32  | 8192 |    [[128, 1, 32], [128, 32, 8192]]     | bf16  |      74.29       |       74.37       |       74.5       |       44.43        | 6.71e+07 | 3.46e+07 |      0.29%       |    45.69%     |
|  1  |  64  |  32  | 8192 |      [[1, 64, 32], [1, 32, 8192]]      | bf16  |      20.74       |       20.99       |       21.4       |        2.97        | 3.36e+07 | 7.88e+05 |      0.52%       |     3.73%     |
|  8  |  64  |  32  | 8192 |      [[8, 64, 32], [8, 32, 8192]]      | bf16  |      19.25       |       19.32       |      19.51       |        9.73        | 2.68e+08 | 6.31e+06 |      4.47%       |    32.14%     |
| 128 |  64  |  32  | 8192 |    [[128, 64, 32], [128, 32, 8192]]    | bf16  |      172.75      |      173.18       |      173.82      |       125.74       | 4.29e+09 | 1.01e+08 |      7.97%       |    57.31%     |
|  1  | 1024 |  32  | 8192 |     [[1, 1024, 32], [1, 32, 8192]]     | bf16  |      30.16       |       30.25       |      30.31       |       12.65        | 5.37e+08 | 8.68e+06 |      5.71%       |    28.24%     |
|  8  | 1024 |  32  | 8192 |     [[8, 1024, 32], [8, 32, 8192]]     | bf16  |      128.77      |      128.92       |      129.02      |       87.17        | 4.29e+09 | 6.95e+07 |      10.69%      |    52.92%     |
| 128 | 1024 |  32  | 8192 |   [[128, 1024, 32], [128, 32, 8192]]   | bf16  |     1551.72      |      1596.02      |     1856.31      |      1364.79       | 6.87e+10 | 1.11e+09 |      14.19%      |    70.26%     |
|  1  |  1   | 3072 | 8192 |    [[1, 1, 3072], [1, 3072, 8192]]     | bf16  |       47.1       |       47.28       |      47.36       |       32.87        | 5.03e+07 | 2.52e+07 |      0.34%       |    52.43%     |
|  8  |  1   | 3072 | 8192 |    [[8, 1, 3072], [8, 3072, 8192]]     | bf16  |      295.27      |      295.69       |      295.88      |       248.96       | 4.03e+08 | 2.01e+08 |      0.44%       |    66.91%     |
| 128 |  1   | 3072 | 8192 |  [[128, 1, 3072], [128, 3072, 8192]]   | bf16  |     4349.34      |      4349.71      |     4350.11      |      3953.28       | 6.44e+09 | 3.22e+09 |      0.47%       |    72.68%     |
|  1  |  64  | 3072 | 8192 |    [[1, 64, 3072], [1, 3072, 8192]]    | bf16  |      49.15       |       49.37       |      49.51       |       33.74        | 3.22e+09 | 2.59e+07 |      21.01%      |    51.66%     |
|  8  |  64  | 3072 | 8192 |    [[8, 64, 3072], [8, 3072, 8192]]    | bf16  |      307.56      |      308.09       |      308.74      |       255.92       | 2.58e+10 | 2.07e+08 |      26.86%      |    66.05%     |
| 128 |  64  | 3072 | 8192 |  [[128, 64, 3072], [128, 3072, 8192]]  | bf16  |     4868.25      |      4869.27      |      4870.4      |      4064.65       | 4.12e+11 | 3.31e+09 |      27.15%      |    66.76%     |
|  1  | 1024 | 3072 | 8192 |   [[1, 1024, 3072], [1, 3072, 8192]]   | bf16  |      237.77      |      237.88       |      238.03      |       185.55       | 5.15e+10 | 3.67e+07 |      69.48%      |    15.14%     |
|  8  | 1024 | 3072 | 8192 |   [[8, 1024, 3072], [8, 3072, 8192]]   | bf16  |      1813.4      |      1821.69      |     1825.02      |      1470.36       | 4.12e+11 | 2.94e+08 |      72.88%      |    15.88%     |
| 128 | 1024 | 3072 | 8192 | [[128, 1024, 3072], [128, 3072, 8192]] | bf16  |     29387.98     |     29521.76      |     29650.43     |      23495.84      | 6.60e+12 | 4.70e+09 |      71.95%      |    15.68%     |
|  1  |  1   | 8192 | 8192 |    [[1, 1, 8192], [1, 8192, 8192]]     | bf16  |      110.34      |      110.66       |      111.0       |        84.3        | 1.34e+08 | 6.71e+07 |      0.39%       |    59.67%     |
|  8  |  1   | 8192 | 8192 |    [[8, 1, 8192], [8, 8192, 8192]]     | bf16  |      781.62      |      782.08       |      782.44      |       660.41       | 1.07e+09 | 5.37e+08 |      0.44%       |    67.39%     |
| 128 |  1   | 8192 | 8192 |  [[128, 1, 8192], [128, 8192, 8192]]   | bf16  |     12151.5      |     12154.02      |     12156.11     |      10536.61      | 1.72e+10 | 8.59e+09 |      0.45%       |    69.36%     |
|  1  |  64  | 8192 | 8192 |    [[1, 64, 8192], [1, 8192, 8192]]    | bf16  |      113.31      |      113.68       |      114.02      |       85.57        | 8.59e+09 | 6.82e+07 |      24.3%       |     59.0%     |
|  8  |  64  | 8192 | 8192 |    [[8, 64, 8192], [8, 8192, 8192]]    | bf16  |      780.75      |      781.62       |      783.62      |       670.54       | 6.87e+10 | 5.45e+08 |      28.21%      |     68.5%     |
| 128 |  64  | 8192 | 8192 |  [[128, 64, 8192], [128, 8192, 8192]]  | bf16  |     12564.07     |     12566.51      |     12569.34     |      10698.61      | 1.10e+12 | 8.72e+09 |      28.05%      |    68.11%     |
|  1  | 1024 | 8192 | 8192 |   [[1, 1024, 8192], [1, 8192, 8192]]   | bf16  |      677.58      |      677.72       |      677.84      |       491.45       | 1.37e+11 | 8.39e+07 |      65.01%      |    12.14%     |
|  8  | 1024 | 8192 | 8192 |   [[8, 1024, 8192], [8, 8192, 8192]]   | bf16  |     5053.95      |      5094.42      |     5131.37      |      3917.64       | 1.10e+12 | 6.71e+08 |      69.73%      |    13.02%     |
| 128 | 1024 | 8192 | 8192 | [[128, 1024, 8192], [128, 8192, 8192]] | bf16  |     83969.64     |      85023.8      |     86228.53     |      62652.24      | 1.76e+13 | 1.07e+10 |      67.15%      |    12.54%     |
