test case : A100SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 1, 64]]     |  bf16  |      10.34       |       10.37       |      10.39       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.25e-06      |      2.86e-06      |      4.63e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[1, 16, 3, 1, 64]]     |  bf16  |      10.19       |       10.21       |      10.24       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      7.13e-08      |      9.06e-08      |      1.47e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[2, 16, 3, 1, 64]]     |  bf16  |      10.24       |       10.25       |      10.29       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.42e-07      |      1.80e-07      |      2.92e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[4, 16, 3, 1, 64]]     |  bf16  |      10.29       |       10.31       |      10.34       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.83e-07      |      3.59e-07      |      5.81e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[8, 16, 3, 1, 64]]     |  bf16  |      10.29       |       10.32       |      10.34       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      5.65e-07      |      7.18e-07      |      1.16e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[16, 16, 3, 1, 64]]    |  bf16  |      10.29       |       10.34       |      10.34       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.13e-06      |      1.44e-06      |      2.32e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[32, 16, 3, 1, 64]]    |  bf16  |      10.39       |       10.42       |      10.44       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.24e-06      |      2.84e-06      |      4.60e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[1, 32, 3, 1, 64]]     |  bf16  |      10.24       |       10.27       |      10.29       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      7.10e-08      |      9.01e-08      |      1.46e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[2, 32, 3, 1, 64]]     |  bf16  |      10.24       |       10.28       |      10.34       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.42e-07      |      1.80e-07      |      2.92e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[4, 32, 3, 1, 64]]     |  bf16  |      10.29       |       10.36       |      10.39       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.83e-07      |      3.59e-07      |      5.81e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[8, 32, 3, 1, 64]]     |  bf16  |      10.34       |       10.36       |      10.39       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      5.62e-07      |      7.14e-07      |      1.16e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[16, 32, 3, 1, 64]]    |  bf16  |      10.34       |       10.36       |      10.39       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.12e-06      |      1.43e-06      |      2.31e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[32, 32, 3, 1, 64]]    |  bf16  |      10.39       |       10.44       |      10.50       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.24e-06      |      2.84e-06      |      4.60e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[1, 64, 3, 1, 64]]     |  bf16  |      10.39       |       10.41       |      10.44       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      6.99e-08      |      8.88e-08      |      1.44e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[2, 64, 3, 1, 64]]     |  bf16  |      10.39       |       10.44       |      10.50       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.40e-07      |      1.78e-07      |      2.88e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[4, 64, 3, 1, 64]]     |  bf16  |      10.50       |       10.53       |      10.60       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.77e-07      |      3.52e-07      |      5.70e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[8, 64, 3, 1, 64]]     |  bf16  |      10.55       |       10.58       |      10.60       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      5.51e-07      |      7.00e-07      |      1.13e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[16, 64, 3, 1, 64]]    |  bf16  |      10.50       |       10.54       |      10.55       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.11e-06      |      1.41e-06      |      2.28e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[32, 64, 3, 1, 64]]    |  bf16  |      10.60       |       10.63       |      10.65       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.19e-06      |      2.79e-06      |      4.52e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.15%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[1, 128, 3, 1, 64]]    |  bf16  |       9.68       |       9.68        |       9.73       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      7.51e-08      |      9.54e-08      |      1.55e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[2, 128, 3, 1, 64]]    |  bf16  |       9.73       |       9.75        |       9.78       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.49e-07      |      1.90e-07      |      3.07e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[4, 128, 3, 1, 64]]    |  bf16  |       9.83       |       9.85        |       9.88       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.96e-07      |      3.76e-07      |      6.08e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[8, 128, 3, 1, 64]]    |  bf16  |       9.78       |       9.82        |       9.83       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      5.95e-07      |      7.55e-07      |      1.22e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[16, 128, 3, 1, 64]]    |  bf16  |       9.83       |       9.87        |       9.88       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.18e-06      |      1.50e-06      |      2.43e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[32, 128, 3, 1, 64]]    |  bf16  |       9.93       |       9.99        |      10.04       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.34e-06      |      2.97e-06      |      4.82e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[1, 256, 3, 1, 64]]    |  bf16  |      13.47       |       13.49       |      13.57       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      5.40e-08      |      6.86e-08      |      1.11e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[2, 256, 3, 1, 64]]    |  bf16  |      13.52       |       13.55       |      13.62       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.08e-07      |      1.37e-07      |      2.21e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[4, 256, 3, 1, 64]]    |  bf16  |      13.57       |       13.61       |      13.67       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.14e-07      |      2.72e-07      |      4.41e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[8, 256, 3, 1, 64]]    |  bf16  |      13.62       |       13.66       |      13.67       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      4.27e-07      |      5.42e-07      |      8.78e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[16, 256, 3, 1, 64]]    |  bf16  |      13.67       |       13.69       |      13.72       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      8.51e-07      |      1.08e-06      |      1.75e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[32, 256, 3, 1, 64]]    |  bf16  |      13.93       |       13.96       |      13.98       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.67e-06      |      2.12e-06      |      3.44e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[1, 512, 3, 1, 64]]    |  bf16  |      15.31       |       15.32       |      15.36       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.75e-08      |      6.03e-08      |      9.77e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[2, 512, 3, 1, 64]]    |  bf16  |      15.26       |       15.32       |      15.36       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      9.53e-08      |      1.21e-07      |      1.96e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[4, 512, 3, 1, 64]]    |  bf16  |      15.82       |       15.86       |      15.87       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.84e-07      |      2.33e-07      |      3.78e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[8, 512, 3, 1, 64]]    |  bf16  |      20.43       |       20.47       |      20.48       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      2.85e-07      |      3.61e-07      |      5.86e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[16, 512, 3, 1, 64]]    |  bf16  |      20.74       |       20.81       |      20.84       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      5.61e-07      |      7.12e-07      |      1.15e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[32, 512, 3, 1, 64]]    |  bf16  |      32.10       |       32.18       |      32.26       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      7.25e-07      |      9.20e-07      |      1.49e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[1, 1024, 3, 1, 64]]    |  bf16  |      16.28       |       16.32       |      16.33       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.46e-08      |      5.67e-08      |      9.18e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[2, 1024, 3, 1, 64]]    |  bf16  |      19.40       |       19.45       |      19.51       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.49e-08      |      9.51e-08      |      1.54e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[4, 1024, 3, 1, 64]]    |  bf16  |      22.37       |       22.43       |      22.48       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.30e-07      |      1.65e-07      |      2.67e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[8, 1024, 3, 1, 64]]    |  bf16  |      34.66       |       34.70       |      34.76       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      1.68e-07      |      2.13e-07      |      3.45e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[16, 1024, 3, 1, 64]]   |  bf16  |      45.98       |       46.05       |      46.13       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      2.53e-07      |      3.21e-07      |      5.20e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[32, 1024, 3, 1, 64]]   |  bf16  |      62.11       |       62.41       |      62.72       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      3.75e-07      |      4.76e-07      |      7.70e-07       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 4, 64]]     |  bf16  |       9.16       |       9.19        |       9.22       |       2.00        |  [112]   |    [2048, 2048]    |   [16]    |      1.27e-06      |      1.61e-06      |      2.61e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 4, 64]]     |  bf16  |       9.16       |       9.20        |       9.22       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      2.54e-06      |      3.22e-06      |      5.22e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 4, 64]]     |  bf16  |       9.16       |       9.19        |       9.22       |       2.01        |  [448]   |    [8192, 8192]    |   [64]    |      5.08e-06      |      6.45e-06      |      1.04e-05       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 4, 64]]     |  bf16  |       9.27       |       9.27        |       9.32       |       2.02        |  [896]   |   [16384, 16384]   |   [128]   |      1.00e-05      |      1.27e-05      |      2.07e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 4, 64]]     |  bf16  |       9.37       |       9.41        |       9.47       |       2.04        |  [1792]  |   [32768, 32768]   |   [256]   |      1.99e-05      |      2.52e-05      |      4.09e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 4, 64]]     |  bf16  |      12.49       |       12.53       |      12.54       |       2.08        |  [3584]  |   [65536, 65536]   |   [512]   |      2.98e-05      |      3.78e-05      |      6.13e-05       |  6.60e+04  |       0.00%        |       0.00%        |        0.01%        |    0.52%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 4, 64]]     |  bf16  |      10.29       |       10.33       |      10.34       |       2.00        |  [112]   |    [2048, 2048]    |   [16]    |      1.13e-06      |      1.44e-06      |      2.32e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 4, 64]]     |  bf16  |      10.24       |       10.31       |      10.34       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      2.27e-06      |      2.88e-06      |      4.67e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 4, 64]]     |  bf16  |      10.29       |       10.33       |      10.34       |       2.01        |  [448]   |    [8192, 8192]    |   [64]    |      4.52e-06      |      5.74e-06      |      9.30e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 4, 64]]     |  bf16  |      10.34       |       10.41       |      10.44       |       2.02        |  [896]   |   [16384, 16384]   |   [128]   |      9.00e-06      |      1.14e-05      |      1.85e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[16, 4, 3, 4, 64]]     |  bf16  |      10.44       |       10.53       |      10.60       |       2.04        |  [1792]  |   [32768, 32768]   |   [256]   |      1.78e-05      |      2.26e-05      |      3.67e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    0.31%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[32, 4, 3, 4, 64]]     |  bf16  |      13.72       |       13.78       |      13.82       |       2.08        |  [3584]  |   [65536, 65536]   |   [512]   |      2.71e-05      |      3.44e-05      |      5.58e-05       |  6.60e+04  |       0.00%        |       0.00%        |        0.01%        |    0.47%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[1, 8, 3, 4, 64]]     |  bf16  |      10.24       |       10.31       |      10.39       |       2.00        |  [112]   |    [2048, 2048]    |   [16]    |      1.14e-06      |      1.44e-06      |      2.34e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[2, 8, 3, 4, 64]]     |  bf16  |      10.24       |       10.32       |      10.39       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      2.27e-06      |      2.88e-06      |      4.67e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[4, 8, 3, 4, 64]]     |  bf16  |      10.24       |       10.28       |      10.29       |       2.01        |  [448]   |    [8192, 8192]    |   [64]    |      4.54e-06      |      5.77e-06      |      9.35e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[8, 8, 3, 4, 64]]     |  bf16  |      10.34       |       10.40       |      10.44       |       2.02        |  [896]   |   [16384, 16384]   |   [128]   |      9.00e-06      |      1.14e-05      |      1.85e-05       |  1.69e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[16, 8, 3, 4, 64]]     |  bf16  |      10.50       |       10.55       |      10.60       |       2.04        |  [1792]  |   [32768, 32768]   |   [256]   |      1.77e-05      |      2.25e-05      |      3.65e-05       |  3.33e+04  |       0.00%        |       0.00%        |        0.00%        |    0.31%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 4, 64]]     |  bf16  |      13.77       |       13.80       |      13.88       |       2.08        |  [3584]  |   [65536, 65536]   |   [512]   |      2.70e-05      |      3.43e-05      |      5.56e-05       |  6.60e+04  |       0.00%        |       0.00%        |        0.01%        |    0.47%     |
