Test Case: A100SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       3.53       |       3.58        |       3.64       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       3.43       |       3.45        |       3.48       |        2.01        | 2.66e+04 | 4.10e+03 |      0.04%       |     0.12%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       3.69       |       3.74        |       3.79       |        2.01        | 5.32e+04 | 8.19e+03 |      0.07%       |     0.22%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       3.58       |       3.62        |       3.64       |        2.02        | 1.06e+05 | 1.64e+04 |      0.15%       |     0.45%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       3.79       |       3.81        |       3.84       |        2.04        | 2.13e+05 | 3.28e+04 |      0.29%       |     0.85%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       3.74       |       3.76        |       3.79       |        2.08        | 4.26e+05 | 6.55e+04 |      0.58%       |     1.72%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       3.89       |       3.94        |       3.99       |        2.16        | 8.52e+05 | 1.31e+05 |      1.12%       |     3.31%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       4.1        |       4.13        |       4.15       |        2.32        | 1.70e+06 | 2.62e+05 |      2.13%       |     6.27%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       4.45       |       4.51        |       4.56       |        2.64        | 3.41e+06 | 5.24e+05 |      3.93%       |    11.56%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       5.12       |       5.18        |       5.22       |        3.29        | 6.82e+06 | 1.05e+06 |      6.83%       |    20.09%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       6.66       |       6.68        |       6.71       |        4.57        | 1.36e+07 | 2.10e+06 |      10.5%       |    30.89%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       9.37       |       9.42        |       9.47       |        7.14        | 2.73e+07 | 4.19e+06 |      14.92%      |    43.91%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       15.1       |       15.16       |      15.21       |       12.29        | 5.45e+07 | 8.39e+06 |      18.52%      |    54.49%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       3.02       |       3.05        |       3.07       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       3.33       |       3.38        |       3.43       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       3.58       |       3.61        |       3.64       |        2.01        | 2.66e+04 | 4.10e+03 |      0.04%       |     0.11%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       3.38       |        3.4        |       3.43       |        2.01        | 5.32e+04 | 8.19e+03 |      0.08%       |     0.24%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       3.64       |       3.67        |       3.69       |        2.02        | 1.06e+05 | 1.64e+04 |      0.15%       |     0.44%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       3.84       |       3.87        |       3.89       |        2.04        | 2.13e+05 | 3.28e+04 |      0.28%       |     0.84%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       3.74       |       3.79        |       3.84       |        2.08        | 4.26e+05 | 6.55e+04 |      0.58%       |     1.72%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       3.84       |       3.89        |       3.94       |        2.16        | 8.52e+05 | 1.31e+05 |      1.14%       |     3.35%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       4.1        |       4.13        |       4.15       |        2.32        | 1.70e+06 | 2.62e+05 |      2.13%       |     6.27%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       4.45       |       4.48        |       4.51       |        2.64        | 3.41e+06 | 5.24e+05 |      3.93%       |    11.56%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       5.17       |        5.2        |       5.22       |        3.29        | 6.82e+06 | 1.05e+06 |      6.76%       |    19.89%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       6.6        |       6.63        |       6.66       |        4.57        | 1.36e+07 | 2.10e+06 |      10.59%      |    31.17%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       9.37       |       9.42        |       9.47       |        7.14        | 2.73e+07 | 4.19e+06 |      14.92%      |    43.91%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |       15.1       |       15.18       |      15.26       |       12.29        | 5.45e+07 | 8.39e+06 |      18.52%      |    54.49%     |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |      30.77       |       30.84       |      30.92       |       22.57        | 1.09e+08 | 1.68e+07 |      18.17%      |    53.48%     |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |       57.4       |       57.44       |       57.5       |       43.14        | 2.18e+08 | 3.36e+07 |      19.49%      |    57.34%     |
