Test Case: A100SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  128  | N/A |          [[1, 128], [128]]           | bf16  |       2.71       |       2.73        |       2.76       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   2   |  128  | N/A |          [[2, 128], [128]]           | bf16  |       3.33       |       3.35        |       3.38       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       3.74       |       3.79        |       3.84       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       4.04       |       4.09        |       4.15       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.07%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       4.04       |       4.04        |       4.04       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.15%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       4.04       |       4.07        |       4.1        |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.3%      |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       4.2        |        4.2        |       4.2        |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.57%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       4.15       |       4.18        |       4.2        |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.16%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       4.2        |       4.23        |       4.25       |        2.12        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.3%      |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       4.56       |       4.58        |       4.61       |        2.24        | 6.55e+04 | 1.97e+05 |      0.07%       |     4.23%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       4.61       |       4.64        |       4.66       |        2.48        | 1.31e+05 | 3.93e+05 |      0.15%       |     8.37%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       4.92       |       4.94        |       4.97       |        2.96        | 2.62e+05 | 7.86e+05 |      0.27%       |    15.68%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       5.89       |       5.91        |       5.94       |        3.93        | 5.24e+05 | 1.57e+06 |      0.46%       |    26.19%     |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       8.09       |       8.14        |       8.19       |        5.86        | 1.05e+06 | 3.15e+06 |      0.66%       |    38.14%     |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |      11.83       |       11.91       |      11.98       |        9.71        | 2.10e+06 | 6.29e+06 |      0.91%       |    52.16%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |      21.35       |       21.38       |       21.4       |       17.43        | 4.19e+06 | 1.26e+07 |      1.01%       |    57.81%     |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       2.66       |       2.69        |       2.71       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.06%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       4.04       |       4.07        |       4.1        |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.07%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       4.1        |       4.12        |       4.15       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.15%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       4.1        |       4.13        |       4.15       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.29%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       4.15       |       4.17        |       4.2        |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.58%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       4.2        |       4.25        |       4.3        |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.15%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       4.2        |       4.23        |       4.25       |        2.12        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.3%      |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       4.51       |       4.54        |       4.56       |        2.24        | 6.55e+04 | 1.97e+05 |      0.07%       |     4.28%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       4.66       |       4.68        |       4.71       |        2.48        | 1.31e+05 | 3.93e+05 |      0.14%       |     8.28%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       4.92       |       4.97        |       5.02       |        2.96        | 2.62e+05 | 7.86e+05 |      0.27%       |    15.68%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       5.89       |       5.91        |       5.94       |        3.93        | 5.24e+05 | 1.57e+06 |      0.46%       |    26.19%     |
