Test Case: A100SXM_aten_mm
| B |  M   |  K   |   N   |          input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 | 128  | 128  |  32   |    [[128, 128], [128, 32]]    | bf16  |      19.66       |       19.79       |      19.97       |        2.03        | 1.05e+06 | 2.46e+04 |      0.02%       |     0.12%     |
| 1 | 256  | 128  |  32   |    [[256, 128], [128, 32]]    | bf16  |      19.25       |       19.3        |      19.46       |        2.06        | 2.10e+06 | 4.51e+04 |      0.03%       |     0.23%     |
| 1 | 512  | 128  |  32   |    [[512, 128], [128, 32]]    | bf16  |      20.38       |       20.59       |      20.99       |        2.11        | 4.19e+06 | 8.60e+04 |      0.07%       |     0.41%     |
| 1 | 1024 | 128  |  32   |   [[1024, 128], [128, 32]]    | bf16  |      20.38       |       20.71       |      20.94       |        2.21        | 8.39e+06 | 1.68e+05 |      0.13%       |     0.81%     |
| 1 | 2048 | 128  |  32   |   [[2048, 128], [128, 32]]    | bf16  |      20.33       |       20.64       |      21.15       |        2.41        | 1.68e+07 | 3.32e+05 |      0.26%       |     1.6%      |
| 1 | 4096 | 128  |  32   |   [[4096, 128], [128, 32]]    | bf16  |      20.43       |       20.62       |      21.04       |        2.81        | 3.36e+07 | 6.59e+05 |      0.53%       |     3.17%     |
| 1 | 8192 | 128  |  32   |   [[8192, 128], [128, 32]]    | bf16  |      20.63       |       20.87       |      21.25       |        3.61        | 6.71e+07 | 1.31e+06 |      1.04%       |     6.25%     |
| 1 |  1   | 512  |  32   |     [[1, 512], [512, 32]]     | bf16  |      22.12       |       22.28       |      22.43       |        2.02        | 3.28e+04 | 1.69e+04 |       0.0%       |     0.08%     |
| 1 |  2   | 512  |  32   |     [[2, 512], [512, 32]]     | bf16  |       19.0       |       19.08       |       19.2       |        2.02        | 6.55e+04 | 1.75e+04 |       0.0%       |     0.09%     |
| 1 |  4   | 512  |  32   |     [[4, 512], [512, 32]]     | bf16  |       19.0       |       19.23       |      19.51       |        2.02        | 1.31e+05 | 1.86e+04 |       0.0%       |     0.1%      |
| 1 |  8   | 512  |  32   |     [[8, 512], [512, 32]]     | bf16  |      18.89       |       19.04       |      19.15       |        2.03        | 2.62e+05 | 2.07e+04 |       0.0%       |     0.11%     |
| 1 |  32  | 512  |  32   |    [[32, 512], [512, 32]]     | bf16  |       19.3       |       19.45       |      19.56       |        2.04        | 1.05e+06 | 3.38e+04 |      0.02%       |     0.17%     |
| 1 |  64  | 512  |  32   |    [[64, 512], [512, 32]]     | bf16  |       19.3       |       19.51       |      19.81       |        2.06        | 2.10e+06 | 5.12e+04 |      0.03%       |     0.26%     |
| 1 | 128  | 512  |  32   |    [[128, 512], [512, 32]]    | bf16  |       19.3       |       19.4        |      19.56       |        2.11        | 4.19e+06 | 8.60e+04 |      0.07%       |     0.44%     |
| 1 | 256  | 512  |  32   |    [[256, 512], [512, 32]]    | bf16  |      18.94       |       19.05       |       19.2       |        2.19        | 8.39e+06 | 1.56e+05 |      0.14%       |     0.81%     |
| 1 | 512  | 512  |  32   |    [[512, 512], [512, 32]]    | bf16  |      18.89       |       19.13       |       19.4       |        2.36        | 1.68e+07 | 2.95e+05 |      0.28%       |     1.53%     |
| 1 | 1024 | 512  |  32   |   [[1024, 512], [512, 32]]    | bf16  |      18.89       |       18.96       |       19.2       |        2.7         | 3.36e+07 | 5.73e+05 |      0.57%       |     2.98%     |
| 1 | 2048 | 512  |  32   |   [[2048, 512], [512, 32]]    | bf16  |      18.69       |       18.81       |      18.89       |        3.39        | 6.71e+07 | 1.13e+06 |      1.15%       |     5.93%     |
| 1 | 4096 | 512  |  32   |   [[4096, 512], [512, 32]]    | bf16  |       19.0       |       19.21       |      19.61       |        4.75        | 1.34e+08 | 2.24e+06 |      2.26%       |    11.59%     |
| 1 | 8192 | 512  |  32   |   [[8192, 512], [512, 32]]    | bf16  |       19.2       |       19.35       |      19.61       |        7.48        | 2.68e+08 | 4.47e+06 |      4.48%       |    22.85%     |
| 1 |  1   | 768  |  32   |     [[1, 768], [768, 32]]     | bf16  |      21.81       |       21.96       |      22.12       |        2.03        | 4.92e+04 | 2.54e+04 |       0.0%       |     0.11%     |
| 1 |  2   | 768  |  32   |     [[2, 768], [768, 32]]     | bf16  |      23.35       |       23.43       |      23.55       |        2.03        | 9.83e+04 | 2.62e+04 |       0.0%       |     0.11%     |
| 1 |  4   | 768  |  32   |     [[4, 768], [768, 32]]     | bf16  |      23.35       |       23.52       |      24.01       |        2.03        | 1.97e+05 | 2.78e+04 |       0.0%       |     0.12%     |
| 1 |  8   | 768  |  32   |     [[8, 768], [768, 32]]     | bf16  |      23.91       |       24.07       |      24.27       |        2.04        | 3.93e+05 | 3.10e+04 |      0.01%       |     0.13%     |
| 1 |  32  | 768  |  32   |    [[32, 768], [768, 32]]     | bf16  |      19.35       |       19.42       |      19.56       |        2.06        | 1.57e+06 | 5.02e+04 |      0.03%       |     0.25%     |
| 1 |  64  | 768  |  32   |    [[64, 768], [768, 32]]     | bf16  |       19.1       |       19.28       |       19.4       |        2.09        | 3.15e+06 | 7.58e+04 |      0.05%       |     0.39%     |
| 1 | 128  | 768  |  32   |    [[128, 768], [768, 32]]    | bf16  |      18.69       |       18.8        |      18.94       |        2.16        | 6.29e+06 | 1.27e+05 |      0.11%       |     0.67%     |
| 1 | 256  | 768  |  32   |    [[256, 768], [768, 32]]    | bf16  |      19.05       |       19.17       |      19.61       |        2.28        | 1.26e+07 | 2.29e+05 |      0.21%       |     1.18%     |
| 1 | 512  | 768  |  32   |    [[512, 768], [768, 32]]    | bf16  |      18.69       |       18.87       |      19.05       |        2.53        | 2.52e+07 | 4.34e+05 |      0.43%       |     2.28%     |
| 1 | 1024 | 768  |  32   |   [[1024, 768], [768, 32]]    | bf16  |      18.74       |       18.82       |      18.89       |        3.03        | 5.03e+07 | 8.44e+05 |      0.86%       |     4.42%     |
| 1 | 2048 | 768  |  32   |   [[2048, 768], [768, 32]]    | bf16  |      18.64       |       18.72       |      18.79       |        4.04        | 1.01e+08 | 1.66e+06 |      1.73%       |     8.75%     |
| 1 | 4096 | 768  |  32   |   [[4096, 768], [768, 32]]    | bf16  |      18.74       |       18.99       |       19.2       |        6.05        | 2.01e+08 | 3.30e+06 |      3.44%       |    17.28%     |
| 1 | 8192 | 768  |  32   |   [[8192, 768], [768, 32]]    | bf16  |      21.35       |       21.41       |       21.5       |       10.07        | 4.03e+08 | 6.58e+06 |      6.04%       |    30.22%     |
| 1 |  1   | 2048 |  32   |    [[1, 2048], [2048, 32]]    | bf16  |      21.56       |       21.82       |      22.02       |        2.08        | 1.31e+05 | 6.76e+04 |       0.0%       |     0.31%     |
| 1 |  2   | 2048 |  32   |    [[2, 2048], [2048, 32]]    | bf16  |      22.17       |       22.45       |      22.68       |        2.09        | 2.62e+05 | 6.97e+04 |       0.0%       |     0.31%     |
| 1 |  4   | 2048 |  32   |    [[4, 2048], [2048, 32]]    | bf16  |      22.27       |       22.35       |      22.53       |        2.09        | 5.24e+05 | 7.39e+04 |      0.01%       |     0.33%     |
| 1 |  8   | 2048 |  32   |    [[8, 2048], [2048, 32]]    | bf16  |      22.43       |       22.81       |      23.09       |        2.1         | 1.05e+06 | 8.22e+04 |      0.01%       |     0.36%     |
| 1 |  32  | 2048 |  32   |   [[32, 2048], [2048, 32]]    | bf16  |      23.55       |       23.63       |      23.86       |        2.16        | 4.19e+06 | 1.32e+05 |      0.06%       |     0.55%     |
| 1 |  64  | 2048 |  32   |   [[64, 2048], [2048, 32]]    | bf16  |       23.4       |       23.62       |      24.06       |        2.24        | 8.39e+06 | 1.99e+05 |      0.11%       |     0.83%     |
| 1 | 128  | 2048 |  32   |   [[128, 2048], [2048, 32]]   | bf16  |      24.58       |       24.69       |      24.88       |        2.41        | 1.68e+07 | 3.32e+05 |      0.22%       |     1.32%     |
| 1 | 256  | 2048 |  32   |   [[256, 2048], [2048, 32]]   | bf16  |      23.96       |       24.17       |      24.68       |        2.73        | 3.36e+07 | 5.98e+05 |      0.45%       |     2.45%     |
| 1 | 512  | 2048 |  32   |   [[512, 2048], [2048, 32]]   | bf16  |      24.32       |       24.49       |      24.78       |        3.39        | 6.71e+07 | 1.13e+06 |      0.88%       |     4.56%     |
| 1 | 1024 | 2048 |  32   |  [[1024, 2048], [2048, 32]]   | bf16  |      23.96       |       24.31       |      24.78       |        4.69        | 1.34e+08 | 2.20e+06 |       1.8%       |     8.99%     |
| 1 | 2048 | 2048 |  32   |  [[2048, 2048], [2048, 32]]   | bf16  |      20.58       |       20.68       |      20.84       |        7.3         | 2.68e+08 | 4.33e+06 |      4.18%       |    20.62%     |
| 1 | 4096 | 2048 |  32   |  [[4096, 2048], [2048, 32]]   | bf16  |      20.53       |       20.62       |      20.68       |       12.53        | 5.37e+08 | 8.59e+06 |      8.38%       |    41.02%     |
| 1 | 8192 | 2048 |  32   |  [[8192, 2048], [2048, 32]]   | bf16  |      36.45       |       36.56       |      36.76       |       22.97        | 1.07e+09 | 1.71e+07 |      9.44%       |    46.03%     |
| 1 |  1   | 3072 |  32   |    [[1, 3072], [3072, 32]]    | bf16  |       21.5       |       21.61       |      21.81       |        2.12        | 1.97e+05 | 1.01e+05 |       0.0%       |     0.46%     |
| 1 |  2   | 3072 |  32   |    [[2, 3072], [3072, 32]]    | bf16  |      22.32       |       22.41       |      22.63       |        2.13        | 3.93e+05 | 1.05e+05 |      0.01%       |     0.46%     |
| 1 |  4   | 3072 |  32   |    [[4, 3072], [3072, 32]]    | bf16  |      22.32       |       22.47       |      22.68       |        2.14        | 7.86e+05 | 1.11e+05 |      0.01%       |     0.49%     |
| 1 |  8   | 3072 |  32   |    [[8, 3072], [3072, 32]]    | bf16  |      22.48       |       22.64       |      22.84       |        2.15        | 1.57e+06 | 1.23e+05 |      0.02%       |     0.54%     |
| 1 |  32  | 3072 |  32   |   [[32, 3072], [3072, 32]]    | bf16  |      24.01       |       24.11       |      24.27       |        2.24        | 6.29e+06 | 1.98e+05 |      0.08%       |     0.81%     |
| 1 |  64  | 3072 |  32   |   [[64, 3072], [3072, 32]]    | bf16  |      23.24       |       23.37       |       23.5       |        2.36        | 1.26e+07 | 2.97e+05 |      0.17%       |     1.25%     |
| 1 | 128  | 3072 |  32   |   [[128, 3072], [3072, 32]]   | bf16  |      23.96       |       24.07       |      24.32       |        2.61        | 2.52e+07 | 4.96e+05 |      0.34%       |     2.03%     |
| 1 | 256  | 3072 |  32   |   [[256, 3072], [3072, 32]]   | bf16  |      23.81       |       23.95       |      24.22       |        3.09        | 5.03e+07 | 8.93e+05 |      0.68%       |     3.68%     |
| 1 | 512  | 3072 |  32   |   [[512, 3072], [3072, 32]]   | bf16  |      24.01       |       24.24       |      24.78       |        4.07        | 1.01e+08 | 1.69e+06 |      1.34%       |     6.89%     |
| 1 | 1024 | 3072 |  32   |  [[1024, 3072], [3072, 32]]   | bf16  |      23.76       |       24.12       |      24.58       |        6.02        | 2.01e+08 | 3.28e+06 |      2.72%       |    13.53%     |
