Test Case: A100SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  | 2048 |         [[1, 1, 2048], [1, 1, 32], [1, 32, 2048]]         | bf16  |      27.34       |       27.42       |      27.49       |        2.08        | 1.31e+05 | 6.76e+04 |       0.0%       |     0.24%     |
|  8  |  1   |  32  | 2048 |         [[8, 1, 2048], [8, 1, 32], [8, 32, 2048]]         | bf16  |      29.03       |       29.24       |      29.44       |        2.66        | 1.05e+06 | 5.41e+05 |      0.01%       |     1.83%     |
| 128 |  1   |  32  | 2048 |      [[128, 1, 2048], [128, 1, 32], [128, 32, 2048]]      | bf16  |      26.98       |       27.03       |      27.14       |       12.61        | 1.68e+07 | 8.65e+06 |       0.2%       |    31.47%     |
|  1  |  64  |  32  | 2048 |        [[1, 64, 2048], [1, 64, 32], [1, 32, 2048]]        | bf16  |      29.34       |       29.67       |      29.95       |        2.24        | 8.39e+06 | 1.99e+05 |      0.09%       |     0.66%     |
|  8  |  64  |  32  | 2048 |        [[8, 64, 2048], [8, 64, 32], [8, 32, 2048]]        | bf16  |      29.59       |       29.87       |      30.11       |        3.95        | 6.71e+07 | 1.59e+06 |      0.73%       |     5.27%     |
| 128 |  64  |  32  | 2048 |     [[128, 64, 2048], [128, 64, 32], [128, 32, 2048]]     | bf16  |      131.12      |      131.36       |      131.53      |       33.18        | 1.07e+09 | 2.54e+07 |      2.62%       |    19.02%     |
|  1  | 1024 |  32  | 2048 |      [[1, 1024, 2048], [1, 1024, 32], [1, 32, 2048]]      | bf16  |      27.34       |       27.55       |       27.8       |        4.69        | 1.34e+08 | 2.20e+06 |      1.57%       |     7.88%     |
|  8  | 1024 |  32  | 2048 |      [[8, 1024, 2048], [8, 1024, 32], [8, 32, 2048]]      | bf16  |      142.9       |      143.14       |      143.26      |       23.53        | 1.07e+09 | 1.76e+07 |      2.41%       |    12.06%     |
| 128 | 1024 |  32  | 2048 |   [[128, 1024, 2048], [128, 1024, 32], [128, 32, 2048]]   | bf16  |     1814.73      |      1904.79      |     2026.09      |       346.55       | 1.72e+10 | 2.81e+08 |      3.03%       |    15.19%     |
|  1  |  1   | 3072 | 2048 |       [[1, 1, 2048], [1, 1, 3072], [1, 3072, 2048]]       | bf16  |      31.54       |       31.63       |      31.85       |        9.72        | 1.26e+07 | 6.30e+06 |      0.13%       |    19.58%     |
|  8  |  1   | 3072 | 2048 |       [[8, 1, 2048], [8, 1, 3072], [8, 3072, 2048]]       | bf16  |      88.12       |       88.33       |      88.47       |       63.76        | 1.01e+08 | 5.04e+07 |      0.37%       |    56.07%     |
| 128 |  1   | 3072 | 2048 |    [[128, 1, 2048], [128, 1, 3072], [128, 3072, 2048]]    | bf16  |     1101.16      |      1107.7       |     1111.45      |       990.18       | 1.61e+09 | 8.06e+08 |      0.47%       |    71.79%     |
|  1  |  64  | 3072 | 2048 |      [[1, 64, 2048], [1, 64, 3072], [1, 3072, 2048]]      | bf16  |      30.98       |       31.24       |      31.74       |       10.12        | 8.05e+08 | 6.62e+06 |      8.33%       |    20.96%     |
|  8  |  64  | 3072 | 2048 |      [[8, 64, 2048], [8, 64, 3072], [8, 3072, 2048]]      | bf16  |      105.27      |      105.55       |      105.73      |       66.93        | 6.44e+09 | 5.30e+07 |      19.62%      |    49.34%     |
| 128 |  64  | 3072 | 2048 |   [[128, 64, 2048], [128, 64, 3072], [128, 3072, 2048]]   | bf16  |     1288.35      |      1298.32      |     1303.24      |      1040.81       | 1.03e+11 | 8.47e+08 |      25.64%      |     64.5%     |
|  1  | 1024 | 3072 | 2048 |    [[1, 1024, 2048], [1, 1024, 3072], [1, 3072, 2048]]    | bf16  |      95.08       |       95.25       |      95.39       |       47.89        | 1.29e+10 | 1.15e+07 |      43.43%      |     11.9%     |
|  8  | 1024 | 3072 | 2048 |    [[8, 1024, 2048], [8, 1024, 3072], [8, 3072, 2048]]    | bf16  |      727.5       |       728.1       |      728.58      |       369.09       | 1.03e+11 | 9.23e+07 |      45.41%      |    12.44%     |
| 128 | 1024 | 3072 | 2048 | [[128, 1024, 2048], [128, 1024, 3072], [128, 3072, 2048]] | bf16  |     7328.05      |      7359.42      |     7394.66      |      5875.46       | 1.65e+12 | 1.48e+09 |      72.14%      |    19.76%     |
|  1  |  1   | 8192 | 2048 |       [[1, 1, 2048], [1, 1, 8192], [1, 8192, 2048]]       | bf16  |       34.3       |       34.56       |      34.82       |       22.58        | 3.36e+07 | 1.68e+07 |      0.31%       |    48.01%     |
