Test Case: A100SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       4.04       |       4.06        |       4.1        |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.15%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       4.1        |       4.13        |       4.15       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.29%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       4.1        |       4.13        |       4.15       |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.59%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       4.25       |       4.27        |       4.3        |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.13%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       4.3        |       4.35        |       4.4        |        2.12        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.24%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       4.56       |       4.61        |       4.66       |        2.24        | 6.55e+04 | 1.97e+05 |      0.07%       |     4.23%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       4.71       |       4.73        |       4.76       |        2.48        | 1.31e+05 | 3.93e+05 |      0.14%       |     8.19%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       4.92       |       4.95        |       4.97       |        2.96        | 2.62e+05 | 7.86e+05 |      0.27%       |    15.68%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       5.84       |       5.88        |       5.94       |        3.93        | 5.24e+05 | 1.57e+06 |      0.46%       |    26.42%     |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       8.04       |       8.09        |       8.14       |        5.86        | 1.05e+06 | 3.15e+06 |      0.67%       |    38.38%     |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |      11.88       |       11.9        |      11.93       |        9.71        | 2.10e+06 | 6.29e+06 |      0.91%       |    51.95%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |      21.25       |       21.29       |      21.35       |       17.43        | 4.19e+06 | 1.26e+07 |      1.01%       |    58.08%     |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       2.51       |       2.56        |       2.61       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.06%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       4.1        |       4.12        |       4.15       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.07%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       4.04       |       4.07        |       4.1        |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.15%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       4.1        |       4.12        |       4.15       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.29%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       4.15       |       4.18        |       4.2        |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.58%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       4.2        |       4.23        |       4.25       |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.15%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       4.35       |        4.4        |       4.45       |        2.12        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.22%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       4.56       |       4.59        |       4.61       |        2.24        | 6.55e+04 | 1.97e+05 |      0.07%       |     4.23%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       4.66       |       4.68        |       4.71       |        2.48        | 1.31e+05 | 3.93e+05 |      0.14%       |     8.28%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       4.92       |       4.95        |       4.97       |        2.96        | 2.62e+05 | 7.86e+05 |      0.27%       |    15.68%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       5.94       |       5.99        |       6.04       |        3.93        | 5.24e+05 | 1.57e+06 |      0.45%       |    25.97%     |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       8.14       |       8.16        |       8.19       |        5.86        | 1.05e+06 | 3.15e+06 |      0.66%       |    37.91%     |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |      11.93       |       11.93       |      11.93       |        9.71        | 2.10e+06 | 6.29e+06 |       0.9%       |    51.73%     |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |       21.3       |       21.35       |       21.4       |       17.43        | 4.19e+06 | 1.26e+07 |      1.01%       |    57.94%     |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |       46.8       |       46.85       |       46.9       |       32.86        | 8.39e+06 | 2.52e+07 |      0.92%       |    52.74%     |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |      88.99       |       89.07       |      89.14       |       63.71        | 1.68e+07 | 5.03e+07 |      0.97%       |    55.48%     |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       2.82       |       2.87        |       2.92       |        2.0         | 7.68e+02 | 2.30e+03 |       0.0%       |     0.08%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       4.15       |       4.15        |       4.15       |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.11%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       4.04       |       4.07        |       4.1        |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.22%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       4.1        |       4.12        |       4.15       |        2.02        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.44%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       4.2        |       4.25        |       4.3        |        2.05        | 1.23e+04 | 3.69e+04 |      0.02%       |     0.86%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       4.2        |       4.25        |       4.3        |        2.09        | 2.46e+04 | 7.37e+04 |      0.03%       |     1.72%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       4.56       |       4.58        |       4.61       |        2.18        | 4.92e+04 | 1.47e+05 |      0.06%       |     3.17%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       4.66       |       4.68        |       4.71       |        2.36        | 9.83e+04 | 2.95e+05 |      0.11%       |     6.21%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       4.92       |       4.95        |       4.97       |        2.72        | 1.97e+05 | 5.90e+05 |       0.2%       |    11.76%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       5.32       |       5.37        |       5.43       |        3.45        | 3.93e+05 | 1.18e+06 |      0.38%       |    21.75%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       6.91       |       6.93        |       6.96       |        4.89        | 7.86e+05 | 2.36e+06 |      0.58%       |    33.49%     |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       9.98       |       10.03       |      10.09       |        7.79        | 1.57e+06 | 4.72e+06 |      0.81%       |    46.38%     |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |      15.87       |       15.9        |      15.92       |       13.57        | 3.15e+06 | 9.44e+06 |      1.02%       |    58.33%     |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      33.02       |       33.11       |      33.18       |       25.14        | 6.29e+06 | 1.89e+07 |      0.98%       |    56.07%     |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      68.15       |       68.2        |      68.25       |       48.28        | 1.26e+07 | 3.77e+07 |      0.95%       |    54.33%     |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      130.76      |      130.82       |      130.87      |       94.57        | 2.52e+07 | 7.55e+07 |      0.99%       |    56.63%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       2.82       |       2.82        |       2.82       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.21%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       4.1        |       4.13        |       4.15       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.29%     |
|   4   | 2048  | N/A |         [[4, 2048], [2048]]          | bf16  |       4.2        |       4.23        |       4.25       |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.57%     |
|   8   | 2048  | N/A |         [[8, 2048], [2048]]          | bf16  |       4.25       |       4.29        |       4.35       |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.13%     |
|  16   | 2048  | N/A |         [[16, 2048], [2048]]         | bf16  |       4.3        |        4.3        |       4.3        |        2.12        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.24%     |
|  32   | 2048  | N/A |         [[32, 2048], [2048]]         | bf16  |       4.45       |        4.5        |       4.56       |        2.24        | 6.55e+04 | 1.97e+05 |      0.08%       |     4.33%     |
|  64   | 2048  | N/A |         [[64, 2048], [2048]]         | bf16  |       4.66       |       4.69        |       4.71       |        2.48        | 1.31e+05 | 3.93e+05 |      0.14%       |     8.28%     |
|  128  | 2048  | N/A |        [[128, 2048], [2048]]         | bf16  |       4.92       |       4.94        |       4.97       |        2.96        | 2.62e+05 | 7.86e+05 |      0.27%       |    15.68%     |
|  256  | 2048  | N/A |        [[256, 2048], [2048]]         | bf16  |       5.89       |       5.94        |       5.99       |        3.93        | 5.24e+05 | 1.57e+06 |      0.46%       |    26.19%     |
|  512  | 2048  | N/A |        [[512, 2048], [2048]]         | bf16  |       8.14       |       8.19        |       8.24       |        5.86        | 1.05e+06 | 3.15e+06 |      0.66%       |    37.91%     |
| 1024  | 2048  | N/A |        [[1024, 2048], [2048]]        | bf16  |      11.88       |       11.93       |      11.98       |        9.71        | 2.10e+06 | 6.29e+06 |      0.91%       |    51.95%     |
| 2048  | 2048  | N/A |        [[2048, 2048], [2048]]        | bf16  |      21.35       |       21.38       |       21.4       |       17.43        | 4.19e+06 | 1.26e+07 |      1.01%       |    57.81%     |
| 4096  | 2048  | N/A |        [[4096, 2048], [2048]]        | bf16  |       46.8       |       46.85       |       46.9       |       32.86        | 8.39e+06 | 2.52e+07 |      0.92%       |    52.74%     |
| 8192  | 2048  | N/A |        [[8192, 2048], [2048]]        | bf16  |      88.93       |       89.01       |      89.09       |       63.71        | 1.68e+07 | 5.03e+07 |      0.97%       |    55.51%     |
| 16384 | 2048  | N/A |       [[16384, 2048], [2048]]        | bf16  |      172.54      |       172.6       |      172.65      |       125.42       | 3.36e+07 | 1.01e+08 |       1.0%       |    57.23%     |
| 32768 | 2048  | N/A |       [[32768, 2048], [2048]]        | bf16  |      339.71      |      339.79       |      339.87      |       248.84       | 6.71e+07 | 2.01e+08 |      1.01%       |    58.13%     |
|   1   | 3072  | N/A |         [[1, 3072], [3072]]          | bf16  |       2.76       |       2.79        |       2.82       |        2.01        | 3.07e+03 | 9.22e+03 |      0.01%       |     0.33%     |
|   2   | 3072  | N/A |         [[2, 3072], [3072]]          | bf16  |       4.1        |       4.13        |       4.15       |        2.02        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.44%     |
|   4   | 3072  | N/A |         [[4, 3072], [3072]]          | bf16  |       4.25       |       4.25        |       4.25       |        2.05        | 1.23e+04 | 3.69e+04 |      0.01%       |     0.85%     |
|   8   | 3072  | N/A |         [[8, 3072], [3072]]          | bf16  |       4.25       |       4.28        |       4.3        |        2.09        | 2.46e+04 | 7.37e+04 |      0.03%       |     1.7%      |
|  16   | 3072  | N/A |         [[16, 3072], [3072]]         | bf16  |       4.45       |       4.48        |       4.51       |        2.18        | 4.92e+04 | 1.47e+05 |      0.06%       |     3.25%     |
