Test Case: A100SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       5.68       |       5.71        |       5.73       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.47%        |        0.47%         |     2.26%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       8.35       |       8.37        |       8.4        |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.64%        |        0.64%         |     3.08%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |      13.26       |       13.28       |      13.31       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.81%        |        0.81%         |     3.88%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      22.73       |       22.81       |      22.89       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.95%        |        0.95%         |     4.52%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      41.42       |       41.47       |      41.52       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.04%        |        1.04%         |     4.97%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |       78.8       |       78.82       |      78.85       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.09%        |        1.09%         |     5.22%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      155.55      |       155.6       |      155.65      |       12.29        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.11%        |        1.11%         |     5.29%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       4.04       |       4.07        |       4.1        |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       4.15       |       4.18        |       4.2        |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       4.15       |       4.17        |       4.2        |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.01%        |        0.01%         |     0.02%     |
