Test Case: H20SXM_vllm.ops.NATIVE_C-fused_add_rms_norm_per_token_group_quant_fp8
|  output   |  _tensor   |  strides  | _tensor_1  | precision_1 | strides_1 | _tensor_2 | precision_2 | strides_2 | distributions | _tensor_3  | precision_3 | strides_3 | distributions_1 | _tensor_4 | precision_4 | strides_4 | distributions_2 |  dtype   | status  | b_device | b_dtype |  rtol  | atol  |     cosine_sim     |      max_abs_err       | rel_err_hundredth | rel_err_thousandth | rel_err_ten_thousandth | error_rate |           eb           |          rmse          | small_value_err_ratio |    max_rel_error     |    mean_rel_error     | max_ulp_error | mean_ulp_error | ulp_error_proportion |                      message                       |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983846099161 |     0.00012207031      |                   |                    |                        |            | 5.667550223214286e-05  | 2.144808761519528e-05  |          0.0          |     0.0034602077     |     0.0007838434      |      0.5      |   0.18747021   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999940533058455 | 1.5465047908946872e-06 |                   |                    |                        |            |  0.014508928571428572  | 2.824695584064573e-07  |           0           | 0.01105382474094687  | 0.0027998774039391847 |   155584.0    |    32850.78    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998275885777483 |          32.0          |                   | 0.951507568359375  |   0.951507568359375    |            | 0.00043160574776785713 |   1.985222053705397    |          0.0          |      0.19999756      |     0.0042327503      |      1.0      |  0.047818866   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983791104702 |     0.00012207031      |                   |                    |                        |            | 0.00036185128348214287 | 2.143483853423697e-05  |          0.0          |     0.0034602077     |     0.0007845808      |      0.5      |   0.18744013   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999941282432223 | 1.1869706213474274e-06 |                   |                    |                        |            |  0.03236607142857143   | 2.864862513876389e-07  |           0           | 0.010947685808577978 | 0.0027678577793217416 |   155258.0    |   32410.729    |  0.9988839285714286  | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998319928135359 |          32.0          |                   | 0.9527108328683036 |   0.9527108328683036   |            | 0.0007803780691964286  |   1.9717113083128464   |          0.0          |      0.33332655      |     0.0041404385      |      1.0      |  0.046691895   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983734535182 |     0.00012207031      |                   |                    |                        |            | 0.00019618443080357144 | 2.1488579321486275e-05 |          0.0          |     0.0034602077     |     0.0007874486      |      0.5      |   0.18815468   |         0.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp64   | 1e-06  | 1e-09 | 0.9999942474913842 | 1.362321199849248e-06  |                   |                    |                        |            |  0.016741071428571428  | 2.7242394399312105e-07 |           0           | 0.010471906004420713 | 0.0026979861693428872 |   139056.0    |   31942.182    |         1.0          | Max abs error is less than 0.001, consider as pass |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 |  pass   |   cpu    |  e4m3   | 1e-06  | 1e-09 | 0.9998258400013725 |          32.0          |                   | 0.9527544294084821 |   0.9527544294084821   |            | 0.00020490373883928572 |   2.034637538420482    |          0.0          |      0.33332655      |     0.0041389796      |      1.0      |  0.046580724   |         0.0          |     ulp error is less than 1, consider as pass     |
| [0, 1, 2] | [32, 7168] | [7168, 1] | [32, 7168] |  bfloat16   | [7168, 1] | [32, 56]  |    Float    |  [56, 1]  | _input_normal | [32, 7168] |  bfloat16   | [7168, 1] |  _input_normal  |  [7168]   |  bfloat16   |    [1]    | _weight_normal  | bfloat16 | Warning |   cpu    |  fp32   | 0.0039 | 1e-05 | 0.9999983797747727 |     0.00012207031      |                   |                    |                        |            |   0.002288818359375    | 2.142553227664455e-05  |          0.0          |     0.0034602077     |     0.0007878781      |      0.5      |   0.18846898   |         0.0          | Max abs error is less than 0.001, consider as pass |
