test case : H100PCIE_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 1, 64]]     |  bf16  |       7.28       |       7.30        |       7.32       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.22e-06      |      1.67e-06      |      2.51e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[1, 16, 3, 1, 64]]     |  bf16  |       6.81       |       6.82        |       6.83       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.08e-08      |      5.60e-08      |      8.40e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[2, 16, 3, 1, 64]]     |  bf16  |       7.03       |       7.04        |       7.05       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.90e-08      |      1.08e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[4, 16, 3, 1, 64]]     |  bf16  |       7.00       |       7.01        |       7.02       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.59e-07      |      2.18e-07      |      3.27e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[8, 16, 3, 1, 64]]     |  bf16  |       7.14       |       7.15        |       7.19       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.11e-07      |      4.27e-07      |      6.40e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[16, 16, 3, 1, 64]]    |  bf16  |       7.11       |       7.13        |       7.14       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.25e-07      |      8.57e-07      |      1.29e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[32, 16, 3, 1, 64]]    |  bf16  |       7.32       |       7.33        |       7.34       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.22e-06      |      1.67e-06      |      2.50e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[1, 32, 3, 1, 64]]     |  bf16  |       6.80       |       6.82        |       6.84       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.08e-08      |      5.60e-08      |      8.40e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[2, 32, 3, 1, 64]]     |  bf16  |       7.05       |       7.07        |       7.08       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.88e-08      |      1.08e-07      |      1.62e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[4, 32, 3, 1, 64]]     |  bf16  |       7.00       |       7.03        |       7.06       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.59e-07      |      2.18e-07      |      3.26e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[8, 32, 3, 1, 64]]     |  bf16  |       7.08       |       7.10        |       7.11       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.14e-07      |      4.30e-07      |      6.46e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[16, 32, 3, 1, 64]]    |  bf16  |       7.12       |       7.12        |       7.13       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.25e-07      |      8.56e-07      |      1.29e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[32, 32, 3, 1, 64]]    |  bf16  |       7.32       |       7.34        |       7.36       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.21e-06      |      1.67e-06      |      2.50e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[1, 64, 3, 1, 64]]     |  bf16  |       6.83       |       6.84        |       6.87       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.07e-08      |      5.58e-08      |      8.38e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[2, 64, 3, 1, 64]]     |  bf16  |       7.06       |       7.09        |       7.11       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.87e-08      |      1.08e-07      |      1.62e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[4, 64, 3, 1, 64]]     |  bf16  |       7.04       |       7.05        |       7.07       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.58e-07      |      2.16e-07      |      3.25e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[8, 64, 3, 1, 64]]     |  bf16  |       7.12       |       7.13        |       7.14       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.12e-07      |      4.28e-07      |      6.42e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[16, 64, 3, 1, 64]]    |  bf16  |       7.15       |       7.16        |       7.18       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.22e-07      |      8.53e-07      |      1.28e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   64   |    [[32, 64, 3, 1, 64]]    |  bf16  |       7.32       |       7.35        |       7.37       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.21e-06      |      1.66e-06      |      2.50e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[1, 128, 3, 1, 64]]    |  bf16  |       6.70       |       6.71        |       6.73       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.15e-08      |      5.68e-08      |      8.53e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[2, 128, 3, 1, 64]]    |  bf16  |       6.86       |       6.87        |       6.89       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      8.10e-08      |      1.11e-07      |      1.67e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[4, 128, 3, 1, 64]]    |  bf16  |       6.86       |       6.87        |       6.88       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.62e-07      |      2.22e-07      |      3.33e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |    [[8, 128, 3, 1, 64]]    |  bf16  |       6.90       |       6.92        |       6.94       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.22e-07      |      4.42e-07      |      6.63e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[16, 128, 3, 1, 64]]    |  bf16  |       6.91       |       6.94        |       6.99       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.43e-07      |      8.82e-07      |      1.32e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  128   |   [[32, 128, 3, 1, 64]]    |  bf16  |       7.04       |       7.06        |       7.10       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.26e-06      |      1.73e-06      |      2.60e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[1, 256, 3, 1, 64]]    |  bf16  |       9.24       |       9.27        |       9.30       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.01e-08      |      4.12e-08      |      6.19e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[2, 256, 3, 1, 64]]    |  bf16  |       9.15       |       9.16        |       9.17       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      6.07e-08      |      8.33e-08      |      1.25e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[4, 256, 3, 1, 64]]    |  bf16  |       9.41       |       9.47        |       9.51       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.18e-07      |      1.62e-07      |      2.43e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[8, 256, 3, 1, 64]]    |  bf16  |       9.29       |       9.31        |       9.32       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      2.39e-07      |      3.28e-07      |      4.92e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[16, 256, 3, 1, 64]]    |  bf16  |       9.31       |       9.33        |       9.35       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      4.78e-07      |      6.55e-07      |      9.83e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[32, 256, 3, 1, 64]]    |  bf16  |       9.71       |       9.74        |       9.76       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      9.16e-07      |      1.25e-06      |      1.88e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[1, 512, 3, 1, 64]]    |  bf16  |      10.95       |       10.97       |      10.98       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      2.54e-08      |      3.48e-08      |      5.22e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[2, 512, 3, 1, 64]]    |  bf16  |      11.13       |       11.14       |      11.16       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      5.00e-08      |      6.85e-08      |      1.03e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[4, 512, 3, 1, 64]]    |  bf16  |      11.37       |       11.38       |      11.39       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      9.78e-08      |      1.34e-07      |      2.01e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[8, 512, 3, 1, 64]]    |  bf16  |      13.68       |       13.70       |      13.71       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      1.63e-07      |      2.23e-07      |      3.34e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[16, 512, 3, 1, 64]]    |  bf16  |      14.20       |       14.24       |      14.32       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      3.13e-07      |      4.29e-07      |      6.44e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[32, 512, 3, 1, 64]]    |  bf16  |      19.30       |       19.33       |      19.36       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      4.61e-07      |      6.32e-07      |      9.48e-07       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[1, 1024, 3, 1, 64]]    |  bf16  |      11.83       |       11.85       |      11.87       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      2.35e-08      |      3.22e-08      |      4.83e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[2, 1024, 3, 1, 64]]    |  bf16  |      14.48       |       14.50       |      14.53       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      3.84e-08      |      5.26e-08      |      7.90e-08       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[4, 1024, 3, 1, 64]]    |  bf16  |      14.82       |       14.85       |      14.87       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      7.50e-08      |      1.03e-07      |      1.54e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[8, 1024, 3, 1, 64]]    |  bf16  |      23.17       |       23.20       |      23.25       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      9.60e-08      |      1.32e-07      |      1.97e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[16, 1024, 3, 1, 64]]   |  bf16  |      30.96       |       31.07       |      31.15       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.44e-07      |      1.97e-07      |      2.95e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[32, 1024, 3, 1, 64]]   |  bf16  |      38.64       |       38.75       |      38.81       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.30e-07      |      3.15e-07      |      4.73e-07       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
