Test Case: H100PCIE_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.54       |       2.56        |       2.58       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.08%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       2.59       |        2.6        |       2.62       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.16%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       2.6        |       2.61        |       2.63       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.32%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       2.61       |       2.62        |       2.63       |        2.02        | 1.06e+05 | 1.64e+04 |      0.08%       |     0.63%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       2.63       |       2.64        |       2.66       |        2.04        | 2.13e+05 | 3.28e+04 |      0.16%       |     1.25%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       2.64       |       2.65        |       2.67       |        2.08        | 4.26e+05 | 6.55e+04 |      0.32%       |     2.48%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       2.7        |       2.72        |       2.74       |        2.16        | 8.52e+05 | 1.31e+05 |      0.62%       |     4.85%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       2.83       |       2.84        |       2.85       |        2.33        | 1.70e+06 | 2.62e+05 |      1.18%       |     9.26%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       3.01       |       3.03        |       3.04       |        2.66        | 3.41e+06 | 5.24e+05 |      2.22%       |    17.42%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       3.43       |       3.46        |       3.48       |        3.31        | 6.82e+06 | 1.05e+06 |       3.9%       |    30.57%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       4.41       |       4.43        |       4.45       |        4.62        | 1.36e+07 | 2.10e+06 |      6.06%       |    47.55%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       6.32       |       6.34        |       6.36       |        7.24        | 2.73e+07 | 4.19e+06 |      8.46%       |    66.37%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       10.1       |       10.12       |      10.15       |       12.49        | 5.45e+07 | 8.39e+06 |      10.59%      |    83.06%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       2.55       |       2.55        |       2.56       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       2.57       |        2.6        |       2.64       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.08%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       2.56       |       2.58        |       2.6        |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.16%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       2.59       |        2.6        |       2.62       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.32%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.02        | 1.06e+05 | 1.64e+04 |      0.08%       |     0.63%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       2.64       |       2.65        |       2.66       |        2.04        | 2.13e+05 | 3.28e+04 |      0.16%       |     1.24%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       2.64       |       2.67        |       2.69       |        2.08        | 4.26e+05 | 6.55e+04 |      0.32%       |     2.48%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       2.7        |       2.73        |       2.75       |        2.16        | 8.52e+05 | 1.31e+05 |      0.62%       |     4.85%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       2.82       |       2.84        |       2.86       |        2.33        | 1.70e+06 | 2.62e+05 |      1.18%       |     9.3%      |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       3.0        |       3.02        |       3.04       |        2.66        | 3.41e+06 | 5.24e+05 |      2.23%       |    17.48%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       3.43       |       3.45        |       3.48       |        3.31        | 6.82e+06 | 1.05e+06 |       3.9%       |    30.57%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       4.43       |       4.44        |       4.46       |        4.62        | 1.36e+07 | 2.10e+06 |      6.03%       |    47.34%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       6.31       |       6.36        |       6.4        |        7.24        | 2.73e+07 | 4.19e+06 |      8.47%       |    66.47%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |      10.17       |       10.2        |      10.24       |       12.49        | 5.45e+07 | 8.39e+06 |      10.51%      |    82.48%     |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |      19.11       |       19.15       |      19.18       |       22.97        | 1.09e+08 | 1.68e+07 |      11.19%      |    87.79%     |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      41.62       |       41.88       |      42.09       |       43.94        | 2.18e+08 | 3.36e+07 |      10.28%      |    80.62%     |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       2.72       |       2.74        |       2.76       |        2.0         | 9.98e+03 | 1.54e+03 |      0.01%       |     0.06%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       2.54       |       2.56        |       2.58       |        2.0         | 2.00e+04 | 3.07e+03 |      0.02%       |     0.12%     |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       2.59       |       2.61        |       2.63       |        2.01        | 3.99e+04 | 6.14e+03 |      0.03%       |     0.24%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       2.62       |       2.63        |       2.64       |        2.02        | 7.99e+04 | 1.23e+04 |      0.06%       |     0.47%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       2.61       |       2.63        |       2.65       |        2.03        | 1.60e+05 | 2.46e+04 |      0.12%       |     0.94%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       2.62       |       2.64        |       2.66       |        2.06        | 3.19e+05 | 4.92e+04 |      0.24%       |     1.88%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       2.67       |       2.68        |       2.69       |        2.12        | 6.39e+05 | 9.83e+04 |      0.47%       |     3.68%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       2.75       |       2.77        |       2.79       |        2.25        | 1.28e+06 | 1.97e+05 |      0.91%       |     7.15%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       2.93       |       2.95        |       2.96       |        2.49        | 2.56e+06 | 3.93e+05 |      1.71%       |    13.42%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       3.23       |       3.25        |       3.27       |        2.98        | 5.11e+06 | 7.86e+05 |       3.1%       |    24.35%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       3.79       |       3.82        |       3.85       |        3.97        | 1.02e+07 | 1.57e+06 |      5.29%       |     41.5%     |
