Test Case: H100PCIE_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       3.86       |       3.87        |       3.89       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.27%        |        0.27%         |     3.4%      |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       4.9        |       4.92        |       4.96       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.42%        |        0.42%         |     5.35%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       6.73       |       6.75        |       6.76       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.61%        |        0.61%         |     7.79%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      10.57       |       10.59       |       10.6       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.78%        |        0.78%         |     9.92%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      18.06       |       18.09       |      18.11       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.91%        |        0.91%         |    11.61%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      33.17       |       33.2        |      33.23       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.99%        |        0.99%         |    12.64%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      63.48       |       63.51       |      63.56       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.04%        |        1.04%         |    13.21%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       3.0        |       3.02        |       3.05       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       3.01       |       3.02        |       3.04       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       3.04       |       3.05        |       3.06       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       3.06       |       3.07        |       3.1        |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.07%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       3.08       |       3.09        |       3.11       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.13%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       3.1        |       3.12        |       3.14       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.26%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       3.09       |       3.11        |       3.14       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     0.53%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       3.16       |       3.18        |       3.19       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.08%        |        0.08%         |     1.04%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       3.22       |       3.25        |       3.32       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.16%        |        0.16%         |     2.04%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       3.43       |       3.45        |       3.46       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.3%         |         0.3%         |     3.82%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       3.86       |       3.87        |       3.89       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.53%        |        0.53%         |     6.79%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       4.88       |       4.92        |       4.93       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.84%        |        0.84%         |    10.74%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       6.88       |       6.91        |       6.93       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.2%         |         1.2%         |    15.24%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      10.75       |       10.77       |      10.78       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.53%        |        1.53%         |    19.51%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      18.42       |       18.46       |      18.48       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.79%        |        1.79%         |    22.77%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      33.87       |       33.9        |      33.95       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.94%        |        1.94%         |    24.77%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      68.91       |       68.93       |      68.97       |       22.97        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        1.91%        |        1.91%         |    24.35%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       3.06       |       3.08        |       3.1        |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       3.08       |       3.09        |       3.1        |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       3.09       |        3.1        |       3.13       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.0%         |         0.0%         |     0.05%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       3.12       |       3.13        |       3.15       |        2.0         | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.1%      |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       3.13       |       3.15        |       3.16       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.2%      |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       3.15       |       3.17        |       3.19       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.39%     |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       3.16       |        3.2        |       3.21       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.06%        |        0.06%         |     0.78%     |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       3.21       |       3.23        |       3.26       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.12%        |        0.12%         |     1.53%     |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       3.27       |       3.29        |       3.32       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.24%        |        0.24%         |     3.01%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       3.53       |       3.55        |       3.59       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.44%        |        0.44%         |     5.57%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       3.96       |       3.98        |       4.0        |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.78%        |        0.78%         |     9.93%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       5.02       |       5.05        |       5.09       |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.23%        |        1.23%         |    15.67%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |       7.26       |        7.3        |       7.33       |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.7%         |         1.7%         |    21.66%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      11.46       |       11.48       |      11.49       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        2.15%        |        2.15%         |    27.45%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      19.77       |       19.81       |      19.84       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        2.5%         |         2.5%         |    31.82%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      37.91       |       37.95       |      38.01       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        2.6%         |         2.6%         |    33.19%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      82.41       |       82.45       |      82.52       |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        2.4%         |         2.4%         |    30.54%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       5.08       |       5.11        |       5.15       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.01%        |        0.01%         |     0.12%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       5.1        |       5.12        |       5.15       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.24%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       5.16       |       5.18        |       5.21       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.04%        |        0.04%         |     0.48%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       5.15       |       5.18        |       5.21       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.07%        |        0.07%         |     0.95%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       5.17       |        5.2        |       5.26       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.15%        |        0.15%         |     1.9%      |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       5.23       |       5.25        |       5.27       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.29%        |        0.29%         |     3.76%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       5.24       |       5.27        |       5.3        |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.59%        |        0.59%         |     7.5%      |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       5.3        |       5.34        |       5.37       |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.16%        |        1.16%         |    14.84%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       5.52       |       5.54        |       5.58       |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.23%        |        2.23%         |    28.49%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       6.43       |       6.45        |       6.46       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.84%        |        3.84%         |    48.92%     |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |      10.37       |       10.4        |      10.42       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.76%        |        4.76%         |    60.67%     |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      15.16       |       15.43       |      15.55       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        6.51%        |        6.51%         |     83.0%     |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      36.16       |       36.27       |      36.35       |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        5.46%        |        5.46%         |     69.6%     |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      66.11       |       66.43       |      66.63       |       64.91        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.97%        |        5.97%         |    76.13%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      125.16      |      125.34       |      125.45      |       127.83       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        6.31%        |        6.31%         |    80.43%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      243.88      |      244.09       |      244.23      |       253.66       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        6.47%        |        6.47%         |    82.55%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |      481.88      |      482.07       |      482.27      |       505.32       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        6.55%        |        6.55%         |    83.56%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       7.38       |       7.42        |       7.45       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.01%        |        0.01%         |     0.17%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       7.46       |       7.49        |       7.56       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.03%        |        0.03%         |     0.33%     |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       7.5        |       7.51        |       7.54       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.05%        |        0.05%         |     0.66%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       7.48       |       7.51        |       7.54       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.1%         |         0.1%         |     1.31%     |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       7.5        |       7.52        |       7.54       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.21%        |        0.21%         |     2.62%     |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       7.62       |       7.65        |       7.72       |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.4%         |         0.4%         |     5.16%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       7.59       |       7.62        |       7.68       |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.81%        |        0.81%         |    10.36%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       7.71       |       7.72        |       7.73       |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.6%         |         1.6%         |     20.4%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       8.1        |       8.13        |       8.16       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.05%        |        3.05%         |    38.84%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      12.32       |       12.35       |      12.42       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.01%        |        4.01%         |    51.07%     |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      18.81       |       18.83       |      18.85       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        5.25%        |        5.25%         |    66.89%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      48.26       |       50.18       |      50.71       |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        4.09%        |        4.09%         |    52.15%     |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |       76.1       |       76.32       |      76.48       |       64.91        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.19%        |        5.19%         |    66.14%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      139.89      |      140.09       |      140.24      |       127.83       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        5.64%        |        5.64%         |    71.96%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      267.77      |      268.09       |      268.36      |       253.66       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        5.9%         |         5.9%         |    75.19%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      523.53      |      523.84       |      524.0       |       505.32       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        6.03%        |        6.03%         |    76.91%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     1040.68      |      1041.66      |     1042.35      |      1008.63       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        6.07%        |        6.07%         |    77.38%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       8.91       |       8.93        |       8.96       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.01%        |        0.01%         |     0.18%     |
