Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  | 64  |  32  |  32  |      [[1, 64, 32], [1, 32, 32]]       | bf16  |      25.56       |       25.72       |      25.97       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
|  2  | 64  |  32  |  32  |      [[2, 64, 32], [2, 32, 32]]       | bf16  |      26.05       |       26.09       |      26.16       |        2.01        | 2.62e+05 | 1.02e+04 |       0.0%       |     0.04%     |
|  4  | 64  |  32  |  32  |      [[4, 64, 32], [4, 32, 32]]       | bf16  |      25.68       |       25.98       |      26.16       |        2.03        | 5.24e+05 | 2.05e+04 |       0.0%       |     0.08%     |
|  8  | 64  |  32  |  32  |      [[8, 64, 32], [8, 32, 32]]       | bf16  |      25.89       |       26.02       |      26.14       |        2.05        | 1.05e+06 | 4.10e+04 |      0.01%       |     0.16%     |
| 16  | 64  |  32  |  32  |     [[16, 64, 32], [16, 32, 32]]      | bf16  |      25.82       |       26.08       |       26.3       |        2.1         | 2.10e+06 | 8.19e+04 |      0.01%       |     0.32%     |
| 32  | 64  |  32  |  32  |     [[32, 64, 32], [32, 32, 32]]      | bf16  |      25.35       |       25.56       |      25.71       |        2.2         | 4.19e+06 | 1.64e+05 |      0.02%       |     0.65%     |
|  1  | 128 |  32  |  32  |      [[1, 128, 32], [1, 32, 32]]      | bf16  |       25.6       |       25.77       |      25.88       |        2.01        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.04%     |
|  2  | 128 |  32  |  32  |      [[2, 128, 32], [2, 32, 32]]      | bf16  |      25.88       |       26.03       |       26.1       |        2.02        | 5.24e+05 | 1.84e+04 |       0.0%       |     0.07%     |
|  4  | 128 |  32  |  32  |      [[4, 128, 32], [4, 32, 32]]      | bf16  |      25.85       |       26.08       |      26.38       |        2.05        | 1.05e+06 | 3.69e+04 |      0.01%       |     0.14%     |
|  8  | 128 |  32  |  32  |      [[8, 128, 32], [8, 32, 32]]      | bf16  |      25.96       |       26.17       |      26.43       |        2.09        | 2.10e+06 | 7.37e+04 |      0.01%       |     0.28%     |
| 16  | 128 |  32  |  32  |     [[16, 128, 32], [16, 32, 32]]     | bf16  |      25.73       |       25.88       |      26.05       |        2.18        | 4.19e+06 | 1.47e+05 |      0.02%       |     0.57%     |
| 32  | 128 |  32  |  32  |     [[32, 128, 32], [32, 32, 32]]     | bf16  |      25.84       |       26.03       |      26.35       |        2.37        | 8.39e+06 | 2.95e+05 |      0.04%       |     1.14%     |
|  1  | 256 |  32  |  32  |      [[1, 256, 32], [1, 32, 32]]      | bf16  |      25.84       |       26.05       |      26.24       |        2.02        | 5.24e+05 | 1.74e+04 |       0.0%       |     0.07%     |
|  2  | 256 |  32  |  32  |      [[2, 256, 32], [2, 32, 32]]      | bf16  |      25.92       |       26.09       |      26.21       |        2.04        | 1.05e+06 | 3.48e+04 |      0.01%       |     0.13%     |
