Test Case: H100PCIE_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       4.48       |       4.49        |       4.5        |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.23%        |        0.23%         |     2.93%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       6.29       |       6.31        |       6.33       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.33%        |        0.33%         |     4.17%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       9.6        |       9.62        |       9.65       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.43%        |        0.43%         |     5.46%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      15.99       |       16.04       |      16.07       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.51%        |        0.51%         |     6.56%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      28.55       |       28.57       |       28.6       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.58%        |        0.58%         |     7.35%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      53.74       |       53.77       |       53.8       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.61%        |        0.61%         |     7.8%      |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      104.7       |      104.74       |      104.77      |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        0.63%        |        0.63%         |     8.01%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       3.47       |        3.5        |       3.54       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       3.48       |        3.5        |       3.52       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       3.5        |       3.53        |       3.55       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       3.55       |       3.56        |       3.57       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.0%         |         0.0%         |     0.06%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       3.56       |       3.57        |       3.58       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.12%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       3.57       |       3.58        |       3.59       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.23%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       3.59       |       3.61        |       3.62       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     0.46%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       3.69       |        3.7        |       3.71       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.07%        |        0.07%         |     0.89%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       3.75       |       3.76        |       3.77       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.14%        |        0.14%         |     1.75%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       3.97       |       3.99        |       4.01       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.26%        |        0.26%         |     3.3%      |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       4.49       |        4.5        |       4.53       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.46%        |        0.46%         |     5.84%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       6.18       |        6.2        |       6.23       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.67%        |        0.67%         |     8.48%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       9.51       |       9.57        |       9.59       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.86%        |        0.86%         |    11.03%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      15.91       |       15.93       |      15.96       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.03%        |        1.03%         |    13.18%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      28.48       |       28.51       |      28.54       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.16%        |        1.16%         |    14.73%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      53.73       |       53.76       |       53.8       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.22%        |        1.22%         |    15.61%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      109.05      |      109.07       |      109.1       |       22.97        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        1.21%        |        1.21%         |    15.38%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       3.58       |       3.59        |       3.63       |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       3.6        |       3.62        |       3.64       |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       3.62       |       3.64        |       3.65       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.0%         |         0.0%         |     0.04%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       3.65       |       3.66        |       3.68       |        2.0         | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.08%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       3.64       |       3.65        |       3.69       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.01%        |        0.01%         |     0.17%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       3.68       |        3.7        |       3.73       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.33%     |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       3.7        |       3.74        |       3.77       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.05%        |        0.05%         |     0.66%     |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       3.79       |       3.81        |       3.83       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.1%         |         0.1%         |     1.3%      |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       3.88       |       3.89        |       3.9        |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.2%         |         0.2%         |     2.53%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       4.12       |       4.13        |       4.15       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.37%        |        0.37%         |     4.77%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       4.74       |       4.75        |       4.78       |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.65%        |        0.65%         |     8.3%      |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       6.65       |       6.67        |       6.69       |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.93%        |        0.93%         |    11.83%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |      10.38       |       10.41       |      10.45       |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.19%        |        1.19%         |    15.15%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      17.66       |       17.67       |       17.7       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        1.4%         |         1.4%         |    17.81%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      31.76       |       31.82       |      31.85       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        1.55%        |        1.55%         |    19.81%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      61.58       |       61.61       |      61.66       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        1.6%         |         1.6%         |    20.43%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      129.12      |       129.2       |      129.26      |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        1.53%        |        1.53%         |    19.49%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       5.72       |       5.73        |       5.76       |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.01%        |        0.01%         |     0.11%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       5.73       |       5.76        |       5.79       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.21%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       5.8        |       5.82        |       5.84       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.03%        |        0.03%         |     0.42%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       5.82       |       5.83        |       5.85       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.07%        |        0.07%         |     0.84%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       5.84       |       5.88        |       5.89       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.13%        |        0.13%         |     1.68%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       5.88       |       5.91        |       5.93       |        2.25        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.26%        |        0.26%         |     3.34%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       5.89       |       5.91        |       5.93       |        2.49        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.52%        |        0.52%         |     6.68%     |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       6.07       |       6.08        |       6.1        |        2.98        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.02%        |        1.02%         |    12.96%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       6.38       |       6.39        |       6.4        |        3.97        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.93%        |        1.93%         |    24.65%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       9.22       |       9.24        |       9.27       |        5.93        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        2.68%        |        2.68%         |    34.12%     |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |      11.46       |       11.5        |      11.55       |        9.86        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.31%        |        4.31%         |     54.9%     |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      18.16       |       18.26       |      18.35       |       17.73        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        5.43%        |        5.43%         |    69.29%     |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      40.38       |       40.45       |      40.54       |       33.46        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        4.89%        |        4.89%         |    62.32%     |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      72.94       |       73.01       |       73.1       |       64.91        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.41%        |        5.41%         |     69.0%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      135.33      |      135.47       |      135.64      |       127.83       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        5.83%        |        5.83%         |    74.38%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      261.9       |       262.0       |      262.09      |       253.66       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        6.03%        |        6.03%         |    76.87%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |      514.46      |      514.56       |      514.73      |       505.32       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        6.14%        |        6.14%         |    78.27%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       8.21       |       8.22        |       8.24       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.01%        |        0.01%         |     0.15%     |
