Test Case: H100PCIE_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 | 2048 | 128  |  32  |   [[2048, 128], [128, 32]]   | bf16  |      25.52       |       25.68       |      25.98       |        2.41        | 1.68e+07 | 3.32e+05 |      0.09%       |     1.3%      |
| 1 |  1   | 512  |  32  |    [[1, 512], [512, 32]]     | bf16  |      24.95       |       25.02       |      25.12       |        2.02        | 3.28e+04 | 1.69e+04 |       0.0%       |     0.07%     |
| 1 |  2   | 512  |  32  |    [[2, 512], [512, 32]]     | bf16  |      24.88       |       25.12       |      25.34       |        2.02        | 6.55e+04 | 1.75e+04 |       0.0%       |     0.07%     |
| 1 |  4   | 512  |  32  |    [[4, 512], [512, 32]]     | bf16  |       25.0       |       25.18       |      25.53       |        2.02        | 1.31e+05 | 1.86e+04 |       0.0%       |     0.07%     |
| 1 |  8   | 512  |  32  |    [[8, 512], [512, 32]]     | bf16  |      25.12       |       25.29       |      25.43       |        2.03        | 2.62e+05 | 2.07e+04 |       0.0%       |     0.08%     |
| 1 |  32  | 512  |  32  |    [[32, 512], [512, 32]]    | bf16  |      25.27       |       25.42       |      25.58       |        2.04        | 1.05e+06 | 3.38e+04 |      0.01%       |     0.13%     |
| 1 |  64  | 512  |  32  |    [[64, 512], [512, 32]]    | bf16  |      25.42       |       25.55       |      25.74       |        2.06        | 2.10e+06 | 5.12e+04 |      0.01%       |     0.2%      |
| 1 | 128  | 512  |  32  |   [[128, 512], [512, 32]]    | bf16  |      25.29       |       25.4        |      25.52       |        2.11        | 4.19e+06 | 8.60e+04 |      0.02%       |     0.34%     |
| 1 | 256  | 512  |  32  |   [[256, 512], [512, 32]]    | bf16  |      25.12       |       25.29       |      25.56       |        2.19        | 8.39e+06 | 1.56e+05 |      0.04%       |     0.62%     |
| 1 | 512  | 512  |  32  |   [[512, 512], [512, 32]]    | bf16  |      25.22       |       25.55       |      25.81       |        2.37        | 1.68e+07 | 2.95e+05 |      0.09%       |     1.17%     |
| 1 | 1024 | 512  |  32  |   [[1024, 512], [512, 32]]   | bf16  |      25.17       |       25.36       |       25.5       |        2.72        | 3.36e+07 | 5.73e+05 |      0.18%       |     2.28%     |
| 1 | 2048 | 512  |  32  |   [[2048, 512], [512, 32]]   | bf16  |      25.22       |       25.47       |      25.68       |        3.41        | 6.71e+07 | 1.13e+06 |      0.35%       |     4.48%     |
| 1 |  1   | 768  |  32  |    [[1, 768], [768, 32]]     | bf16  |      25.13       |       25.29       |      25.56       |        2.03        | 4.92e+04 | 2.54e+04 |       0.0%       |     0.1%      |
| 1 |  2   | 768  |  32  |    [[2, 768], [768, 32]]     | bf16  |      25.14       |       25.27       |      25.72       |        2.03        | 9.83e+04 | 2.62e+04 |       0.0%       |     0.1%      |
| 1 |  4   | 768  |  32  |    [[4, 768], [768, 32]]     | bf16  |      25.12       |       25.32       |      25.58       |        2.03        | 1.97e+05 | 2.78e+04 |       0.0%       |     0.11%     |
| 1 |  8   | 768  |  32  |    [[8, 768], [768, 32]]     | bf16  |      24.98       |       25.18       |      25.43       |        2.04        | 3.93e+05 | 3.10e+04 |       0.0%       |     0.12%     |
| 1 |  32  | 768  |  32  |    [[32, 768], [768, 32]]    | bf16  |      25.56       |       25.64       |      25.76       |        2.06        | 1.57e+06 | 5.02e+04 |      0.01%       |     0.2%      |
| 1 |  64  | 768  |  32  |    [[64, 768], [768, 32]]    | bf16  |      25.34       |       25.54       |      25.69       |        2.09        | 3.15e+06 | 7.58e+04 |      0.02%       |     0.3%      |
| 1 | 128  | 768  |  32  |   [[128, 768], [768, 32]]    | bf16  |      25.25       |       25.5        |       25.6       |        2.16        | 6.29e+06 | 1.27e+05 |      0.03%       |     0.5%      |
| 1 | 256  | 768  |  32  |   [[256, 768], [768, 32]]    | bf16  |      25.33       |       25.5        |      25.68       |        2.29        | 1.26e+07 | 2.29e+05 |      0.07%       |     0.91%     |
