Test Case: H100PCIE_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.98       |       2.99        |       3.01       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.07%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       3.0        |       3.01        |       3.03       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.14%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       3.03       |       3.04        |       3.06       |        2.01        | 5.32e+04 | 8.19e+03 |      0.03%       |     0.27%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       3.17       |       3.18        |       3.19       |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.52%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       3.19       |       3.21        |       3.22       |        2.04        | 2.13e+05 | 3.28e+04 |      0.13%       |     1.03%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       3.32       |       3.34        |       3.37       |        2.08        | 4.26e+05 | 6.55e+04 |      0.25%       |     1.97%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       3.19       |       3.21        |       3.23       |        2.16        | 8.52e+05 | 1.31e+05 |      0.52%       |     4.11%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       3.26       |       3.27        |       3.28       |        2.33        | 1.70e+06 | 2.62e+05 |      1.02%       |     8.04%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       3.31       |       3.33        |       3.35       |        2.66        | 3.41e+06 | 5.24e+05 |      2.02%       |    15.84%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       3.72       |       3.74        |       3.75       |        3.31        | 6.82e+06 | 1.05e+06 |      3.59%       |    28.19%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       4.47       |       4.49        |       4.52       |        4.62        | 1.36e+07 | 2.10e+06 |      5.98%       |    46.92%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       6.06       |       6.08        |       6.11       |        7.24        | 2.73e+07 | 4.19e+06 |      8.82%       |    69.21%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       9.25       |       9.29        |       9.32       |       12.49        | 5.45e+07 | 8.39e+06 |      11.56%      |    90.69%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       2.86       |       2.89        |       2.92       |        2.0         | 6.66e+03 | 1.02e+03 |       0.0%       |     0.04%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       3.0        |       3.02        |       3.03       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.07%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       2.86       |       2.88        |       2.9        |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.14%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       3.03       |       3.04        |       3.05       |        2.01        | 5.32e+04 | 8.19e+03 |      0.03%       |     0.27%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       3.05       |       3.07        |       3.08       |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.54%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       3.04       |       3.06        |       3.08       |        2.04        | 2.13e+05 | 3.28e+04 |      0.14%       |     1.08%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       3.19       |       3.21        |       3.24       |        2.08        | 4.26e+05 | 6.55e+04 |      0.26%       |     2.05%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       3.16       |       3.18        |       3.2        |        2.16        | 8.52e+05 | 1.31e+05 |      0.53%       |     4.15%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       3.22       |       3.24        |       3.25       |        2.33        | 1.70e+06 | 2.62e+05 |      1.04%       |     8.14%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       3.35       |       3.36        |       3.37       |        2.66        | 3.41e+06 | 5.24e+05 |      1.99%       |    15.65%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       3.76       |       3.77        |       3.79       |        3.31        | 6.82e+06 | 1.05e+06 |      3.55%       |    27.89%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       4.47       |        4.5        |       4.53       |        4.62        | 1.36e+07 | 2.10e+06 |      5.98%       |    46.92%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       5.98       |       6.01        |       6.04       |        7.24        | 2.73e+07 | 4.19e+06 |      8.94%       |    70.14%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |       9.05       |       9.08        |       9.1        |       12.49        | 5.45e+07 | 8.39e+06 |      11.81%      |    92.69%     |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |       18.8       |       18.92       |      19.03       |       22.97        | 1.09e+08 | 1.68e+07 |      11.37%      |    89.24%     |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      41.57       |       41.77       |      41.95       |       43.94        | 2.18e+08 | 3.36e+07 |      10.29%      |    80.72%     |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       2.91       |       2.92        |       2.93       |        2.0         | 9.98e+03 | 1.54e+03 |      0.01%       |     0.05%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       2.98       |       3.01        |       3.04       |        2.0         | 2.00e+04 | 3.07e+03 |      0.01%       |     0.1%      |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       3.03       |       3.05        |       3.08       |        2.01        | 3.99e+04 | 6.14e+03 |      0.03%       |     0.2%      |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       3.04       |       3.05        |       3.06       |        2.02        | 7.99e+04 | 1.23e+04 |      0.05%       |     0.4%      |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       3.05       |       3.07        |       3.1        |        2.03        | 1.60e+05 | 2.46e+04 |       0.1%       |     0.81%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       3.05       |       3.07        |       3.09       |        2.06        | 3.19e+05 | 4.92e+04 |      0.21%       |     1.61%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       3.24       |       3.25        |       3.27       |        2.12        | 6.39e+05 | 9.83e+04 |      0.39%       |     3.03%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       3.2        |       3.22        |       3.24       |        2.25        | 1.28e+06 | 1.97e+05 |      0.78%       |     6.14%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       3.26       |       3.29        |       3.32       |        2.49        | 2.56e+06 | 3.93e+05 |      1.54%       |    12.06%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       3.54       |       3.55        |       3.56       |        2.98        | 5.11e+06 | 7.86e+05 |      2.83%       |    22.22%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       4.08       |        4.1        |       4.12       |        3.97        | 1.02e+07 | 1.57e+06 |      4.91%       |    38.55%     |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       5.27       |       5.28        |       5.29       |        5.93        | 2.04e+07 | 3.15e+06 |      7.61%       |    59.69%     |
| 4096  |  768  | N/A |   [[4096, 768]]    | bf16  |       7.59       |       7.62        |       7.66       |        9.86        | 4.09e+07 | 6.29e+06 |      10.56%      |    82.89%     |
| 8192  |  768  | N/A |   [[8192, 768]]    | bf16  |      12.75       |       12.78       |       12.8       |       17.73        | 8.18e+07 | 1.26e+07 |      12.58%      |    98.69%     |
| 16384 |  768  | N/A |   [[16384, 768]]   | bf16  |      32.15       |       32.28       |       32.4       |       33.46        | 1.64e+08 | 2.52e+07 |      9.98%       |    78.28%     |
| 32768 |  768  | N/A |   [[32768, 768]]   | bf16  |      60.04       |       60.18       |      60.35       |       64.91        | 3.27e+08 | 5.03e+07 |      10.68%      |    83.83%     |
|   1   | 2048  | N/A |    [[1, 2048]]     | bf16  |       2.87       |        2.9        |       2.93       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.14%     |
|   2   | 2048  | N/A |    [[2, 2048]]     | bf16  |       3.16       |       3.17        |       3.19       |        2.01        | 5.32e+04 | 8.19e+03 |      0.03%       |     0.26%     |
|   4   | 2048  | N/A |    [[4, 2048]]     | bf16  |       3.07       |       3.08        |       3.09       |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.53%     |
|   8   | 2048  | N/A |    [[8, 2048]]     | bf16  |       3.06       |       3.08        |       3.09       |        2.04        | 2.13e+05 | 3.28e+04 |      0.14%       |     1.07%     |
|  16   | 2048  | N/A |    [[16, 2048]]    | bf16  |       3.17       |       3.19        |       3.2        |        2.08        | 4.26e+05 | 6.55e+04 |      0.26%       |     2.07%     |
|  32   | 2048  | N/A |    [[32, 2048]]    | bf16  |       3.33       |       3.35        |       3.37       |        2.16        | 8.52e+05 | 1.31e+05 |       0.5%       |     3.94%     |
|  64   | 2048  | N/A |    [[64, 2048]]    | bf16  |       3.24       |       3.26        |       3.29       |        2.33        | 1.70e+06 | 2.62e+05 |      1.03%       |     8.09%     |
|  128  | 2048  | N/A |   [[128, 2048]]    | bf16  |       3.32       |       3.34        |       3.36       |        2.66        | 3.41e+06 | 5.24e+05 |      2.01%       |    15.79%     |
|  256  | 2048  | N/A |   [[256, 2048]]    | bf16  |       3.73       |       3.75        |       3.76       |        3.31        | 6.82e+06 | 1.05e+06 |      3.58%       |    28.11%     |
|  512  | 2048  | N/A |   [[512, 2048]]    | bf16  |       4.45       |       4.48        |       4.5        |        4.62        | 1.36e+07 | 2.10e+06 |      6.01%       |    47.13%     |
| 1024  | 2048  | N/A |   [[1024, 2048]]   | bf16  |       6.0        |       6.04        |       6.07       |        7.24        | 2.73e+07 | 4.19e+06 |      8.91%       |    69.91%     |
| 2048  | 2048  | N/A |   [[2048, 2048]]   | bf16  |       9.15       |       9.18        |       9.22       |       12.49        | 5.45e+07 | 8.39e+06 |      11.68%      |    91.68%     |
| 4096  | 2048  | N/A |   [[4096, 2048]]   | bf16  |      18.79       |       18.9        |      18.99       |       22.97        | 1.09e+08 | 1.68e+07 |      11.38%      |    89.29%     |
| 8192  | 2048  | N/A |   [[8192, 2048]]   | bf16  |      41.64       |       41.82       |      41.97       |       43.94        | 2.18e+08 | 3.36e+07 |      10.27%      |    80.58%     |
| 16384 | 2048  | N/A |  [[16384, 2048]]   | bf16  |      78.48       |       78.62       |      78.76       |       85.89        | 4.36e+08 | 6.71e+07 |      10.9%       |    85.51%     |
| 32768 | 2048  | N/A |  [[32768, 2048]]   | bf16  |      153.01      |      153.09       |      153.19      |       169.77       | 8.72e+08 | 1.34e+08 |      11.18%      |    87.72%     |
|   1   | 3072  | N/A |    [[1, 3072]]     | bf16  |       2.98       |       3.01        |       3.04       |        2.01        | 3.99e+04 | 6.14e+03 |      0.03%       |     0.21%     |
|   2   | 3072  | N/A |    [[2, 3072]]     | bf16  |       3.06       |       3.08        |       3.11       |        2.02        | 7.99e+04 | 1.23e+04 |      0.05%       |     0.4%      |
|   4   | 3072  | N/A |    [[4, 3072]]     | bf16  |       3.12       |       3.14        |       3.16       |        2.03        | 1.60e+05 | 2.46e+04 |       0.1%       |     0.79%     |
|   8   | 3072  | N/A |    [[8, 3072]]     | bf16  |       3.17       |       3.19        |       3.2        |        2.06        | 3.19e+05 | 4.92e+04 |       0.2%       |     1.55%     |
|  16   | 3072  | N/A |    [[16, 3072]]    | bf16  |       3.2        |       3.22        |       3.24       |        2.12        | 6.39e+05 | 9.83e+04 |      0.39%       |     3.07%     |
|  32   | 3072  | N/A |    [[32, 3072]]    | bf16  |       3.31       |       3.34        |       3.36       |        2.25        | 1.28e+06 | 1.97e+05 |      0.76%       |     5.94%     |
|  64   | 3072  | N/A |    [[64, 3072]]    | bf16  |       3.31       |       3.33        |       3.34       |        2.49        | 2.56e+06 | 3.93e+05 |      1.51%       |    11.88%     |
|  128  | 3072  | N/A |   [[128, 3072]]    | bf16  |       3.52       |       3.53        |       3.54       |        2.98        | 5.11e+06 | 7.86e+05 |      2.85%       |    22.34%     |
|  256  | 3072  | N/A |   [[256, 3072]]    | bf16  |       4.01       |       4.05        |       4.09       |        3.97        | 1.02e+07 | 1.57e+06 |       5.0%       |    39.22%     |
