test case : H100PCIE_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                             input_shape                              | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops     |  activation  |   params   |     flops_1D      |               flops_2D               |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 16384, 8, 128], [4, 16384, 8, 128], [4, 16384, 8, 128]]     |  bf16  |     7927.11      |      8160.52      |     8402.19      |      7273.90      |    4.40e+12     |   8.39e+06   |  0.00e+00  |   [60129542144]   |    [2199023255552, 2199023255552]    |   [8589934592]   |       2.68e-01       |       8.26e-01       |       3.06e-01        |  6.71e+08  |    8.47%     |
|    8     |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 32768, 8, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]     |  bf16  |     8191.89      |      8378.12      |     8702.09      |      7273.90      |    4.40e+12     |   4.19e+06   |  0.00e+00  |   [60129542144]   |    [2199023255552, 2199023255552]    |   [8589934592]   |       2.59e-01       |       7.99e-01       |       2.96e-01        |  3.36e+08  |    4.10%     |
|    16    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 32768, 8, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]     |  bf16  |     15919.67     |     16717.96      |     17310.22     |     14545.80      |    8.80e+12     |   8.39e+06   |  0.00e+00  |  [120259084288]   |    [4398046511104, 4398046511104]    |  [17179869184]   |       2.67e-01       |       8.22e-01       |       3.05e-01        |  6.71e+08  |    4.22%     |
|    32    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 32768, 8, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]     |  bf16  |     32065.27     |     33640.36      |     34067.61     |     29089.61      |    1.76e+13     |   1.68e+07   |  0.00e+00  |  [240518168576]   |    [8796093022208, 8796093022208]    |  [34359738368]   |       2.65e-01       |       8.16e-01       |       3.03e-01        |  1.34e+09  |    4.19%     |
|    8     |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 65536, 8, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]     |  bf16  |     33138.38     |     34757.39      |     35310.82     |     29089.61      |    1.76e+13     |   8.39e+06   |  0.00e+00  |  [240518168576]   |    [8796093022208, 8796093022208]    |  [34359738368]   |       2.56e-01       |       7.90e-01       |       2.93e-01        |  6.71e+08  |    2.03%     |
|    16    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 65536, 8, 128], [2, 65536, 8, 128], [2, 65536, 8, 128]]     |  bf16  |     67617.50     |     69423.46      |     69966.32     |     58177.22      |    3.52e+13     |   1.68e+07   |  0.00e+00  |  [481036337152]   |   [17592186044416, 17592186044416]   |  [68719476736]   |       2.51e-01       |       7.74e-01       |       2.87e-01        |  1.34e+09  |    1.98%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 65536, 8, 128], [4, 65536, 8, 128], [4, 65536, 8, 128]]     |  bf16  |    136110.22     |     139255.22     |    139991.77     |     116352.44     |    7.04e+13     |   3.36e+07   |  0.00e+00  |  [962072674304]   |   [35184372088832, 35184372088832]   |  [137438953472]  |       2.49e-01       |       7.69e-01       |       2.85e-01        |  2.68e+09  |    1.97%     |
|    8     |   True   |   128    |   True   |    0.0    |  131072  |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 131072, 8, 128], [1, 131072, 8, 128], [1, 131072, 8, 128]]    |  bf16  |    147150.53     |     149452.12     |    150262.53     |     116352.44     |    7.04e+13     |   1.68e+07   |  0.00e+00  |  [962072674304]   |   [35184372088832, 35184372088832]   |  [137438953472]  |       2.31e-01       |       7.12e-01       |       2.64e-01        |  1.34e+09  |    0.91%     |
|    16    |   True   |   128    |   True   |    0.0    |  131072  |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 131072, 8, 128], [2, 131072, 8, 128], [2, 131072, 8, 128]]    |  bf16  |    294234.06     |     298053.34     |    300047.53     |     232702.87     |    1.41e+14     |   3.36e+07   |  0.00e+00  |  [1924145348608]  |   [70368744177664, 70368744177664]   |  [274877906944]  |       2.31e-01       |       7.12e-01       |       2.64e-01        |  2.68e+09  |    0.91%     |
|    32    |   True   |   128    |   True   |    0.0    |  131072  |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 131072, 8, 128], [4, 131072, 8, 128], [4, 131072, 8, 128]]    |  bf16  |    586889.50     |     595124.56     |    598750.50     |     465403.75     |    2.81e+14     |   6.71e+07   |  0.00e+00  |  [3848290697216]  |  [140737488355328, 140737488355328]  |  [549755813888]  |       2.31e-01       |       7.14e-01       |       2.64e-01        |  5.37e+09  |    0.91%     |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 2048, 32, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]      |  bf16  |      185.52      |      187.61       |      189.40      |      115.62       |    6.87e+10     |   2.62e+05   |  0.00e+00  |    [939524096]    |      [34359738368, 34359738368]      |   [134217728]    |       1.79e-01       |       5.51e-01       |       2.04e-01        |  5.87e+07  |    31.65%    |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 2048, 32, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]      |  bf16  |      316.42      |      319.91       |      323.97      |      229.25       |    1.37e+11     |   5.24e+05   |  0.00e+00  |   [1879048192]    |      [68719476736, 68719476736]      |   [268435456]    |       2.10e-01       |       6.46e-01       |       2.40e-01        |  1.17e+08  |    37.12%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 2048, 32, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]      |  bf16  |      565.44      |      579.55       |      604.06      |      456.49       |    2.75e+11     |   1.05e+06   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.35e-01       |       7.23e-01       |       2.68e-01        |  2.35e+08  |    41.54%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 4096, 32, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]      |  bf16  |      582.05      |      608.72       |      644.39      |      456.49       |    2.75e+11     |   5.24e+05   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.28e-01       |       7.03e-01       |       2.60e-01        |  1.17e+08  |    20.18%    |
|    64    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 4096, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]      |  bf16  |     1060.12      |      1168.29      |     1218.36      |      910.99       |    5.50e+11     |   1.05e+06   |  0.00e+00  |   [7516192768]    |     [274877906944, 274877906944]     |   [1073741824]   |       2.50e-01       |       7.72e-01       |       2.86e-01        |  2.35e+08  |    22.16%    |
|   128    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 4096, 32, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]      |  bf16  |     2000.76      |      2272.56      |     2346.56      |      1819.98      |    1.10e+12     |   2.10e+06   |  0.00e+00  |   [15032385536]   |     [549755813888, 549755813888]     |   [2147483648]   |       2.65e-01       |       8.18e-01       |       3.03e-01        |  4.70e+08  |    23.48%    |
