Test Case: H100PCIE_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  64   | N/A |           [[8, 64], [64]]            | bf16  |       3.34       |       3.37        |       3.39       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.05%     |
|  16   |  64   | N/A |           [[16, 64], [64]]           | bf16  |       3.44       |       3.46        |       3.48       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  32   |  64   | N/A |           [[32, 64], [64]]           | bf16  |       3.46       |        3.5        |       3.53       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  64   |  64   | N/A |           [[64, 64], [64]]           | bf16  |       3.49       |       3.51        |       3.53       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  128  |  64   | N/A |          [[128, 64], [64]]           | bf16  |       3.53       |       3.55        |       3.58       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  256  |  64   | N/A |          [[256, 64], [64]]           | bf16  |       3.57       |        3.6        |       3.64       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
|  512  |  64   | N/A |          [[512, 64], [64]]           | bf16  |       3.55       |       3.58        |       3.6        |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.77%     |
| 1024  |  64   | N/A |          [[1024, 64], [64]]          | bf16  |       3.59       |       3.61        |       3.64       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.48%     |
| 2048  |  64   | N/A |          [[2048, 64], [64]]          | bf16  |       3.67       |       3.69        |       3.72       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.71%     |
| 4096  |  64   | N/A |          [[4096, 64], [64]]          | bf16  |       3.82       |       3.87        |       3.93       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.59%     |
| 8192  |  64   | N/A |          [[8192, 64], [64]]          | bf16  |       3.59       |       3.61        |       3.62       |        3.97        | 5.24e+05 | 1.57e+06 |      0.29%       |    43.81%     |
| 16384 |  64   | N/A |         [[16384, 64], [64]]          | bf16  |       5.8        |       5.83        |       5.86       |        5.93        | 1.05e+06 | 3.15e+06 |      0.35%       |    54.24%     |
| 32768 |  64   | N/A |         [[32768, 64], [64]]          | bf16  |       8.33       |       8.37        |       8.41       |        9.86        | 2.10e+06 | 6.29e+06 |      0.49%       |    75.53%     |
|   1   |  128  | N/A |          [[1, 128], [128]]           | bf16  |       2.29       |       2.31        |       2.33       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.02%     |
|   2   |  128  | N/A |          [[2, 128], [128]]           | bf16  |       2.91       |       2.91        |       2.92       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       3.36       |       3.39        |       3.42       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.05%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       3.43       |       3.45        |       3.47       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       3.49       |       3.51        |       3.53       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       3.5        |       3.52        |       3.54       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       3.54       |       3.56        |       3.57       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.69%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       3.56       |       3.59        |       3.61       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       3.6        |       3.61        |       3.62       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.73%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       3.63       |       3.65        |       3.67       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.42%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       3.72       |       3.74        |       3.76       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.57%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.85       |       3.87        |       3.89       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.43%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       4.29       |       4.31        |       4.33       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.66%     |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       5.99       |       6.02        |       6.05       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.52%     |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       8.49       |       8.53        |       8.58       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |     74.1%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |      13.88       |       13.91       |      13.95       |       17.73        | 4.19e+06 | 1.26e+07 |      0.59%       |    90.65%     |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       2.45       |       2.47        |       2.48       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.06%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       3.44       |       3.46        |       3.49       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       3.49       |       3.51        |       3.53       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       3.52       |       3.54        |       3.55       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       3.52       |       3.55        |       3.59       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       3.52       |       3.55        |       3.59       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.4%      |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       3.58       |        3.6        |       3.63       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.75%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       3.67       |       3.69        |       3.72       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.36%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       3.74       |       3.75        |       3.76       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.51%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.88       |        3.9        |       3.92       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.27%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       4.28       |       4.31        |       4.33       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.75%     |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       6.01       |       6.06        |       6.13       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.34%     |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       8.52       |       8.53        |       8.54       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |    73.84%     |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |       14.0       |       14.04       |      14.08       |       17.73        | 4.19e+06 | 1.26e+07 |      0.59%       |    89.88%     |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |      26.98       |       27.02       |      27.06       |       33.46        | 8.39e+06 | 2.52e+07 |      0.61%       |    93.28%     |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |       57.9       |       57.93       |      57.97       |       64.91        | 1.68e+07 | 5.03e+07 |      0.57%       |    86.93%     |
