Test Case: H20SXM_aten_bmm
|  B  |  M   |  K   |  N   |              input_shape               | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 128 |  1   |  32  | 2048 |    [[128, 1, 32], [128, 32, 2048]]     | bf16  |      17.34       |       17.46       |      17.63       |        7.41        | 1.68e+07 | 8.65e+06 |      0.65%       |    24.96%     |
|  1  |  64  |  32  | 2048 |      [[1, 64, 32], [1, 32, 2048]]      | bf16  |      13.95       |       14.08       |      14.37       |        2.12        | 8.39e+06 | 1.99e+05 |      0.41%       |     0.71%     |
|  8  |  64  |  32  | 2048 |      [[8, 64, 32], [8, 32, 2048]]      | bf16  |       13.8       |       14.07       |      14.23       |        2.99        | 6.71e+07 | 1.59e+06 |      3.29%       |     5.76%     |
| 128 |  64  |  32  | 2048 |    [[128, 64, 32], [128, 32, 2048]]    | bf16  |      43.54       |       43.66       |      43.76       |       17.89        | 1.07e+09 | 2.54e+07 |      16.66%      |     29.2%     |
|  1  | 1024 |  32  | 2048 |     [[1, 1024, 32], [1, 32, 2048]]     | bf16  |       14.0       |       14.17       |      14.35       |        3.37        | 1.34e+08 | 2.20e+06 |      6.48%       |     7.84%     |
|  8  | 1024 |  32  | 2048 |     [[8, 1024, 32], [8, 32, 2048]]     | bf16  |      37.59       |       37.72       |      37.86       |       12.98        | 1.07e+09 | 1.76e+07 |      19.3%       |    23.36%     |
| 128 | 1024 |  32  | 2048 |   [[128, 1024, 32], [128, 32, 2048]]   | bf16  |      482.06      |       482.4       |      482.7       |       177.64       | 1.72e+10 | 2.81e+08 |      24.08%      |    29.15%     |
|  1  |  1   | 3072 | 2048 |    [[1, 1, 3072], [1, 3072, 2048]]     | bf16  |      20.25       |       20.33       |      20.48       |        5.94        | 1.26e+07 | 6.30e+06 |      0.42%       |    15.55%     |
|  8  |  1   | 3072 | 2048 |    [[8, 1, 3072], [8, 3072, 2048]]     | bf16  |       92.7       |       92.81       |      92.88       |       33.48        | 1.01e+08 | 5.04e+07 |      0.73%       |    27.17%     |
| 128 |  1   | 3072 | 2048 |  [[128, 1, 3072], [128, 3072, 2048]]   | bf16  |     1145.78      |      1145.99      |     1146.31      |       505.73       | 1.61e+09 | 8.06e+08 |      0.95%       |    35.17%     |
|  1  |  64  | 3072 | 2048 |    [[1, 64, 3072], [1, 3072, 2048]]    | bf16  |      20.96       |       21.03       |      21.09       |        8.05        | 8.05e+08 | 6.62e+06 |      25.96%      |    15.79%     |
|  8  |  64  | 3072 | 2048 |    [[8, 64, 3072], [8, 3072, 2048]]    | bf16  |      93.25       |       93.4        |      93.65       |       50.37        | 6.44e+09 | 5.30e+07 |      46.68%      |    28.39%     |
