test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 1, 64]]     |  bf16  |       8.57       |       8.60        |       8.62       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.20e-06      |      7.27e-06      |      2.47e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[1, 16, 3, 1, 64]]     |  bf16  |       8.34       |       8.36        |       8.40       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.86e-08      |      2.33e-07      |      7.95e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[2, 16, 3, 1, 64]]     |  bf16  |       8.30       |       8.33        |       8.35       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.76e-08      |      4.69e-07      |      1.60e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[4, 16, 3, 1, 64]]     |  bf16  |       8.33       |       8.35        |       8.37       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.55e-07      |      9.35e-07      |      3.18e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[8, 16, 3, 1, 64]]     |  bf16  |       8.50       |       8.53        |       8.56       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      3.03e-07      |      1.83e-06      |      6.24e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[16, 16, 3, 1, 64]]    |  bf16  |       8.47       |       8.50        |       8.56       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.09e-07      |      3.68e-06      |      1.25e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[32, 16, 3, 1, 64]]    |  bf16  |       8.59       |       8.60        |       8.62       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.20e-06      |      7.25e-06      |      2.47e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[1, 32, 3, 1, 64]]     |  bf16  |       8.36       |       8.38        |       8.41       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.85e-08      |      2.33e-07      |      7.93e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[2, 32, 3, 1, 64]]     |  bf16  |       8.38       |       8.40        |       8.43       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.69e-08      |      4.64e-07      |      1.58e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   32   |    [[4, 32, 3, 1, 64]]     |  bf16  |       8.38       |       8.40        |       8.42       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.54e-07      |      9.29e-07      |      3.16e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
