Test Case: H20SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       4.83       |       4.84        |       4.85       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.25%        |        0.25%         |     1.36%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       6.78       |        6.8        |       6.82       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.35%        |        0.35%         |     1.93%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |      11.42       |       11.44       |      11.47       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.42%        |        0.42%         |     2.3%      |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      20.08       |       20.13       |      20.16       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.47%        |        0.47%         |     2.61%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      37.58       |       37.61       |      37.63       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.51%        |        0.51%         |     2.79%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |       72.6       |       72.66       |      72.73       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.53%        |        0.53%         |     2.89%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      142.7       |      142.76       |      142.83      |        7.24        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        0.53%        |        0.53%         |     2.94%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       2.6        |       2.62        |       2.66       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       2.62       |       2.64        |       2.66       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       2.64       |       2.66        |       2.71       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       2.66       |       2.67        |       2.69       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.04%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       2.65       |       2.67        |       2.73       |        2.0         | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.08%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       2.7        |       2.73        |       2.75       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.15%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       2.77       |        2.8        |       2.82       |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     0.3%      |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       2.8        |       2.82        |       2.85       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.11%        |        0.11%         |     0.59%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       2.9        |       2.92        |       2.96       |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.21%        |        0.21%         |     1.13%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       3.13       |       3.15        |       3.18       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.38%        |        0.38%         |     2.09%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       4.51       |       4.53        |       4.54       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.53%        |        0.53%         |     2.91%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       6.44       |       6.46        |       6.49       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.74%        |        0.74%         |     4.07%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |      10.71       |       10.76       |      10.81       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.89%        |        0.89%         |     4.9%      |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      18.92       |       18.95       |      18.97       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.01%        |        1.01%         |     5.54%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      35.39       |       35.46       |      35.51       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.08%        |        1.08%         |     5.93%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      68.67       |       68.72       |      68.78       |        7.24        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.11%        |        1.11%         |     6.11%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      138.41      |      138.47       |      138.51      |       12.49        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        1.1%         |         1.1%         |     6.06%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       2.8        |       2.82        |       2.84       |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       2.81       |       2.84        |       2.9        |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       2.81       |       2.84        |       2.88       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.0%         |         0.0%         |     0.03%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       2.86       |       2.88        |       2.9        |        2.0         | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.05%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       2.9        |       2.91        |       2.92       |        2.0         | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.11%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       2.89       |       2.93        |       2.96       |        2.01        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.04%        |        0.04%         |     0.21%     |
