Test Case: H20SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.04       |       2.06        |       2.08       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.05%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       2.23       |       2.26        |       2.3        |        2.0         | 2.66e+04 | 4.10e+03 |      0.03%       |     0.09%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       2.35       |       2.39        |       2.42       |        2.01        | 5.32e+04 | 8.19e+03 |      0.05%       |     0.17%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       2.27       |        2.3        |       2.32       |        2.01        | 1.06e+05 | 1.64e+04 |      0.11%       |     0.36%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       2.38       |       2.41        |       2.45       |        2.02        | 2.13e+05 | 3.28e+04 |       0.2%       |     0.69%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       2.3        |       2.34        |       2.38       |        2.04        | 4.26e+05 | 6.55e+04 |      0.42%       |     1.42%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       2.41       |       2.44        |       2.48       |        2.08        | 8.52e+05 | 1.31e+05 |       0.8%       |     2.72%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       2.46       |       2.49        |       2.53       |        2.16        | 1.70e+06 | 2.62e+05 |      1.57%       |     5.33%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       2.71       |       2.73        |       2.76       |        2.33        | 3.41e+06 | 5.24e+05 |      2.86%       |     9.67%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       3.13       |       3.16        |       3.2        |        2.66        | 6.82e+06 | 1.05e+06 |      4.95%       |    16.75%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       4.15       |        4.2        |       4.24       |        3.31        | 1.36e+07 | 2.10e+06 |      7.47%       |    25.27%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       5.9        |       5.93        |       5.96       |        4.62        | 2.73e+07 | 4.19e+06 |      10.5%       |    35.54%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       9.73       |       9.78        |       9.82       |        7.24        | 5.45e+07 | 8.39e+06 |      12.74%      |    43.11%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       2.03       |       2.06        |       2.09       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       1.92       |       1.94        |       1.97       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.05%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       1.92       |       1.94        |       1.96       |        2.0         | 2.66e+04 | 4.10e+03 |      0.03%       |     0.11%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       2.03       |       2.06        |       2.08       |        2.01        | 5.32e+04 | 8.19e+03 |      0.06%       |     0.2%      |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       2.07       |        2.1        |       2.14       |        2.01        | 1.06e+05 | 1.64e+04 |      0.12%       |     0.4%      |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       2.27       |        2.3        |       2.34       |        2.02        | 2.13e+05 | 3.28e+04 |      0.21%       |     0.72%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       2.34       |       2.36        |       2.37       |        2.04        | 4.26e+05 | 6.55e+04 |      0.41%       |     1.4%      |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       2.4        |       2.42        |       2.45       |        2.08        | 8.52e+05 | 1.31e+05 |      0.81%       |     2.73%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       2.47       |        2.5        |       2.53       |        2.16        | 1.70e+06 | 2.62e+05 |      1.57%       |     5.31%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       2.69       |       2.72        |       2.74       |        2.33        | 3.41e+06 | 5.24e+05 |      2.88%       |     9.75%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       3.08       |       3.11        |       3.14       |        2.66        | 6.82e+06 | 1.05e+06 |      5.03%       |    17.02%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       4.16       |       4.19        |       4.23       |        3.31        | 1.36e+07 | 2.10e+06 |      7.45%       |    25.21%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       6.05       |       6.08        |       6.12       |        4.62        | 2.73e+07 | 4.19e+06 |      10.24%      |    34.66%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |       9.91       |       9.95        |       9.99       |        7.24        | 5.45e+07 | 8.39e+06 |      12.5%       |    42.32%     |
