Test Case: H20SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  512  |  64   | N/A |          [[512, 64], [64]]           | bf16  |       2.74       |       2.78        |       2.82       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.79%     |
| 1024  |  64   | N/A |          [[1024, 64], [64]]          | bf16  |       2.77       |        2.8        |       2.83       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.55%     |
| 2048  |  64   | N/A |          [[2048, 64], [64]]          | bf16  |       2.9        |       2.92        |       2.93       |        2.25        | 1.31e+05 | 3.93e+05 |       0.1%       |     6.78%     |
| 4096  |  64   | N/A |          [[4096, 64], [64]]          | bf16  |       3.09       |       3.12        |       3.17       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |    12.73%     |
| 8192  |  64   | N/A |          [[8192, 64], [64]]          | bf16  |       4.07       |       4.09        |       4.11       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.32%     |
| 16384 |  64   | N/A |         [[16384, 64], [64]]          | bf16  |       5.78       |       5.81        |       5.84       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.21%     |
| 32768 |  64   | N/A |         [[32768, 64], [64]]          | bf16  |       9.25       |       9.27        |       9.28       |        5.93        | 2.10e+06 | 6.29e+06 |      0.52%       |    34.01%     |
|   1   |  128  | N/A |          [[1, 128], [128]]           | bf16  |       1.79       |       1.82        |       1.85       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   2   |  128  | N/A |          [[2, 128], [128]]           | bf16  |       2.2        |       2.22        |       2.24       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       2.64       |       2.68        |       2.72       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.03%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       2.55       |       2.58        |       2.61       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.06%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       2.65       |       2.68        |       2.72       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.12%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       2.7        |       2.75        |       2.82       |        2.01        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.23%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       2.72       |       2.74        |       2.77       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.45%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       2.72       |       2.76        |       2.8        |        2.03        | 1.64e+04 | 4.92e+04 |      0.01%       |     0.9%      |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       2.76       |       2.78        |       2.81       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.78%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       2.87       |        2.9        |       2.93       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.43%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       2.89       |       2.92        |       2.95       |        2.25        | 1.31e+05 | 3.93e+05 |       0.1%       |     6.8%      |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.06       |       3.09        |       3.13       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |    12.85%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       4.08       |       4.11        |       4.15       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.28%     |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       5.77       |       5.81        |       5.85       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.26%     |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       9.25       |        9.3        |       9.36       |        5.93        | 2.10e+06 | 6.29e+06 |      0.52%       |    34.01%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |      16.24       |       16.29       |      16.33       |        9.86        | 4.19e+06 | 1.26e+07 |      0.59%       |    38.74%     |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       1.77       |        1.8        |       1.83       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       2.63       |       2.66        |       2.7        |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.06%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       2.66       |       2.69        |       2.73       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.12%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       2.67       |        2.7        |       2.72       |        2.01        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.23%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       2.77       |       2.79        |       2.81       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.44%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       2.73       |       2.77        |       2.8        |        2.03        | 1.64e+04 | 4.92e+04 |      0.01%       |     0.9%      |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       2.8        |       2.82        |       2.83       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.76%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       2.84       |       2.87        |       2.91       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.46%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       2.91       |       2.94        |       2.97       |        2.25        | 1.31e+05 | 3.93e+05 |       0.1%       |     6.76%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.11       |       3.13        |       3.16       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |    12.64%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       4.09       |       4.12        |       4.16       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.23%     |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       5.75       |        5.8        |       5.85       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.35%     |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       9.25       |        9.3        |       9.34       |        5.93        | 2.10e+06 | 6.29e+06 |      0.52%       |    34.01%     |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |      16.21       |       16.24       |      16.28       |        9.86        | 4.19e+06 | 1.26e+07 |      0.59%       |    38.81%     |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |       31.3       |       31.34       |      31.39       |       17.73        | 8.39e+06 | 2.52e+07 |      0.61%       |     40.2%     |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |      70.71       |       70.76       |      70.82       |       33.46        | 1.68e+07 | 5.03e+07 |      0.54%       |    35.59%     |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       1.83       |       1.88        |       1.93       |        2.0         | 7.68e+02 | 2.30e+03 |       0.0%       |     0.06%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       2.65       |       2.67        |       2.68       |        2.0         | 1.54e+03 | 4.61e+03 |       0.0%       |     0.09%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       2.69       |       2.71        |       2.74       |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.17%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       2.7        |       2.72        |       2.75       |        2.01        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.34%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       2.69       |       2.72        |       2.75       |        2.02        | 1.23e+04 | 3.69e+04 |      0.01%       |     0.69%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       2.77       |        2.8        |       2.84       |        2.05        | 2.46e+04 | 7.37e+04 |      0.02%       |     1.33%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       2.76       |       2.79        |       2.82       |        2.09        | 4.92e+04 | 1.47e+05 |      0.04%       |     2.67%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       2.87       |       2.89        |       2.92       |        2.18        | 9.83e+04 | 2.95e+05 |      0.08%       |     5.14%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       3.08       |        3.1        |       3.12       |        2.37        | 1.97e+05 | 5.90e+05 |      0.15%       |     9.58%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       3.49       |       3.52        |       3.55       |        2.74        | 3.93e+05 | 1.18e+06 |      0.26%       |     16.9%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       5.03       |       5.06        |       5.09       |        3.47        | 7.86e+05 | 2.36e+06 |      0.36%       |    23.45%     |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       7.53       |       7.54        |       7.55       |        4.95        | 1.57e+06 | 4.72e+06 |      0.47%       |    31.33%     |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |      12.72       |       12.76       |      12.79       |        7.9         | 3.15e+06 | 9.44e+06 |      0.56%       |     37.1%     |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      24.08       |       24.14       |      24.21       |        13.8        | 6.29e+06 | 1.89e+07 |      0.59%       |    39.19%     |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      52.14       |       52.22       |      52.29       |       25.59        | 1.26e+07 | 3.77e+07 |      0.55%       |     36.2%     |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      104.36      |      104.41       |      104.45      |       49.19        | 2.52e+07 | 7.55e+07 |      0.55%       |    36.17%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       1.74       |       1.77        |       1.81       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|   2   | 2048  | N/A |         [[2, 2048], [2048]]          | bf16  |       2.71       |       2.73        |       2.76       |        2.01        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.23%     |
