test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          | flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[8, 16384, 8, 128], [8, 16384, 8, 128], [8, 16384, 8, 128]]    |  bf16  |     49749.69     |     49769.33      |     49789.42     |       2.08        | [1202590... | [4398046511104, 4398046... | [171798... |      1.11e-01      |      1.34e+00      |      2.29e-01       |  1.08e+09  |       11.12%       |      134.40%       |       22.89%        |    1.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 32768, 8, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]    |  bf16  |     26020.91     |     26037.29      |     26053.35     |       2.01        | [6012954... | [2199023255552, 2199023... | [858993... |      1.06e-01      |      1.28e+00      |      2.19e-01       |  2.77e+08  |       10.64%       |      128.48%       |       21.88%        |    0.53%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 32768, 8, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]    |  bf16  |     50266.33     |     50323.19      |     50347.74     |       2.02        | [1202590... | [4398046511104, 4398046... | [171798... |      1.10e-01      |      1.33e+00      |      2.27e-01       |  5.45e+08  |       11.01%       |      133.02%       |       22.65%        |    0.54%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 2048, 32, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]     |  bf16  |      522.64      |      524.35       |      525.50      |       2.04        | [939524096] | [34359738368, 34359738368] | [134217... |      8.27e-02      |      9.99e-01      |      1.70e-01       |  6.76e+07  |       8.27%        |       99.95%       |       17.02%        |    6.47%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 2048, 32, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      927.51      |      931.69       |      935.38      |       2.08        | [1879048... | [68719476736, 68719476736] | [268435... |      9.32e-02      |      1.13e+00      |      1.92e-01       |  1.35e+08  |       9.32%        |      112.64%       |       19.18%        |    7.26%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 2048, 32, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |     1745.18      |      1747.88      |     1750.20      |       2.01        | [3758096... | [137438953472, 13743895... | [536870... |      9.91e-02      |      1.20e+00      |      2.04e-01       |  2.69e+08  |       9.91%        |      119.73%       |       20.39%        |    7.71%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[8, 2048, 32, 128], [8, 2048, 8, 128], [8, 2048, 8, 128]]     |  bf16  |     3371.15      |      3378.19      |     3382.47      |       2.02        | [7516192... | [274877906944, 27487790... | [107374... |      1.03e-01      |      1.24e+00      |      2.11e-01       |  5.37e+08  |       10.26%       |      123.96%       |       21.11%        |    7.97%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 4096, 32, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |     1794.56      |      1797.99      |     1802.92      |       2.04        | [3758096... | [137438953472, 13743895... | [536870... |      9.64e-02      |      1.16e+00      |      1.98e-01       |  1.35e+08  |       9.64%        |      116.43%       |       19.83%        |    3.77%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 4096, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |     3361.25      |      3365.84      |     3369.91      |       2.08        | [7516192... | [274877906944, 27487790... | [107374... |      1.03e-01      |      1.24e+00      |      2.12e-01       |  2.69e+08  |       10.29%       |      124.33%       |       21.17%        |    4.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 4096, 32, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |     6501.10      |      6506.37      |     6512.15      |       2.01        | [1503238... | [549755813888, 54975581... | [214748... |      1.06e-01      |      1.29e+00      |      2.19e-01       |  5.38e+08  |       10.64%       |      128.56%       |       21.89%        |    4.14%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[8, 4096, 32, 128], [8, 4096, 8, 128], [8, 4096, 8, 128]]     |  bf16  |     12782.33     |     12790.59      |     12795.46     |       2.02        | [3006477... | [1099511627776, 1099511... | [429496... |      1.08e-01      |      1.31e+00      |      2.23e-01       |  1.07e+09  |       10.82%       |      130.77%       |       22.27%        |    4.20%     |
