Test Case: H20SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1024  | 8192  | N/A |        [[1024, 8192], [8192]]        | bf16  |      31.42       |       31.44       |      31.46       |       17.73        | 8.39e+06 | 2.52e+07 |      0.61%       |    40.05%     |
| 2048  | 8192  | N/A |        [[2048, 8192], [8192]]        | bf16  |      70.73       |       70.78       |      70.84       |       33.46        | 1.68e+07 | 5.03e+07 |      0.54%       |    35.58%     |
| 4096  | 8192  | N/A |        [[4096, 8192], [8192]]        | bf16  |      137.98      |      138.06       |      138.13      |       64.91        | 3.36e+07 | 1.01e+08 |      0.55%       |    36.48%     |
| 8192  | 8192  | N/A |        [[8192, 8192], [8192]]        | bf16  |      272.03      |      272.12       |      272.2       |       127.83       | 6.71e+07 | 2.01e+08 |      0.56%       |     37.0%     |
| 16384 | 8192  | N/A |       [[16384, 8192], [8192]]        | bf16  |      541.26      |      541.38       |      541.49      |       253.66       | 1.34e+08 | 4.03e+08 |      0.56%       |     37.2%     |
| 32768 | 8192  | N/A |       [[32768, 8192], [8192]]        | bf16  |     1078.03      |      1078.25      |     1078.48      |       505.32       | 2.68e+08 | 8.05e+08 |      0.57%       |    37.35%     |
|   1   | 13824 | N/A |        [[1, 13824], [13824]]         | bf16  |       1.61       |       1.65        |       1.69       |        2.03        | 1.38e+04 | 4.15e+04 |      0.02%       |     1.29%     |
|   2   | 13824 | N/A |        [[2, 13824], [13824]]         | bf16  |       2.58       |       2.61        |       2.65       |        2.05        | 2.76e+04 | 8.29e+04 |      0.02%       |     1.61%     |
|   4   | 13824 | N/A |        [[4, 13824], [13824]]         | bf16  |       2.57       |        2.6        |       2.64       |        2.1         | 5.53e+04 | 1.66e+05 |      0.05%       |     3.23%     |
|   8   | 13824 | N/A |        [[8, 13824], [13824]]         | bf16  |       2.66       |       2.69        |       2.72       |        2.21        | 1.11e+05 | 3.32e+05 |      0.09%       |     6.24%     |
|  16   | 13824 | N/A |        [[16, 13824], [13824]]        | bf16  |       3.01       |       3.05        |       3.08       |        2.41        | 2.21e+05 | 6.64e+05 |      0.17%       |    11.02%     |
|  32   | 13824 | N/A |        [[32, 13824], [13824]]        | bf16  |       3.79       |       3.82        |       3.86       |        2.83        | 4.42e+05 | 1.33e+06 |      0.27%       |    17.51%     |
|  64   | 13824 | N/A |        [[64, 13824], [13824]]        | bf16  |       5.27       |        5.3        |       5.33       |        3.66        | 8.85e+05 | 2.65e+06 |      0.38%       |    25.18%     |
|  128  | 13824 | N/A |       [[128, 13824], [13824]]        | bf16  |       8.18       |       8.21        |       8.24       |        5.32        | 1.77e+06 | 5.31e+06 |      0.49%       |    32.45%     |
|  256  | 13824 | N/A |       [[256, 13824], [13824]]        | bf16  |      14.07       |       14.1        |      14.14       |        8.64        | 3.54e+06 | 1.06e+07 |      0.57%       |    37.73%     |
|  512  | 13824 | N/A |       [[512, 13824], [13824]]        | bf16  |      26.76       |       26.8        |      26.84       |       15.27        | 7.08e+06 | 2.12e+07 |       0.6%       |    39.67%     |
| 1024  | 13824 | N/A |       [[1024, 13824], [13824]]       | bf16  |      59.69       |       59.74       |       59.8       |       28.54        | 1.42e+07 | 4.25e+07 |      0.54%       |    35.57%     |
| 2048  | 13824 | N/A |       [[2048, 13824], [13824]]       | bf16  |      116.96      |      117.04       |      117.1       |       55.08        | 2.83e+07 | 8.49e+07 |      0.55%       |    36.31%     |
| 4096  | 13824 | N/A |       [[4096, 13824], [13824]]       | bf16  |      230.36      |      230.44       |      230.51      |       108.17       | 5.66e+07 | 1.70e+08 |      0.56%       |    36.87%     |
| 8192  | 13824 | N/A |       [[8192, 13824], [13824]]       | bf16  |      456.93      |      457.01       |      457.09      |       214.34       | 1.13e+08 | 3.40e+08 |      0.56%       |    37.18%     |
| 16384 | 13824 | N/A |      [[16384, 13824], [13824]]       | bf16  |      910.34      |      910.57       |      910.84      |       426.67       | 2.26e+08 | 6.79e+08 |      0.57%       |    37.32%     |
