test case : H20SXM_aten::scaled_dot_product_attention
|  is_causal  |  scale   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          |  flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|    True     |   0.08   |         [[32, 1, 8, 64], [32, 1, 8, 64], [32, 1, 8, 64]]          |  bf16  |       8.26       |       8.30        |       8.36       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      9.99e-06      |      6.03e-05      |      2.05e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.79%     |
|    True     |   0.08   |         [[1, 1, 16, 64], [1, 1, 16, 64], [1, 1, 16, 64]]          |  bf16  |       7.97       |       8.00        |       8.08       |       2.01        |    [112]    |        [2048, 2048]        |    [16]     |      6.47e-07      |      3.91e-06      |      1.33e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|    True     |   0.08   |         [[2, 1, 16, 64], [2, 1, 16, 64], [2, 1, 16, 64]]          |  bf16  |       7.96       |       7.98        |       8.01       |       2.01        |    [224]    |        [4096, 4096]        |    [32]     |      1.30e-06      |      7.82e-06      |      2.66e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|    True     |   0.08   |         [[4, 1, 16, 64], [4, 1, 16, 64], [4, 1, 16, 64]]          |  bf16  |       7.98       |       8.01        |       8.05       |       2.02        |    [448]    |        [8192, 8192]        |    [64]     |      2.58e-06      |      1.56e-05      |      5.31e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.21%     |
|    True     |   0.08   |         [[8, 1, 16, 64], [8, 1, 16, 64], [8, 1, 16, 64]]          |  bf16  |       8.28       |       8.32        |       8.39       |       2.04        |    [896]    |       [16384, 16384]       |    [128]    |      4.98e-06      |      3.01e-05      |      1.02e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.40%     |
|    True     |   0.08   |        [[16, 1, 16, 64], [16, 1, 16, 64], [16, 1, 16, 64]]        |  bf16  |       8.26       |       8.29        |       8.32       |       2.08        |   [1792]    |       [32768, 32768]       |    [256]    |      9.99e-06      |      6.03e-05      |      2.05e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.79%     |
|    True     |   0.08   |        [[32, 1, 16, 64], [32, 1, 16, 64], [32, 1, 16, 64]]        |  bf16  |       8.28       |       8.31        |       8.35       |       2.16        |   [3584]    |       [65536, 65536]       |    [512]    |      1.99e-05      |      1.20e-04      |      4.10e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.58%     |
|    True     |   0.08   |         [[1, 1, 32, 64], [1, 1, 32, 64], [1, 1, 32, 64]]          |  bf16  |       7.97       |       8.01        |       8.05       |       2.01        |    [224]    |        [4096, 4096]        |    [32]     |      1.29e-06      |      7.81e-06      |      2.66e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|    True     |   0.08   |         [[2, 1, 32, 64], [2, 1, 32, 64], [2, 1, 32, 64]]          |  bf16  |       8.00       |       8.03        |       8.05       |       2.02        |    [448]    |        [8192, 8192]        |    [64]     |      2.58e-06      |      1.56e-05      |      5.30e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.21%     |
|    True     |   0.08   |         [[4, 1, 32, 64], [4, 1, 32, 64], [4, 1, 32, 64]]          |  bf16  |       7.99       |       8.02        |       8.06       |       2.04        |    [896]    |       [16384, 16384]       |    [128]    |      5.16e-06      |      3.12e-05      |      1.06e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.41%     |
