Test Case: H20SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  | 2048 |         [[1, 1, 2048], [1, 1, 32], [1, 32, 2048]]         | bf16  |      21.83       |       22.18       |      22.46       |        2.04        | 1.31e+05 | 6.76e+04 |       0.0%       |     0.15%     |
|  8  |  1   |  32  | 2048 |         [[8, 1, 2048], [8, 1, 32], [8, 32, 2048]]         | bf16  |      18.21       |       18.42       |      18.75       |        2.34        | 1.05e+06 | 5.41e+05 |      0.04%       |     1.49%     |
| 128 |  1   |  32  | 2048 |      [[128, 1, 2048], [128, 1, 32], [128, 32, 2048]]      | bf16  |      20.15       |       20.25       |      20.35       |        7.41        | 1.68e+07 | 8.65e+06 |      0.56%       |    21.48%     |
|  1  |  64  |  32  | 2048 |        [[1, 64, 2048], [1, 64, 32], [1, 32, 2048]]        | bf16  |      18.25       |       18.49       |      18.68       |        2.12        | 8.39e+06 | 1.99e+05 |      0.31%       |     0.54%     |
|  8  |  64  |  32  | 2048 |        [[8, 64, 2048], [8, 64, 32], [8, 32, 2048]]        | bf16  |       18.2       |       18.44       |      18.66       |        2.99        | 6.71e+07 | 1.59e+06 |      2.49%       |     4.37%     |
| 128 |  64  |  32  | 2048 |     [[128, 64, 2048], [128, 64, 32], [128, 32, 2048]]     | bf16  |      104.66      |      104.86       |      104.97      |       17.89        | 1.07e+09 | 2.54e+07 |      6.93%       |    12.15%     |
|  1  | 1024 |  32  | 2048 |      [[1, 1024, 2048], [1, 1024, 32], [1, 32, 2048]]      | bf16  |       18.0       |       18.38       |       18.7       |        3.37        | 1.34e+08 | 2.20e+06 |      5.04%       |     6.1%      |
|  8  | 1024 |  32  | 2048 |      [[8, 1024, 2048], [8, 1024, 32], [8, 32, 2048]]      | bf16  |      97.45       |       97.69       |      97.84       |       12.98        | 1.07e+09 | 1.76e+07 |      7.44%       |     9.01%     |
| 128 | 1024 |  32  | 2048 |   [[128, 1024, 2048], [128, 1024, 32], [128, 32, 2048]]   | bf16  |      1398.2      |      1398.56      |     1398.98      |       177.64       | 1.72e+10 | 2.81e+08 |       8.3%       |    10.05%     |
|  1  |  1   | 3072 | 2048 |       [[1, 1, 2048], [1, 1, 3072], [1, 3072, 2048]]       | bf16  |      22.63       |       22.74       |      22.83       |        5.94        | 1.26e+07 | 6.30e+06 |      0.38%       |    13.91%     |
|  8  |  1   | 3072 | 2048 |       [[8, 1, 2048], [8, 1, 3072], [8, 3072, 2048]]       | bf16  |      96.01       |       96.13       |      96.21       |       33.48        | 1.01e+08 | 5.04e+07 |      0.71%       |    26.23%     |
| 128 |  1   | 3072 | 2048 |    [[128, 1, 2048], [128, 1, 3072], [128, 3072, 2048]]    | bf16  |     1150.97      |      1151.15      |     1151.26      |       505.73       | 1.61e+09 | 8.06e+08 |      0.95%       |    35.01%     |
|  1  |  64  | 3072 | 2048 |      [[1, 64, 2048], [1, 64, 3072], [1, 3072, 2048]]      | bf16  |      23.53       |       23.62       |       23.7       |        8.05        | 8.05e+08 | 6.62e+06 |      23.12%      |    14.07%     |
|  8  |  64  | 3072 | 2048 |      [[8, 64, 2048], [8, 64, 3072], [8, 3072, 2048]]      | bf16  |      99.75       |       99.95       |      100.1       |       50.37        | 6.44e+09 | 5.30e+07 |      43.64%      |    26.54%     |
| 128 |  64  | 3072 | 2048 |   [[128, 64, 2048], [128, 64, 3072], [128, 3072, 2048]]   | bf16  |     1180.62      |      1180.94      |     1181.14      |       775.87       | 1.03e+11 | 8.47e+08 |      58.99%      |    35.88%     |
