test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 8, 1, 64], [8, 8, 1, 64], [8, 8, 1, 64]]           |  bf16  |       8.60       |       8.63        |       8.69       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.40e-06      |      1.45e-05      |      4.93e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 8, 1, 64], [16, 8, 1, 64], [16, 8, 1, 64]]          |  bf16  |       8.53       |       8.58        |       8.65       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.83e-06      |      2.92e-05      |      9.94e-06       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 8, 1, 64], [32, 8, 1, 64], [32, 8, 1, 64]]          |  bf16  |       8.62       |       8.65        |       8.67       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      9.57e-06      |      5.78e-05      |      1.97e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 16, 1, 64], [1, 16, 1, 64], [1, 16, 1, 64]]          |  bf16  |       8.29       |       8.35        |       8.43       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      6.22e-07      |      3.76e-06      |      1.28e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 16, 1, 64], [2, 16, 1, 64], [2, 16, 1, 64]]          |  bf16  |       8.42       |       8.46        |       8.53       |       2.01        |   [224]   |      [4096, 4096]      |   [32]    |      1.22e-06      |      7.39e-06      |      2.52e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 16, 1, 64], [4, 16, 1, 64], [4, 16, 1, 64]]          |  bf16  |       8.43       |       8.46        |       8.52       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.45e-06      |      1.48e-05      |      5.03e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.20%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 16, 1, 64], [8, 16, 1, 64], [8, 16, 1, 64]]          |  bf16  |       8.63       |       8.66        |       8.70       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.78e-06      |      2.89e-05      |      9.83e-06       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 16, 1, 64], [16, 16, 1, 64], [16, 16, 1, 64]]        |  bf16  |       8.58       |       8.62        |       8.69       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      9.61e-06      |      5.81e-05      |      1.98e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 16, 1, 64], [32, 16, 1, 64], [32, 16, 1, 64]]        |  bf16  |       8.67       |       8.69        |       8.72       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      1.90e-05      |      1.15e-04      |      3.91e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.51%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 32, 1, 64], [1, 32, 1, 64], [1, 32, 1, 64]]          |  bf16  |       8.33       |       8.36        |       8.42       |       2.01        |   [224]   |      [4096, 4096]      |   [32]    |      1.24e-06      |      7.48e-06      |      2.55e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
