Test Case: B200_aten-mean
| B |   M   |   N   |      _tensor      | dim | keepdim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1 | 16384 |  128  |  [1, 16384, 128]  | -1  |  True   | fp16  |      100.34       |      100.0       |      100.8       |        2.66        |
| 1 |   1   | 1024  |   [1, 1, 1024]    | -1  |  True   | fp16  |       99.83       |      98.76       |      100.57      |        2.0         |
| 1 |   2   | 1024  |   [1, 2, 1024]    | -1  |  True   | fp16  |       99.95       |      99.05       |      100.39      |        2.0         |
| 1 |   8   | 1024  |   [1, 8, 1024]    | -1  |  True   | fp16  |       99.82       |      98.78       |      100.41      |        2.0         |
| 1 |  128  | 1024  |  [1, 128, 1024]   | -1  |  True   | fp16  |      100.02       |      99.12       |      100.78      |        2.04        |
| 1 | 1024  | 1024  |  [1, 1024, 1024]  | -1  |  True   | fp16  |      100.21       |      99.38       |      100.87      |        2.33        |
| 1 | 4096  | 1024  |  [1, 4096, 1024]  | -1  |  True   | fp16  |      100.48       |      99.88       |      100.97      |        3.31        |
| 1 | 16384 | 1024  | [1, 16384, 1024]  | -1  |  True   | fp16  |      100.46       |      99.98       |      101.01      |        7.24        |
| 1 |   1   | 8192  |   [1, 1, 8192]    | -1  |  True   | fp16  |       99.99       |      99.49       |      100.59      |        2.0         |
| 1 |   2   | 8192  |   [1, 2, 8192]    | -1  |  True   | fp16  |       99.5        |      98.73       |      100.02      |        2.01        |
| 1 |   8   | 8192  |   [1, 8, 8192]    | -1  |  True   | fp16  |      100.11       |       98.6       |      100.91      |        2.02        |
| 1 |  128  | 8192  |  [1, 128, 8192]   | -1  |  True   | fp16  |      100.22       |      99.36       |      101.67      |        2.33        |
| 1 | 1024  | 8192  |  [1, 1024, 8192]  | -1  |  True   | fp16  |      100.73       |      99.92       |      101.6       |        4.62        |
| 1 | 4096  | 8192  |  [1, 4096, 8192]  | -1  |  True   | fp16  |      100.62       |      99.71       |      102.7       |       12.49        |
| 1 | 16384 | 8192  | [1, 16384, 8192]  | -1  |  True   | fp16  |       113.3       |      112.62      |      114.03      |       43.94        |
| 1 |   1   | 16384 |   [1, 1, 16384]   | -1  |  True   | fp16  |      100.13       |      99.56       |      100.96      |        2.01        |
| 1 |   2   | 16384 |   [1, 2, 16384]   | -1  |  True   | fp16  |      100.22       |      99.21       |      100.73      |        2.01        |
| 1 |   8   | 16384 |   [1, 8, 16384]   | -1  |  True   | fp16  |       100.0       |      98.32       |      100.6       |        2.04        |
| 1 |  128  | 16384 |  [1, 128, 16384]  | -1  |  True   | fp16  |       99.97       |      99.35       |      100.61      |        2.66        |
| 1 | 1024  | 16384 | [1, 1024, 16384]  | -1  |  True   | fp16  |      100.19       |       99.9       |      100.54      |        7.24        |
| 1 | 4096  | 16384 | [1, 4096, 16384]  | -1  |  True   | fp16  |       99.6        |      99.12       |      100.37      |       22.97        |
| 1 | 16384 | 16384 | [1, 16384, 16384] | -1  |  True   | fp16  |      171.56       |      171.41      |      171.72      |       85.89        |
