Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1  |  1   | 4096 | 3072 |   [1, 1, 3072]   |   [1, 1, 4096]   | [1, 4096, 3072]  | bf16  |      107.96       |      107.23      |      108.94      |        N/A         |
| 2  |  1   | 4096 | 3072 |   [2, 1, 3072]   |   [2, 1, 4096]   | [2, 4096, 3072]  | bf16  |      104.42       |      103.89      |      105.22      |        N/A         |
| 8  |  1   | 4096 | 3072 |   [8, 1, 3072]   |   [8, 1, 4096]   | [8, 4096, 3072]  | bf16  |      104.93       |      103.67      |      108.63      |        N/A         |
| 16 |  1   | 4096 | 3072 |  [16, 1, 3072]   |  [16, 1, 4096]   | [16, 4096, 3072] | bf16  |      104.72       |      104.01      |      105.41      |        N/A         |
| 32 |  1   | 4096 | 3072 |  [32, 1, 3072]   |  [32, 1, 4096]   | [32, 4096, 3072] | bf16  |       126.5       |      125.87      |      129.22      |        N/A         |
| 1  |  2   | 4096 | 3072 |   [1, 2, 3072]   |   [1, 2, 4096]   | [1, 4096, 3072]  | bf16  |      106.38       |      105.8       |      107.0       |        N/A         |
| 2  |  2   | 4096 | 3072 |   [2, 2, 3072]   |   [2, 2, 4096]   | [2, 4096, 3072]  | bf16  |      104.17       |      103.2       |      104.92      |        N/A         |
| 8  |  2   | 4096 | 3072 |   [8, 2, 3072]   |   [8, 2, 4096]   | [8, 4096, 3072]  | bf16  |      104.48       |      103.93      |      104.9       |        N/A         |
| 16 |  2   | 4096 | 3072 |  [16, 2, 3072]   |  [16, 2, 4096]   | [16, 4096, 3072] | bf16  |       104.8       |      103.72      |      105.66      |        N/A         |
| 32 |  2   | 4096 | 3072 |  [32, 2, 3072]   |  [32, 2, 4096]   | [32, 4096, 3072] | bf16  |      126.55       |      125.04      |      128.99      |        N/A         |
| 1  |  8   | 4096 | 3072 |   [1, 8, 3072]   |   [1, 8, 4096]   | [1, 4096, 3072]  | bf16  |      106.83       |      105.69      |      107.3       |        N/A         |
| 2  |  8   | 4096 | 3072 |   [2, 8, 3072]   |   [2, 8, 4096]   | [2, 4096, 3072]  | bf16  |      104.22       |      103.6       |      104.89      |        N/A         |
| 8  |  8   | 4096 | 3072 |   [8, 8, 3072]   |   [8, 8, 4096]   | [8, 4096, 3072]  | bf16  |      103.88       |      103.35      |      104.6       |        N/A         |
| 16 |  8   | 4096 | 3072 |  [16, 8, 3072]   |  [16, 8, 4096]   | [16, 4096, 3072] | bf16  |       105.1       |      103.56      |      109.28      |        N/A         |
| 32 |  8   | 4096 | 3072 |  [32, 8, 3072]   |  [32, 8, 4096]   | [32, 4096, 3072] | bf16  |      123.68       |      123.01      |      124.33      |        N/A         |
| 1  |  32  | 4096 | 3072 |  [1, 32, 3072]   |  [1, 32, 4096]   | [1, 4096, 3072]  | bf16  |      107.24       |      106.6       |      107.98      |        N/A         |
| 2  |  32  | 4096 | 3072 |  [2, 32, 3072]   |  [2, 32, 4096]   | [2, 4096, 3072]  | bf16  |      104.89       |      104.23      |      106.04      |        N/A         |
| 8  |  32  | 4096 | 3072 |  [8, 32, 3072]   |  [8, 32, 4096]   | [8, 4096, 3072]  | bf16  |      104.67       |      103.63      |      105.37      |        N/A         |
