Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 16 |  8   | 3072 | 4096 |  [16, 8, 4096]   |  [16, 8, 3072]   | [16, 3072, 4096] | bf16  |      105.55       |      103.75      |      109.17      |        N/A         |
| 32 |  8   | 3072 | 4096 |  [32, 8, 4096]   |  [32, 8, 3072]   | [32, 3072, 4096] | bf16  |      125.81       |      125.5       |      126.28      |        N/A         |
| 1  |  32  | 3072 | 4096 |  [1, 32, 4096]   |  [1, 32, 3072]   | [1, 3072, 4096]  | bf16  |      104.15       |      102.85      |      104.83      |        N/A         |
| 2  |  32  | 3072 | 4096 |  [2, 32, 4096]   |  [2, 32, 3072]   | [2, 3072, 4096]  | bf16  |      104.42       |      103.71      |      105.53      |        N/A         |
| 8  |  32  | 3072 | 4096 |  [8, 32, 4096]   |  [8, 32, 3072]   | [8, 3072, 4096]  | bf16  |      104.17       |      103.71      |      104.67      |        N/A         |
| 16 |  32  | 3072 | 4096 |  [16, 32, 4096]  |  [16, 32, 3072]  | [16, 3072, 4096] | bf16  |      104.84       |      103.68      |      105.68      |        N/A         |
| 32 |  32  | 3072 | 4096 |  [32, 32, 4096]  |  [32, 32, 3072]  | [32, 3072, 4096] | bf16  |      133.19       |      132.77      |      133.45      |        N/A         |
| 1  | 128  | 3072 | 4096 |  [1, 128, 4096]  |  [1, 128, 3072]  | [1, 3072, 4096]  | bf16  |      105.67       |      104.62      |      107.3       |        N/A         |
| 2  | 128  | 3072 | 4096 |  [2, 128, 4096]  |  [2, 128, 3072]  | [2, 3072, 4096]  | bf16  |      104.47       |      103.9       |      105.54      |        N/A         |
| 8  | 128  | 3072 | 4096 |  [8, 128, 4096]  |  [8, 128, 3072]  | [8, 3072, 4096]  | bf16  |      106.49       |      104.95      |      107.84      |        N/A         |
| 16 | 128  | 3072 | 4096 | [16, 128, 4096]  | [16, 128, 3072]  | [16, 3072, 4096] | bf16  |      106.43       |      104.24      |      110.67      |        N/A         |
| 32 | 128  | 3072 | 4096 | [32, 128, 4096]  | [32, 128, 3072]  | [32, 3072, 4096] | bf16  |      157.81       |      157.63      |      157.99      |        N/A         |
| 1  | 512  | 3072 | 4096 |  [1, 512, 4096]  |  [1, 512, 3072]  | [1, 3072, 4096]  | bf16  |      103.54       |      102.72      |      104.61      |        N/A         |
| 2  | 512  | 3072 | 4096 |  [2, 512, 4096]  |  [2, 512, 3072]  | [2, 3072, 4096]  | bf16  |      104.11       |      103.08      |      104.88      |        N/A         |
| 8  | 512  | 3072 | 4096 |  [8, 512, 4096]  |  [8, 512, 3072]  | [8, 3072, 4096]  | bf16  |      105.58       |      104.43      |      107.37      |        N/A         |
| 16 | 512  | 3072 | 4096 | [16, 512, 4096]  | [16, 512, 3072]  | [16, 3072, 4096] | bf16  |      160.53       |      160.25      |      160.75      |        N/A         |
| 32 | 512  | 3072 | 4096 | [32, 512, 4096]  | [32, 512, 3072]  | [32, 3072, 4096] | bf16  |      315.29       |      314.64      |      317.09      |        N/A         |
| 1  | 1024 | 3072 | 4096 | [1, 1024, 4096]  | [1, 1024, 3072]  | [1, 3072, 4096]  | bf16  |       105.3       |      104.28      |      107.01      |        N/A         |
| 2  | 1024 | 3072 | 4096 | [2, 1024, 4096]  | [2, 1024, 3072]  | [2, 3072, 4096]  | bf16  |      105.92       |      104.99      |      107.46      |        N/A         |
| 8  | 1024 | 3072 | 4096 | [8, 1024, 4096]  | [8, 1024, 3072]  | [8, 3072, 4096]  | bf16  |      152.52       |      152.17      |      153.15      |        N/A         |
| 16 | 1024 | 3072 | 4096 | [16, 1024, 4096] | [16, 1024, 3072] | [16, 3072, 4096] | bf16  |      300.24       |      299.37      |      302.65      |        N/A         |
| 32 | 1024 | 3072 | 4096 | [32, 1024, 4096] | [32, 1024, 3072] | [32, 3072, 4096] | bf16  |      600.85       |      592.17      |      630.6       |        N/A         |
| 1  |  1   | 4096 | 4096 |   [1, 1, 4096]   |   [1, 1, 4096]   | [1, 4096, 4096]  | bf16  |      106.33       |      105.44      |      107.5       |        N/A         |
| 2  |  1   | 4096 | 4096 |   [2, 1, 4096]   |   [2, 1, 4096]   | [2, 4096, 4096]  | bf16  |      104.34       |      103.86      |      104.62      |        N/A         |
| 8  |  1   | 4096 | 4096 |   [8, 1, 4096]   |   [8, 1, 4096]   | [8, 4096, 4096]  | bf16  |      104.11       |      103.07      |      104.81      |        N/A         |
| 16 |  1   | 4096 | 4096 |  [16, 1, 4096]   |  [16, 1, 4096]   | [16, 4096, 4096] | bf16  |      105.53       |      104.54      |      106.46      |        N/A         |
| 32 |  1   | 4096 | 4096 |  [32, 1, 4096]   |  [32, 1, 4096]   | [32, 4096, 4096] | bf16  |      162.51       |      162.13      |      162.74      |        N/A         |
| 1  |  2   | 4096 | 4096 |   [1, 2, 4096]   |   [1, 2, 4096]   | [1, 4096, 4096]  | bf16  |      108.13       |      106.98      |      109.3       |        N/A         |
| 2  |  2   | 4096 | 4096 |   [2, 2, 4096]   |   [2, 2, 4096]   | [2, 4096, 4096]  | bf16  |      105.75       |      104.84      |      106.9       |        N/A         |
| 8  |  2   | 4096 | 4096 |   [8, 2, 4096]   |   [8, 2, 4096]   | [8, 4096, 4096]  | bf16  |      105.12       |      104.5       |      105.9       |        N/A         |
| 16 |  2   | 4096 | 4096 |  [16, 2, 4096]   |  [16, 2, 4096]   | [16, 4096, 4096] | bf16  |      106.52       |      105.9       |      107.15      |        N/A         |
| 32 |  2   | 4096 | 4096 |  [32, 2, 4096]   |  [32, 2, 4096]   | [32, 4096, 4096] | bf16  |      163.98       |      163.59      |      164.39      |        N/A         |
| 1  |  8   | 4096 | 4096 |   [1, 8, 4096]   |   [1, 8, 4096]   | [1, 4096, 4096]  | bf16  |      107.53       |      106.93      |      108.04      |        N/A         |
| 2  |  8   | 4096 | 4096 |   [2, 8, 4096]   |   [2, 8, 4096]   | [2, 4096, 4096]  | bf16  |      104.72       |      103.88      |      105.77      |        N/A         |
| 8  |  8   | 4096 | 4096 |   [8, 8, 4096]   |   [8, 8, 4096]   | [8, 4096, 4096]  | bf16  |      104.39       |      103.28      |      105.65      |        N/A         |
| 16 |  8   | 4096 | 4096 |  [16, 8, 4096]   |  [16, 8, 4096]   | [16, 4096, 4096] | bf16  |      105.77       |      105.03      |      106.43      |        N/A         |
| 32 |  8   | 4096 | 4096 |  [32, 8, 4096]   |  [32, 8, 4096]   | [32, 4096, 4096] | bf16  |      163.75       |      162.86      |      164.11      |        N/A         |
| 1  |  32  | 4096 | 4096 |  [1, 32, 4096]   |  [1, 32, 4096]   | [1, 4096, 4096]  | bf16  |      105.27       |      104.91      |      106.0       |        N/A         |
| 2  |  32  | 4096 | 4096 |  [2, 32, 4096]   |  [2, 32, 4096]   | [2, 4096, 4096]  | bf16  |      105.95       |      104.11      |      109.2       |        N/A         |
| 8  |  32  | 4096 | 4096 |  [8, 32, 4096]   |  [8, 32, 4096]   | [8, 4096, 4096]  | bf16  |      105.42       |      104.63      |      106.04      |        N/A         |
| 16 |  32  | 4096 | 4096 |  [16, 32, 4096]  |  [16, 32, 4096]  | [16, 4096, 4096] | bf16  |      106.54       |      106.13      |      107.17      |        N/A         |
| 32 |  32  | 4096 | 4096 |  [32, 32, 4096]  |  [32, 32, 4096]  | [32, 4096, 4096] | bf16  |      172.38       |      171.98      |      172.77      |        N/A         |
| 1  | 128  | 4096 | 4096 |  [1, 128, 4096]  |  [1, 128, 4096]  | [1, 4096, 4096]  | bf16  |      105.63       |      104.53      |      109.15      |        N/A         |
| 2  | 128  | 4096 | 4096 |  [2, 128, 4096]  |  [2, 128, 4096]  | [2, 4096, 4096]  | bf16  |      104.45       |      103.82      |      104.85      |        N/A         |
| 8  | 128  | 4096 | 4096 |  [8, 128, 4096]  |  [8, 128, 4096]  | [8, 4096, 4096]  | bf16  |       106.1       |      105.72      |      106.67      |        N/A         |
| 16 | 128  | 4096 | 4096 | [16, 128, 4096]  | [16, 128, 4096]  | [16, 4096, 4096] | bf16  |      110.18       |      108.92      |      110.66      |        N/A         |
| 32 | 128  | 4096 | 4096 | [32, 128, 4096]  | [32, 128, 4096]  | [32, 4096, 4096] | bf16  |      198.82       |      198.55      |      198.96      |        N/A         |
| 1  | 512  | 4096 | 4096 |  [1, 512, 4096]  |  [1, 512, 4096]  | [1, 4096, 4096]  | bf16  |       106.0       |      105.44      |      106.61      |        N/A         |
| 2  | 512  | 4096 | 4096 |  [2, 512, 4096]  |  [2, 512, 4096]  | [2, 4096, 4096]  | bf16  |      105.24       |      104.39      |      105.93      |        N/A         |
| 8  | 512  | 4096 | 4096 |  [8, 512, 4096]  |  [8, 512, 4096]  | [8, 4096, 4096]  | bf16  |      113.17       |      111.02      |      115.34      |        N/A         |
| 16 | 512  | 4096 | 4096 | [16, 512, 4096]  | [16, 512, 4096]  | [16, 4096, 4096] | bf16  |       203.4       |      203.11      |      203.94      |        N/A         |
| 32 | 512  | 4096 | 4096 | [32, 512, 4096]  | [32, 512, 4096]  | [32, 4096, 4096] | bf16  |      404.14       |      393.58      |      425.58      |        N/A         |
| 1  | 1024 | 4096 | 4096 | [1, 1024, 4096]  | [1, 1024, 4096]  | [1, 4096, 4096]  | bf16  |      104.81       |      103.78      |      106.2       |        N/A         |
| 2  | 1024 | 4096 | 4096 | [2, 1024, 4096]  | [2, 1024, 4096]  | [2, 4096, 4096]  | bf16  |      105.14       |      104.62      |      105.98      |        N/A         |
| 8  | 1024 | 4096 | 4096 | [8, 1024, 4096]  | [8, 1024, 4096]  | [8, 4096, 4096]  | bf16  |      194.65       |      193.82      |      198.63      |        N/A         |
| 16 | 1024 | 4096 | 4096 | [16, 1024, 4096] | [16, 1024, 4096] | [16, 4096, 4096] | bf16  |      391.32       |      382.58      |      402.48      |        N/A         |
| 32 | 1024 | 4096 | 4096 | [32, 1024, 4096] | [32, 1024, 4096] | [32, 4096, 4096] | bf16  |      785.03       |      758.52      |      810.01      |        N/A         |
| 1  |  1   | 6144 | 4096 |   [1, 1, 4096]   |   [1, 1, 6144]   | [1, 6144, 4096]  | bf16  |      107.41       |      106.82      |      108.28      |        N/A         |
| 2  |  1   | 6144 | 4096 |   [2, 1, 4096]   |   [2, 1, 6144]   | [2, 6144, 4096]  | bf16  |      104.62       |      103.79      |      105.06      |        N/A         |
| 8  |  1   | 6144 | 4096 |   [8, 1, 4096]   |   [8, 1, 6144]   | [8, 6144, 4096]  | bf16  |       104.8       |      103.68      |      106.98      |        N/A         |
| 16 |  1   | 6144 | 4096 |  [16, 1, 4096]   |  [16, 1, 6144]   | [16, 6144, 4096] | bf16  |      126.29       |      125.82      |      126.51      |        N/A         |
| 32 |  1   | 6144 | 4096 |  [32, 1, 4096]   |  [32, 1, 6144]   | [32, 6144, 4096] | bf16  |      238.92       |      238.44      |      239.15      |        N/A         |
| 1  |  2   | 6144 | 4096 |   [1, 2, 4096]   |   [1, 2, 6144]   | [1, 6144, 4096]  | bf16  |      107.15       |      106.51      |      107.72      |        N/A         |
| 2  |  2   | 6144 | 4096 |   [2, 2, 4096]   |   [2, 2, 6144]   | [2, 6144, 4096]  | bf16  |      104.44       |      103.8       |      105.89      |        N/A         |
| 8  |  2   | 6144 | 4096 |   [8, 2, 4096]   |   [8, 2, 6144]   | [8, 6144, 4096]  | bf16  |      104.61       |      104.0       |      104.89      |        N/A         |
| 16 |  2   | 6144 | 4096 |  [16, 2, 4096]   |  [16, 2, 6144]   | [16, 6144, 4096] | bf16  |       130.2       |      129.85      |      130.42      |        N/A         |
| 32 |  2   | 6144 | 4096 |  [32, 2, 4096]   |  [32, 2, 6144]   | [32, 6144, 4096] | bf16  |      241.34       |      240.59      |      241.96      |        N/A         |
| 1  |  8   | 6144 | 4096 |   [1, 8, 4096]   |   [1, 8, 6144]   | [1, 6144, 4096]  | bf16  |      108.76       |      107.77      |      109.23      |        N/A         |
| 2  |  8   | 6144 | 4096 |   [2, 8, 4096]   |   [2, 8, 6144]   | [2, 6144, 4096]  | bf16  |       105.1       |      104.16      |      105.55      |        N/A         |
| 8  |  8   | 6144 | 4096 |   [8, 8, 4096]   |   [8, 8, 6144]   | [8, 6144, 4096]  | bf16  |      105.54       |      105.13      |      106.55      |        N/A         |
| 16 |  8   | 6144 | 4096 |  [16, 8, 4096]   |  [16, 8, 6144]   | [16, 6144, 4096] | bf16  |      125.72       |      124.92      |      127.71      |        N/A         |
| 32 |  8   | 6144 | 4096 |  [32, 8, 4096]   |  [32, 8, 6144]   | [32, 6144, 4096] | bf16  |      240.26       |      239.68      |      241.0       |        N/A         |
| 1  |  32  | 6144 | 4096 |  [1, 32, 4096]   |  [1, 32, 6144]   | [1, 6144, 4096]  | bf16  |      109.34       |      108.39      |      110.02      |        N/A         |
| 2  |  32  | 6144 | 4096 |  [2, 32, 4096]   |  [2, 32, 6144]   | [2, 6144, 4096]  | bf16  |      105.95       |      103.89      |      109.67      |        N/A         |
| 8  |  32  | 6144 | 4096 |  [8, 32, 4096]   |  [8, 32, 6144]   | [8, 6144, 4096]  | bf16  |      105.33       |      104.3       |      106.27      |        N/A         |
| 16 |  32  | 6144 | 4096 |  [16, 32, 4096]  |  [16, 32, 6144]  | [16, 6144, 4096] | bf16  |      128.12       |      127.38      |      130.26      |        N/A         |
| 32 |  32  | 6144 | 4096 |  [32, 32, 4096]  |  [32, 32, 6144]  | [32, 6144, 4096] | bf16  |      250.52       |      250.29      |      250.79      |        N/A         |
| 1  | 128  | 6144 | 4096 |  [1, 128, 4096]  |  [1, 128, 6144]  | [1, 6144, 4096]  | bf16  |      106.33       |      105.71      |      107.05      |        N/A         |
| 2  | 128  | 6144 | 4096 |  [2, 128, 4096]  |  [2, 128, 6144]  | [2, 6144, 4096]  | bf16  |      105.17       |      104.35      |      106.01      |        N/A         |
| 8  | 128  | 6144 | 4096 |  [8, 128, 4096]  |  [8, 128, 6144]  | [8, 6144, 4096]  | bf16  |      106.95       |      105.86      |      109.11      |        N/A         |
| 16 | 128  | 6144 | 4096 | [16, 128, 4096]  | [16, 128, 6144]  | [16, 6144, 4096] | bf16  |      146.72       |      145.71      |      149.48      |        N/A         |
| 32 | 128  | 6144 | 4096 | [32, 128, 4096]  | [32, 128, 6144]  | [32, 6144, 4096] | bf16  |      279.61       |      279.31      |      279.76      |        N/A         |
| 1  | 512  | 6144 | 4096 |  [1, 512, 4096]  |  [1, 512, 6144]  | [1, 6144, 4096]  | bf16  |      105.84       |      105.31      |      106.56      |        N/A         |
| 2  | 512  | 6144 | 4096 |  [2, 512, 4096]  |  [2, 512, 6144]  | [2, 6144, 4096]  | bf16  |      104.97       |      103.97      |      105.95      |        N/A         |
| 8  | 512  | 6144 | 4096 |  [8, 512, 4096]  |  [8, 512, 6144]  | [8, 6144, 4096]  | bf16  |      152.96       |      151.88      |      155.28      |        N/A         |
| 16 | 512  | 6144 | 4096 | [16, 512, 4096]  | [16, 512, 6144]  | [16, 6144, 4096] | bf16  |      291.93       |      291.02      |      292.95      |        N/A         |
| 32 | 512  | 6144 | 4096 | [32, 512, 4096]  | [32, 512, 6144]  | [32, 6144, 4096] | bf16  |      602.48       |      576.28      |      639.74      |        N/A         |
| 1  | 1024 | 6144 | 4096 | [1, 1024, 4096]  | [1, 1024, 6144]  | [1, 6144, 4096]  | bf16  |      105.67       |      104.95      |      106.33      |        N/A         |
| 2  | 1024 | 6144 | 4096 | [2, 1024, 4096]  | [2, 1024, 6144]  | [2, 6144, 4096]  | bf16  |      105.61       |      104.81      |      106.35      |        N/A         |
| 8  | 1024 | 6144 | 4096 | [8, 1024, 4096]  | [8, 1024, 6144]  | [8, 6144, 4096]  | bf16  |      277.72       |      277.27      |      278.03      |        N/A         |
| 16 | 1024 | 6144 | 4096 | [16, 1024, 4096] | [16, 1024, 6144] | [16, 6144, 4096] | bf16  |      575.78       |      549.58      |      605.45      |        N/A         |
| 32 | 1024 | 6144 | 4096 | [32, 1024, 4096] | [32, 1024, 6144] | [32, 6144, 4096] | bf16  |      1183.57      |     1091.27      |     1228.25      |        N/A         |
| 1  |  1   | 8192 | 4096 |   [1, 1, 4096]   |   [1, 1, 8192]   | [1, 8192, 4096]  | bf16  |      108.32       |      107.81      |      109.25      |        N/A         |
| 2  |  1   | 8192 | 4096 |   [2, 1, 4096]   |   [2, 1, 8192]   | [2, 8192, 4096]  | bf16  |      105.31       |      104.23      |      106.28      |        N/A         |
| 8  |  1   | 8192 | 4096 |   [8, 1, 4096]   |   [8, 1, 8192]   | [8, 8192, 4096]  | bf16  |      105.84       |      104.72      |      107.34      |        N/A         |
| 16 |  1   | 8192 | 4096 |  [16, 1, 4096]   |  [16, 1, 8192]   | [16, 8192, 4096] | bf16  |      170.35       |      169.35      |      170.84      |        N/A         |
| 32 |  1   | 8192 | 4096 |  [32, 1, 4096]   |  [32, 1, 8192]   | [32, 8192, 4096] | bf16  |      316.87       |      316.34      |      317.58      |        N/A         |
| 1  |  2   | 8192 | 4096 |   [1, 2, 4096]   |   [1, 2, 8192]   | [1, 8192, 4096]  | bf16  |      108.65       |      107.45      |      109.54      |        N/A         |
| 2  |  2   | 8192 | 4096 |   [2, 2, 4096]   |   [2, 2, 8192]   | [2, 8192, 4096]  | bf16  |       106.0       |      105.3       |      106.97      |        N/A         |
| 8  |  2   | 8192 | 4096 |   [8, 2, 4096]   |   [8, 2, 8192]   | [8, 8192, 4096]  | bf16  |      107.22       |      106.68      |      108.14      |        N/A         |
| 16 |  2   | 8192 | 4096 |  [16, 2, 4096]   |  [16, 2, 8192]   | [16, 8192, 4096] | bf16  |      166.77       |      165.78      |      167.49      |        N/A         |
| 32 |  2   | 8192 | 4096 |  [32, 2, 4096]   |  [32, 2, 8192]   | [32, 8192, 4096] | bf16  |      316.78       |      316.07      |      317.44      |        N/A         |
| 1  |  8   | 8192 | 4096 |   [1, 8, 4096]   |   [1, 8, 8192]   | [1, 8192, 4096]  | bf16  |      108.44       |      108.03      |      108.75      |        N/A         |
| 2  |  8   | 8192 | 4096 |   [2, 8, 4096]   |   [2, 8, 8192]   | [2, 8192, 4096]  | bf16  |      105.16       |      104.1       |      105.93      |        N/A         |
| 8  |  8   | 8192 | 4096 |   [8, 8, 4096]   |   [8, 8, 8192]   | [8, 8192, 4096]  | bf16  |      106.26       |      105.54      |      107.03      |        N/A         |
| 16 |  8   | 8192 | 4096 |  [16, 8, 4096]   |  [16, 8, 8192]   | [16, 8192, 4096] | bf16  |      162.77       |      162.0       |      164.66      |        N/A         |
| 32 |  8   | 8192 | 4096 |  [32, 8, 4096]   |  [32, 8, 8192]   | [32, 8192, 4096] | bf16  |      313.98       |      313.69      |      314.31      |        N/A         |
| 1  |  32  | 8192 | 4096 |  [1, 32, 4096]   |  [1, 32, 8192]   | [1, 8192, 4096]  | bf16  |      107.45       |      106.69      |      107.99      |        N/A         |
| 2  |  32  | 8192 | 4096 |  [2, 32, 4096]   |  [2, 32, 8192]   | [2, 8192, 4096]  | bf16  |      105.06       |      104.31      |      106.44      |        N/A         |
| 8  |  32  | 8192 | 4096 |  [8, 32, 4096]   |  [8, 32, 8192]   | [8, 8192, 4096]  | bf16  |      105.76       |      104.99      |      106.91      |        N/A         |
| 16 |  32  | 8192 | 4096 |  [16, 32, 4096]  |  [16, 32, 8192]  | [16, 8192, 4096] | bf16  |      165.78       |      165.28      |      166.13      |        N/A         |
| 32 |  32  | 8192 | 4096 |  [32, 32, 4096]  |  [32, 32, 8192]  | [32, 8192, 4096] | bf16  |      327.62       |      327.27      |      328.1       |        N/A         |
| 1  | 128  | 8192 | 4096 |  [1, 128, 4096]  |  [1, 128, 8192]  | [1, 8192, 4096]  | bf16  |      107.48       |      105.46      |      111.68      |        N/A         |
| 2  | 128  | 8192 | 4096 |  [2, 128, 4096]  |  [2, 128, 8192]  | [2, 8192, 4096]  | bf16  |      106.26       |      105.65      |      106.89      |        N/A         |
| 8  | 128  | 8192 | 4096 |  [8, 128, 4096]  |  [8, 128, 8192]  | [8, 8192, 4096]  | bf16  |      108.04       |      107.31      |      109.07      |        N/A         |
| 16 | 128  | 8192 | 4096 | [16, 128, 4096]  | [16, 128, 8192]  | [16, 8192, 4096] | bf16  |      188.14       |      187.09      |      192.64      |        N/A         |
| 32 | 128  | 8192 | 4096 | [32, 128, 4096]  | [32, 128, 8192]  | [32, 8192, 4096] | bf16  |      363.69       |      362.86      |      366.5       |        N/A         |
| 1  | 512  | 8192 | 4096 |  [1, 512, 4096]  |  [1, 512, 8192]  | [1, 8192, 4096]  | bf16  |      104.97       |      104.49      |      106.2       |        N/A         |
| 2  | 512  | 8192 | 4096 |  [2, 512, 4096]  |  [2, 512, 8192]  | [2, 8192, 4096]  | bf16  |      104.76       |      103.38      |      105.84      |        N/A         |
| 8  | 512  | 8192 | 4096 |  [8, 512, 4096]  |  [8, 512, 8192]  | [8, 8192, 4096]  | bf16  |      196.77       |      196.29      |      197.1       |        N/A         |
| 16 | 512  | 8192 | 4096 | [16, 512, 4096]  | [16, 512, 8192]  | [16, 8192, 4096] | bf16  |      379.27       |      378.85      |      379.86      |        N/A         |
| 32 | 512  | 8192 | 4096 | [32, 512, 4096]  | [32, 512, 8192]  | [32, 8192, 4096] | bf16  |      805.39       |      756.69      |      854.32      |        N/A         |
| 1  | 1024 | 8192 | 4096 | [1, 1024, 4096]  | [1, 1024, 8192]  | [1, 8192, 4096]  | bf16  |      104.17       |      102.96      |      105.55      |        N/A         |
| 2  | 1024 | 8192 | 4096 | [2, 1024, 4096]  | [2, 1024, 8192]  | [2, 8192, 4096]  | bf16  |       106.4       |      105.78      |      107.05      |        N/A         |
| 8  | 1024 | 8192 | 4096 | [8, 1024, 4096]  | [8, 1024, 8192]  | [8, 8192, 4096]  | bf16  |       363.4       |      363.06      |      363.56      |        N/A         |
| 16 | 1024 | 8192 | 4096 | [16, 1024, 4096] | [16, 1024, 8192] | [16, 8192, 4096] | bf16  |      707.33       |      703.91      |      717.84      |        N/A         |
| 32 | 1024 | 8192 | 4096 | [32, 1024, 4096] | [32, 1024, 8192] | [32, 8192, 4096] | bf16  |      1543.86      |     1441.66      |     1648.02      |        N/A         |
| 1  |  1   | 3072 | 6144 |   [1, 1, 6144]   |   [1, 1, 3072]   | [1, 3072, 6144]  | bf16  |      103.61       |      102.98      |      104.14      |        N/A         |
| 2  |  1   | 3072 | 6144 |   [2, 1, 6144]   |   [2, 1, 3072]   | [2, 3072, 6144]  | bf16  |      104.03       |      103.47      |      104.6       |        N/A         |
| 8  |  1   | 3072 | 6144 |   [8, 1, 6144]   |   [8, 1, 3072]   | [8, 3072, 6144]  | bf16  |      104.53       |      104.06      |      105.91      |        N/A         |
| 16 |  1   | 3072 | 6144 |  [16, 1, 6144]   |  [16, 1, 3072]   | [16, 3072, 6144] | bf16  |      106.67       |      106.08      |      107.53      |        N/A         |
| 32 |  1   | 3072 | 6144 |  [32, 1, 6144]   |  [32, 1, 3072]   | [32, 3072, 6144] | bf16  |       177.8       |      177.36      |      178.13      |        N/A         |
| 1  |  2   | 3072 | 6144 |   [1, 2, 6144]   |   [1, 2, 3072]   | [1, 3072, 6144]  | bf16  |      105.86       |      104.77      |      107.04      |        N/A         |
| 2  |  2   | 3072 | 6144 |   [2, 2, 6144]   |   [2, 2, 3072]   | [2, 3072, 6144]  | bf16  |      105.84       |      104.7       |      108.77      |        N/A         |
| 8  |  2   | 3072 | 6144 |   [8, 2, 6144]   |   [8, 2, 3072]   | [8, 3072, 6144]  | bf16  |      106.04       |      104.85      |      108.23      |        N/A         |
| 16 |  2   | 3072 | 6144 |  [16, 2, 6144]   |  [16, 2, 3072]   | [16, 3072, 6144] | bf16  |      107.22       |      106.38      |      107.72      |        N/A         |
| 32 |  2   | 3072 | 6144 |  [32, 2, 6144]   |  [32, 2, 3072]   | [32, 3072, 6144] | bf16  |      180.74       |      179.79      |      185.03      |        N/A         |
| 1  |  8   | 3072 | 6144 |   [1, 8, 6144]   |   [1, 8, 3072]   | [1, 3072, 6144]  | bf16  |      105.83       |      104.82      |      106.75      |        N/A         |
| 2  |  8   | 3072 | 6144 |   [2, 8, 6144]   |   [2, 8, 3072]   | [2, 3072, 6144]  | bf16  |      105.92       |      104.91      |      109.43      |        N/A         |
| 8  |  8   | 3072 | 6144 |   [8, 8, 6144]   |   [8, 8, 3072]   | [8, 3072, 6144]  | bf16  |       105.3       |      104.43      |      106.68      |        N/A         |
| 16 |  8   | 3072 | 6144 |  [16, 8, 6144]   |  [16, 8, 3072]   | [16, 3072, 6144] | bf16  |      106.01       |      105.74      |      106.31      |        N/A         |
| 32 |  8   | 3072 | 6144 |  [32, 8, 6144]   |  [32, 8, 3072]   | [32, 3072, 6144] | bf16  |      182.97       |      182.49      |      183.46      |        N/A         |
| 1  |  32  | 3072 | 6144 |  [1, 32, 6144]   |  [1, 32, 3072]   | [1, 3072, 6144]  | bf16  |      105.93       |      105.17      |      107.37      |        N/A         |
| 2  |  32  | 3072 | 6144 |  [2, 32, 6144]   |  [2, 32, 3072]   | [2, 3072, 6144]  | bf16  |      105.94       |      104.62      |      109.18      |        N/A         |
| 8  |  32  | 3072 | 6144 |  [8, 32, 6144]   |  [8, 32, 3072]   | [8, 3072, 6144]  | bf16  |      104.46       |      103.91      |      105.24      |        N/A         |
| 16 |  32  | 3072 | 6144 |  [16, 32, 6144]  |  [16, 32, 3072]  | [16, 3072, 6144] | bf16  |      107.56       |      106.88      |      108.21      |        N/A         |
| 32 |  32  | 3072 | 6144 |  [32, 32, 6144]  |  [32, 32, 3072]  | [32, 3072, 6144] | bf16  |       192.7       |      192.36      |      192.98      |        N/A         |
| 1  | 128  | 3072 | 6144 |  [1, 128, 6144]  |  [1, 128, 3072]  | [1, 3072, 6144]  | bf16  |      104.13       |      103.36      |      105.79      |        N/A         |
| 2  | 128  | 3072 | 6144 |  [2, 128, 6144]  |  [2, 128, 3072]  | [2, 3072, 6144]  | bf16  |      104.47       |      103.92      |      105.2       |        N/A         |
| 8  | 128  | 3072 | 6144 |  [8, 128, 6144]  |  [8, 128, 3072]  | [8, 3072, 6144]  | bf16  |      104.28       |      103.66      |      105.36      |        N/A         |
| 16 | 128  | 3072 | 6144 | [16, 128, 6144]  | [16, 128, 3072]  | [16, 3072, 6144] | bf16  |      120.72       |      120.11      |      122.62      |        N/A         |
| 32 | 128  | 3072 | 6144 | [32, 128, 6144]  | [32, 128, 3072]  | [32, 3072, 6144] | bf16  |      226.61       |      226.22      |      226.9       |        N/A         |
| 1  | 512  | 3072 | 6144 |  [1, 512, 6144]  |  [1, 512, 3072]  | [1, 3072, 6144]  | bf16  |      104.97       |      103.83      |      105.6       |        N/A         |
| 2  | 512  | 3072 | 6144 |  [2, 512, 6144]  |  [2, 512, 3072]  | [2, 3072, 6144]  | bf16  |      105.73       |      104.64      |      106.68      |        N/A         |
| 8  | 512  | 3072 | 6144 |  [8, 512, 6144]  |  [8, 512, 3072]  | [8, 3072, 6144]  | bf16  |      126.32       |      124.66      |      129.32      |        N/A         |
| 16 | 512  | 3072 | 6144 | [16, 512, 6144]  | [16, 512, 3072]  | [16, 3072, 6144] | bf16  |      239.64       |      238.01      |      240.26      |        N/A         |
| 32 | 512  | 3072 | 6144 | [32, 512, 6144]  | [32, 512, 3072]  | [32, 3072, 6144] | bf16  |      465.51       |      464.09      |      467.38      |        N/A         |
| 1  | 1024 | 3072 | 6144 | [1, 1024, 6144]  | [1, 1024, 3072]  | [1, 3072, 6144]  | bf16  |      104.77       |      104.3       |      105.37      |        N/A         |
| 2  | 1024 | 3072 | 6144 | [2, 1024, 6144]  | [2, 1024, 3072]  | [2, 3072, 6144]  | bf16  |      104.65       |      103.4       |      105.87      |        N/A         |
