Test Case: B200_aten-pow
| B |   M   |   N   |      _tensor      | exponent | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1 |   8   | 1024  |   [1, 8, 1024]    |    2     | fp16  |       105.4       |      104.94      |      105.73      |        2.01        |
| 1 |  128  | 1024  |  [1, 128, 1024]   |    2     | fp16  |      104.99       |      103.7       |      108.95      |        2.12        |
| 1 | 1024  | 1024  |  [1, 1024, 1024]  |    2     | fp16  |      105.13       |      104.0       |      108.86      |        2.98        |
| 1 | 4096  | 1024  |  [1, 4096, 1024]  |    2     | fp16  |      105.59       |      105.42      |      105.94      |        5.93        |
| 1 | 16384 | 1024  | [1, 16384, 1024]  |    2     | fp16  |      106.67       |      104.52      |      108.86      |       17.73        |
| 1 |   1   | 8192  |   [1, 1, 8192]    |    2     | fp16  |      105.46       |      104.65      |      106.09      |        2.01        |
| 1 |   2   | 8192  |   [1, 2, 8192]    |    2     | fp16  |      106.02       |      105.07      |      107.2       |        2.02        |
| 1 |   8   | 8192  |   [1, 8, 8192]    |    2     | fp16  |      105.47       |      104.84      |      106.07      |        2.06        |
| 1 |  128  | 8192  |  [1, 128, 8192]   |    2     | fp16  |      105.94       |      105.6       |      106.21      |        2.98        |
| 1 | 1024  | 8192  |  [1, 1024, 8192]  |    2     | fp16  |       108.4       |      104.28      |      118.75      |        9.86        |
| 1 | 4096  | 8192  |  [1, 4096, 8192]  |    2     | fp16  |      108.09       |      104.61      |      119.87      |       33.46        |
| 1 | 16384 | 8192  | [1, 16384, 8192]  |    2     | fp16  |      107.24       |      106.54      |      108.01      |       127.83       |
| 1 |   1   | 16384 |   [1, 1, 16384]   |    2     | fp16  |      106.11       |      105.4       |      106.81      |        2.02        |
| 1 |   2   | 16384 |   [1, 2, 16384]   |    2     | fp16  |      105.32       |      104.63      |      106.29      |        2.03        |
| 1 |   8   | 16384 |   [1, 8, 16384]   |    2     | fp16  |      105.34       |      104.8       |      105.67      |        2.12        |
| 1 |  128  | 16384 |  [1, 128, 16384]  |    2     | fp16  |       105.5       |      104.89      |      106.0       |        3.97        |
| 1 | 1024  | 16384 | [1, 1024, 16384]  |    2     | fp16  |       105.4       |      104.14      |      106.79      |       17.73        |
| 1 | 4096  | 16384 | [1, 4096, 16384]  |    2     | fp16  |      106.14       |      104.1       |      110.03      |       64.91        |
| 1 | 16384 | 16384 | [1, 16384, 16384] |    2     | fp16  |      171.43       |      171.13      |      172.4       |       253.66       |
