Test Case: B200_aten-bmm
|  B  |  M  |  K   |  N  |     _tensor     |    _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 128 |  2  | 128  | 128 |  [128, 2, 128]  | [128, 128, 128] | bf16  |       98.13       |      96.97       |      99.28       |       273.48       |
| 64  |  8  | 128  | 128 |  [64, 8, 128]   | [64, 128, 128]  | bf16  |       98.46       |      97.71       |      98.86       |       544.97       |
| 128 |  8  | 128  | 128 |  [128, 8, 128]  | [128, 128, 128] | bf16  |       97.53       |      96.46       |      101.01      |      1087.94       |
| 64  |  1  |  32  | 512 |   [64, 1, 32]   |  [64, 32, 512]  | bf16  |       99.31       |      98.01       |      99.98       |       69.87        |
| 128 |  1  |  32  | 512 |  [128, 1, 32]   | [128, 32, 512]  | bf16  |       99.01       |      98.54       |      99.38       |       137.74       |
| 64  |  2  |  32  | 512 |   [64, 2, 32]   |  [64, 32, 512]  | bf16  |       98.89       |       98.1       |      100.87      |       544.97       |
| 64  |  1  |  32  | 32  |   [64, 1, 32]   |  [64, 32, 32]   | fp16  |      101.56       |      100.96      |      102.25      |      1087.94       |
| 128 |  1  |  32  | 32  |  [128, 1, 32]   |  [128, 32, 32]  | fp16  |      101.46       |      100.6       |      102.19      |      2173.87       |
| 64  |  2  |  32  | 32  |   [64, 2, 32]   |  [64, 32, 32]   | fp16  |      101.02       |      100.28      |      101.96      |        4.95        |
| 128 |  2  |  32  | 32  |  [128, 2, 32]   |  [128, 32, 32]  | fp16  |      100.28       |      99.43       |      101.4       |        7.9         |
| 64  |  8  |  32  | 32  |   [64, 8, 32]   |  [64, 32, 32]   | fp16  |       99.84       |       99.0       |      100.51      |       25.61        |
| 128 |  8  |  32  | 32  |  [128, 8, 32]   |  [128, 32, 32]  | fp16  |       99.48       |      98.57       |      100.56      |       49.22        |
| 64  | 32  |  32  | 32  |  [64, 32, 32]   |  [64, 32, 32]   | fp16  |       99.39       |      98.12       |      100.28      |       96.43        |
| 128 | 32  |  32  | 32  |  [128, 32, 32]  |  [128, 32, 32]  | fp16  |       98.79       |      97.48       |      100.58      |        4.95        |
| 64  |  1  | 128  | 32  |  [64, 1, 128]   |  [64, 128, 32]  | fp16  |       97.78       |      97.11       |      98.38       |        7.91        |
| 128 |  1  | 128  | 32  |  [128, 1, 128]  | [128, 128, 32]  | fp16  |       98.05       |      97.27       |      99.15       |       25.62        |
| 64  |  2  | 128  | 32  |  [64, 2, 128]   |  [64, 128, 32]  | fp16  |       98.71       |       97.2       |      102.0       |       49.25        |
| 128 |  2  | 128  | 32  |  [128, 2, 128]  | [128, 128, 32]  | fp16  |       98.69       |      98.12       |      99.12       |       96.49        |
| 64  |  8  | 128  | 32  |  [64, 8, 128]   |  [64, 128, 32]  | fp16  |       98.7        |      97.57       |      99.53       |        4.96        |
| 128 |  8  | 128  | 32  |  [128, 8, 128]  | [128, 128, 32]  | fp16  |       98.1        |      97.28       |      98.79       |        7.93        |
| 64  |  1  | 512  | 32  |  [64, 1, 512]   |  [64, 512, 32]  | fp16  |       97.9        |      97.26       |      98.61       |       25.72        |
| 64  |  1  |  32  | 128 |   [64, 1, 32]   |  [64, 32, 128]  | fp16  |      100.72       |      99.71       |      101.46      |       49.43        |
