Test Case: L40S_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 | 2048 | 128  |  32  |   [[2048, 128], [128, 32]]   | bf16  |      20.77       |       20.92       |      21.13       |        2.96        | 1.68e+07 | 3.32e+05 |      0.22%       |     3.7%      |
| 1 |  1   | 512  |  32  |    [[1, 512], [512, 32]]     | bf16  |       19.9       |       20.03       |      20.24       |        2.05        | 3.28e+04 | 1.69e+04 |       0.0%       |     0.2%      |
| 1 |  2   | 512  |  32  |    [[2, 512], [512, 32]]     | bf16  |      21.22       |       21.43       |      21.51       |        2.05        | 6.55e+04 | 1.75e+04 |       0.0%       |     0.19%     |
| 1 |  4   | 512  |  32  |    [[4, 512], [512, 32]]     | bf16  |      21.08       |       21.23       |      21.35       |        2.05        | 1.31e+05 | 1.86e+04 |       0.0%       |     0.2%      |
| 1 |  8   | 512  |  32  |    [[8, 512], [512, 32]]     | bf16  |      20.92       |       21.19       |      21.72       |        2.06        | 2.62e+05 | 2.07e+04 |       0.0%       |     0.23%     |
| 1 |  32  | 512  |  32  |    [[32, 512], [512, 32]]    | bf16  |      23.22       |       23.42       |      23.67       |        2.1         | 1.05e+06 | 3.38e+04 |      0.01%       |     0.34%     |
| 1 |  64  | 512  |  32  |    [[64, 512], [512, 32]]    | bf16  |      23.22       |       23.37       |      23.72       |        2.15        | 2.10e+06 | 5.12e+04 |      0.02%       |     0.51%     |
| 1 | 128  | 512  |  32  |   [[128, 512], [512, 32]]    | bf16  |      23.25       |       23.5        |       23.6       |        2.25        | 4.19e+06 | 8.60e+04 |      0.05%       |     0.86%     |
| 1 | 256  | 512  |  32  |   [[256, 512], [512, 32]]    | bf16  |      23.27       |       23.49       |      23.82       |        2.45        | 8.39e+06 | 1.56e+05 |       0.1%       |     1.55%     |
| 1 | 512  | 512  |  32  |   [[512, 512], [512, 32]]    | bf16  |      23.61       |       23.83       |      24.51       |        2.85        | 1.68e+07 | 2.95e+05 |      0.19%       |     2.89%     |
| 1 | 1024 | 512  |  32  |   [[1024, 512], [512, 32]]   | bf16  |      23.67       |       23.74       |       23.8       |        3.66        | 3.36e+07 | 5.73e+05 |      0.39%       |     5.61%     |
| 1 | 2048 | 512  |  32  |   [[2048, 512], [512, 32]]   | bf16  |      23.99       |       24.05       |      24.16       |        5.27        | 6.71e+07 | 1.13e+06 |      0.76%       |    10.91%     |
| 1 |  1   | 768  |  32  |    [[1, 768], [768, 32]]     | bf16  |       20.0       |       20.15       |      20.54       |        2.07        | 4.92e+04 | 2.54e+04 |       0.0%       |     0.29%     |
| 1 |  2   | 768  |  32  |    [[2, 768], [768, 32]]     | bf16  |      21.02       |       21.15       |      21.25       |        2.08        | 9.83e+04 | 2.62e+04 |       0.0%       |     0.29%     |
| 1 |  4   | 768  |  32  |    [[4, 768], [768, 32]]     | bf16  |      21.08       |       21.25       |      21.39       |        2.08        | 1.97e+05 | 2.78e+04 |       0.0%       |     0.31%     |
| 1 |  8   | 768  |  32  |    [[8, 768], [768, 32]]     | bf16  |      21.03       |       21.26       |      21.84       |        2.09        | 3.93e+05 | 3.10e+04 |      0.01%       |     0.34%     |
| 1 |  32  | 768  |  32  |    [[32, 768], [768, 32]]    | bf16  |      23.42       |       23.54       |      23.66       |        2.15        | 1.57e+06 | 5.02e+04 |      0.02%       |     0.5%      |
| 1 |  64  | 768  |  32  |    [[64, 768], [768, 32]]    | bf16  |      23.54       |       23.68       |      23.85       |        2.22        | 3.15e+06 | 7.58e+04 |      0.04%       |     0.75%     |
| 1 | 128  | 768  |  32  |   [[128, 768], [768, 32]]    | bf16  |      23.35       |       23.5        |      23.68       |        2.37        | 6.29e+06 | 1.27e+05 |      0.07%       |     1.26%     |
| 1 | 256  | 768  |  32  |   [[256, 768], [768, 32]]    | bf16  |      23.51       |       23.65       |      24.16       |        2.66        | 1.26e+07 | 2.29e+05 |      0.15%       |     2.26%     |
| 1 | 512  | 768  |  32  |   [[512, 768], [768, 32]]    | bf16  |      23.37       |       23.46       |      23.54       |        3.26        | 2.52e+07 | 4.34e+05 |      0.29%       |     4.3%      |
| 1 | 1024 | 768  |  32  |   [[1024, 768], [768, 32]]   | bf16  |      23.42       |       23.61       |      23.69       |        4.44        | 5.03e+07 | 8.44e+05 |      0.59%       |     8.34%     |
| 1 | 2048 | 768  |  32  |   [[2048, 768], [768, 32]]   | bf16  |       23.8       |       24.0        |      24.21       |        6.81        | 1.01e+08 | 1.66e+06 |      1.16%       |    16.17%     |
| 1 |  1   | 2048 |  32  |   [[1, 2048], [2048, 32]]    | bf16  |      19.91       |       20.05       |      20.25       |        2.2         | 1.31e+05 | 6.76e+04 |       0.0%       |     0.79%     |
| 1 |  2   | 2048 |  32  |   [[2, 2048], [2048, 32]]    | bf16  |      21.21       |       21.35       |      21.53       |        2.2         | 2.62e+05 | 6.97e+04 |       0.0%       |     0.76%     |
| 1 |  4   | 2048 |  32  |   [[4, 2048], [2048, 32]]    | bf16  |      21.19       |       21.28       |      21.33       |        2.21        | 5.24e+05 | 7.39e+04 |      0.01%       |     0.81%     |
| 1 |  8   | 2048 |  32  |   [[8, 2048], [2048, 32]]    | bf16  |      21.27       |       21.45       |      21.73       |        2.24        | 1.05e+06 | 8.22e+04 |      0.01%       |     0.89%     |
| 1 |  32  | 2048 |  32  |   [[32, 2048], [2048, 32]]   | bf16  |       23.5       |       23.62       |      23.71       |        2.38        | 4.19e+06 | 1.32e+05 |      0.05%       |     1.3%      |
