Test Case: L40S_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       2.68       |       2.71        |       2.74       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.13%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       2.52       |       2.55        |       2.58       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.28%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       2.64       |       2.66        |       2.69       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.54%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       2.51       |       2.58        |       2.66       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.13%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       2.59       |       2.61        |       2.64       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.2%      |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       2.85       |       2.89        |       2.93       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     3.99%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       2.88       |        2.9        |       2.92       |        2.28        | 3.28e+04 | 9.83e+04 |      0.02%       |     7.9%      |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       3.02       |       3.04        |       3.07       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    15.07%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       3.1        |       3.12        |       3.14       |        3.14        | 1.31e+05 | 3.93e+05 |      0.09%       |    29.36%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.06       |       3.08        |       3.11       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    59.49%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       3.6        |       3.68        |       3.77       |        6.55        | 5.24e+05 | 1.57e+06 |      0.32%       |    101.14%    |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       4.12       |       4.14        |       4.16       |        11.1        | 1.05e+06 | 3.15e+06 |      0.56%       |    176.74%    |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       5.89       |       5.94        |       5.98       |        20.2        | 2.10e+06 | 6.29e+06 |      0.78%       |    247.26%    |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |       8.74       |       8.82        |       8.9        |       38.41        | 4.19e+06 | 1.26e+07 |      1.05%       |    333.26%    |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       1.81       |       1.85        |       1.89       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.2%      |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       2.73       |       2.79        |       2.86       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.26%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       2.79       |       2.83        |       2.87       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.51%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       2.79       |       2.83        |       2.87       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.02%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       2.81       |       2.86        |       2.91       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.02%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       2.84       |        2.9        |       2.96       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.01%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       2.68       |       2.71        |       2.74       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.49%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       3.01       |       3.07        |       3.13       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    15.12%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       3.1        |       3.12        |       3.15       |        3.14        | 1.31e+05 | 3.93e+05 |      0.09%       |    29.36%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.08       |       3.11        |       3.14       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    59.11%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       3.37       |        3.4        |       3.43       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    108.04%    |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       4.17       |       4.21        |       4.25       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    174.62%    |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       5.7        |       5.74        |       5.77       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    255.5%     |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |       8.94       |        9.0        |       9.07       |       38.41        | 4.19e+06 | 1.26e+07 |      1.02%       |    325.81%    |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |      14.96       |       15.01       |      15.05       |       74.82        | 8.39e+06 | 2.52e+07 |      1.22%       |    389.4%     |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |      45.09       |       45.21       |      45.31       |       147.64       | 1.68e+07 | 5.03e+07 |      0.81%       |    258.39%    |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       1.86       |       1.92        |       1.99       |        2.01        | 7.68e+02 | 2.30e+03 |       0.0%       |     0.29%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       2.52       |       2.55        |       2.58       |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.42%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       2.52       |       2.59        |       2.65       |        2.03        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.85%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       2.83       |       2.94        |       3.07       |        2.05        | 6.14e+03 | 1.84e+04 |       0.0%       |     1.51%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       2.82       |       2.87        |       2.91       |        2.11        | 1.23e+04 | 3.69e+04 |      0.01%       |     3.03%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       2.64       |       2.65        |       2.67       |        2.21        | 2.46e+04 | 7.37e+04 |      0.02%       |     6.46%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       2.9        |       2.95        |       3.01       |        2.43        | 4.92e+04 | 1.47e+05 |      0.04%       |    11.77%     |
