Test Case: L40S_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.15       |        2.2        |       2.26       |        2.01        | 1.33e+04 | 2.05e+03 |      0.01%       |     0.22%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       2.16       |       2.21        |       2.24       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.44%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       2.19       |        2.2        |       2.2        |        2.02        | 5.32e+04 | 8.19e+03 |      0.05%       |     0.87%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       2.26       |       2.31        |       2.36       |        2.05        | 1.06e+05 | 1.64e+04 |       0.1%       |     1.68%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       2.29       |       2.33        |       2.37       |        2.09        | 2.13e+05 | 3.28e+04 |       0.2%       |     3.31%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       2.36       |        2.4        |       2.43       |        2.19        | 4.26e+05 | 6.55e+04 |      0.39%       |     6.43%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       2.39       |        2.4        |       2.42       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |    12.69%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       2.58       |       2.61        |       2.65       |        2.76        | 1.70e+06 | 2.62e+05 |      1.44%       |    23.52%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       2.83       |       2.86        |       2.9        |        3.52        | 3.41e+06 | 5.24e+05 |      2.63%       |    42.88%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       3.12       |       3.18        |       3.27       |        5.03        | 6.82e+06 | 1.05e+06 |      4.77%       |     77.8%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       3.6        |       3.62        |       3.65       |        8.07        | 1.36e+07 | 2.10e+06 |      8.27%       |    134.85%    |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       4.81       |       4.84        |       4.86       |       14.14        | 2.73e+07 | 4.19e+06 |      12.38%      |    201.85%    |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |       7.13       |       7.18        |       7.22       |       26.27        | 5.45e+07 | 8.39e+06 |      16.7%       |    272.34%    |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       2.06       |       2.12        |       2.19       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.12%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       2.73       |       2.84        |       2.98       |        2.01        | 1.33e+04 | 2.05e+03 |      0.01%       |     0.17%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       2.28       |       2.31        |       2.35       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.42%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       2.68       |       2.73        |       2.79       |        2.02        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.71%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       2.19       |       2.24        |       2.3        |        2.05        | 1.06e+05 | 1.64e+04 |      0.11%       |     1.73%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       2.3        |       2.31        |       2.33       |        2.09        | 2.13e+05 | 3.28e+04 |       0.2%       |     3.3%      |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       2.35       |       2.36        |       2.37       |        2.19        | 4.26e+05 | 6.55e+04 |       0.4%       |     6.46%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       2.37       |       2.43        |       2.49       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |     12.8%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       2.56       |       2.59        |       2.62       |        2.76        | 1.70e+06 | 2.62e+05 |      1.45%       |     23.7%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       2.78       |       3.09        |       3.48       |        3.52        | 3.41e+06 | 5.24e+05 |      2.68%       |    43.66%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       3.12       |       3.25        |       3.4        |        5.03        | 6.82e+06 | 1.05e+06 |      4.77%       |     77.8%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       3.61       |       3.66        |       3.72       |        8.07        | 1.36e+07 | 2.10e+06 |      8.24%       |    134.47%    |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       4.74       |       4.77        |       4.8        |       14.14        | 2.73e+07 | 4.19e+06 |      12.56%      |    204.83%    |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |       7.18       |       7.21        |       7.25       |       26.27        | 5.45e+07 | 8.39e+06 |      16.58%      |    270.45%    |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |      11.89       |       11.92       |      11.96       |       50.55        | 1.09e+08 | 1.68e+07 |      20.03%      |    326.63%    |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      38.29       |       39.91       |      40.93       |       99.09        | 2.18e+08 | 3.36e+07 |      12.44%      |    202.85%    |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       2.14       |       2.18        |       2.22       |        2.0         | 9.98e+03 | 1.54e+03 |      0.01%       |     0.17%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       2.09       |       2.12        |       2.17       |        2.01        | 2.00e+04 | 3.07e+03 |      0.02%       |     0.34%     |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       2.1        |       2.14        |       2.17       |        2.02        | 3.99e+04 | 6.14e+03 |      0.04%       |     0.68%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       2.22       |       2.25        |       2.27       |        2.04        | 7.99e+04 | 1.23e+04 |      0.08%       |     1.28%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       2.22       |       2.23        |       2.25       |        2.07        | 1.60e+05 | 2.46e+04 |      0.16%       |     2.56%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       2.29       |       2.33        |       2.36       |        2.14        | 3.19e+05 | 4.92e+04 |       0.3%       |     4.97%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       2.39       |       2.43        |       2.47       |        2.28        | 6.39e+05 | 9.83e+04 |      0.58%       |     9.52%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       2.45       |       2.51        |       2.56       |        2.57        | 1.28e+06 | 1.97e+05 |      1.14%       |    18.58%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       2.76       |       2.78        |       2.8        |        3.14        | 2.56e+06 | 3.93e+05 |      2.02%       |    32.98%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       2.89       |       2.91        |       2.93       |        4.28        | 5.11e+06 | 7.86e+05 |      3.86%       |    62.99%     |
| 1024  |  768  | N/A |   [[1024, 768]]    | bf16  |       3.3        |       3.34        |       3.38       |        6.55        | 1.02e+07 | 1.57e+06 |      6.76%       |    110.33%    |
| 2048  |  768  | N/A |   [[2048, 768]]    | bf16  |       4.23       |       4.25        |       4.27       |        11.1        | 2.04e+07 | 3.15e+06 |      10.55%      |    172.15%    |
| 4096  |  768  | N/A |   [[4096, 768]]    | bf16  |       6.06       |       6.11        |       6.17       |        20.2        | 4.09e+07 | 6.29e+06 |      14.73%      |    240.32%    |
| 8192  |  768  | N/A |   [[8192, 768]]    | bf16  |       9.63       |       9.66        |       9.69       |       38.41        | 8.18e+07 | 1.26e+07 |      18.54%      |    302.46%    |
| 16384 |  768  | N/A |   [[16384, 768]]   | bf16  |      17.66       |       17.79       |      17.89       |       74.82        | 1.64e+08 | 2.52e+07 |      20.22%      |    329.87%    |
| 32768 |  768  | N/A |   [[32768, 768]]   | bf16  |      150.25      |      152.69       |      154.3       |       147.64       | 3.27e+08 | 5.03e+07 |      4.75%       |    77.54%     |
|   1   | 2048  | N/A |    [[1, 2048]]     | bf16  |       2.2        |       2.23        |       2.27       |        2.01        | 2.66e+04 | 4.10e+03 |      0.03%       |     0.43%     |
|   2   | 2048  | N/A |    [[2, 2048]]     | bf16  |       2.17       |       2.19        |       2.2        |        2.02        | 5.32e+04 | 8.19e+03 |      0.05%       |     0.87%     |
|   4   | 2048  | N/A |    [[4, 2048]]     | bf16  |       2.22       |       2.24        |       2.26       |        2.05        | 1.06e+05 | 1.64e+04 |       0.1%       |     1.71%     |
|   8   | 2048  | N/A |    [[8, 2048]]     | bf16  |       2.26       |       2.28        |       2.31       |        2.09        | 2.13e+05 | 3.28e+04 |      0.21%       |     3.36%     |
|  16   | 2048  | N/A |    [[16, 2048]]    | bf16  |       2.35       |       2.38        |       2.41       |        2.19        | 4.26e+05 | 6.55e+04 |       0.4%       |     6.46%     |
|  32   | 2048  | N/A |    [[32, 2048]]    | bf16  |       2.37       |       2.41        |       2.46       |        2.38        | 8.52e+05 | 1.31e+05 |      0.78%       |     12.8%     |
|  64   | 2048  | N/A |    [[64, 2048]]    | bf16  |       2.49       |       2.51        |       2.53       |        2.76        | 1.70e+06 | 2.62e+05 |      1.49%       |    24.37%     |
|  128  | 2048  | N/A |   [[128, 2048]]    | bf16  |       3.27       |       3.32        |       3.37       |        3.52        | 3.41e+06 | 5.24e+05 |      2.28%       |    37.11%     |
|  256  | 2048  | N/A |   [[256, 2048]]    | bf16  |       3.04       |       3.22        |       3.41       |        5.03        | 6.82e+06 | 1.05e+06 |       4.9%       |    79.84%     |
|  512  | 2048  | N/A |   [[512, 2048]]    | bf16  |       3.59       |       3.63        |       3.69       |        8.07        | 1.36e+07 | 2.10e+06 |      8.29%       |    135.22%    |
| 1024  | 2048  | N/A |   [[1024, 2048]]   | bf16  |       4.76       |        4.8        |       4.84       |       14.14        | 2.73e+07 | 4.19e+06 |      12.51%      |    203.97%    |
| 2048  | 2048  | N/A |   [[2048, 2048]]   | bf16  |       7.13       |        7.2        |       7.28       |       26.27        | 5.45e+07 | 8.39e+06 |      16.7%       |    272.34%    |
| 4096  | 2048  | N/A |   [[4096, 2048]]   | bf16  |      11.99       |       12.01       |      12.03       |       50.55        | 1.09e+08 | 1.68e+07 |      19.86%      |    323.9%     |
| 8192  | 2048  | N/A |   [[8192, 2048]]   | bf16  |      38.08       |       39.85       |      40.97       |       99.09        | 2.18e+08 | 3.36e+07 |      12.51%      |    203.97%    |
| 16384 | 2048  | N/A |  [[16384, 2048]]   | bf16  |      201.8       |      204.69       |      206.85      |       196.18       | 4.36e+08 | 6.71e+07 |      4.72%       |    76.98%     |
| 32768 | 2048  | N/A |  [[32768, 2048]]   | bf16  |      404.11      |      405.05       |      405.82      |       390.36       | 8.72e+08 | 1.34e+08 |      4.71%       |    76.88%     |
|   1   | 3072  | N/A |    [[1, 3072]]     | bf16  |       2.28       |       2.31        |       2.34       |        2.02        | 3.99e+04 | 6.14e+03 |      0.04%       |     0.62%     |
|   2   | 3072  | N/A |    [[2, 3072]]     | bf16  |       2.38       |        2.4        |       2.41       |        2.04        | 7.99e+04 | 1.23e+04 |      0.07%       |     1.2%      |
|   4   | 3072  | N/A |    [[4, 3072]]     | bf16  |       2.31       |       2.36        |       2.42       |        2.07        | 1.60e+05 | 2.46e+04 |      0.15%       |     2.46%     |
|   8   | 3072  | N/A |    [[8, 3072]]     | bf16  |       2.24       |       2.27        |       2.3        |        2.14        | 3.19e+05 | 4.92e+04 |      0.31%       |     5.08%     |
