Test Case: L40S_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       2.47       |        2.5        |       2.52       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.14%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       2.47       |        2.5        |       2.53       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.29%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       2.56       |       2.58        |       2.59       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.56%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       2.53       |       2.56        |       2.59       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.12%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       2.55       |       2.57        |       2.58       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.23%     |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       2.59       |       2.65        |       2.71       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.39%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       2.66       |        2.7        |       2.75       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.55%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       2.82       |       2.85        |       2.89       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.14%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       2.84       |       2.87        |       2.89       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    32.05%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.02       |       3.06        |       3.09       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    60.28%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       3.34       |       3.38        |       3.41       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    109.01%    |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       4.12       |       4.15        |       4.19       |        11.1        | 1.05e+06 | 3.15e+06 |      0.56%       |    176.74%    |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       5.69       |       5.72        |       5.75       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    255.95%    |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |       8.74       |       8.78        |       8.83       |       38.41        | 4.19e+06 | 1.26e+07 |      1.05%       |    333.26%    |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       1.8        |       1.82        |       1.85       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.2%      |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       2.45       |       2.47        |       2.49       |        2.01        | 1.02e+03 | 3.07e+03 |       0.0%       |     0.29%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       2.53       |       2.58        |       2.63       |        2.02        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.56%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       2.57       |        2.6        |       2.63       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.11%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       2.57       |        2.6        |       2.64       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.21%     |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       2.44       |       2.48        |       2.51       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.66%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       2.7        |       2.75        |       2.82       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.43%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       2.79       |       2.82        |       2.84       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.31%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       2.88       |       2.91        |       2.94       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |     31.6%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.06       |       3.09        |       3.12       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    59.49%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       3.48       |       3.55        |       3.63       |        6.55        | 5.24e+05 | 1.57e+06 |      0.33%       |    104.62%    |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       4.18       |       4.21        |       4.25       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    174.21%    |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       5.73       |       5.77        |       5.82       |        20.2        | 2.10e+06 | 6.29e+06 |       0.8%       |    254.16%    |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |       8.75       |       8.78        |       8.82       |       38.41        | 4.19e+06 | 1.26e+07 |      1.05%       |    332.88%    |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |       14.8       |       14.92       |      15.02       |       74.82        | 8.39e+06 | 2.52e+07 |      1.24%       |    393.61%    |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |      45.08       |       45.2        |       45.3       |       147.64       | 1.68e+07 | 5.03e+07 |      0.81%       |    258.45%    |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       1.88       |       1.94        |       2.01       |        2.01        | 7.68e+02 | 2.30e+03 |       0.0%       |     0.28%     |
