Test Case: L40S_aten_baddbmm
|  B  |  M  |  K   |  N   |                       input_shape                       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  8  |  8  |  32  |  32  |          [[8, 8, 32], [8, 8, 32], [8, 32, 32]]          | bf16  |      28.83       |       29.03       |      29.14       |        2.04        | 1.31e+05 | 1.23e+04 |       0.0%       |     0.1%      |
| 16  |  8  |  32  |  32  |        [[16, 8, 32], [16, 8, 32], [16, 32, 32]]         | bf16  |      28.84       |       28.98       |      29.27       |        2.07        | 2.62e+05 | 2.46e+04 |       0.0%       |     0.2%      |
| 32  |  8  |  32  |  32  |        [[32, 8, 32], [32, 8, 32], [32, 32, 32]]         | bf16  |      28.98       |       29.13       |      29.27       |        2.14        | 5.24e+05 | 4.92e+04 |       0.0%       |     0.39%     |
| 64  |  8  |  32  |  32  |        [[64, 8, 32], [64, 8, 32], [64, 32, 32]]         | bf16  |      28.88       |       29.08       |      29.24       |        2.28        | 1.05e+06 | 9.83e+04 |      0.01%       |     0.79%     |
| 128 |  8  |  32  |  32  |       [[128, 8, 32], [128, 8, 32], [128, 32, 32]]       | bf16  |      28.84       |       29.1        |      29.72       |        2.57        | 2.10e+06 | 1.97e+05 |      0.02%       |     1.58%     |
|  1  | 32  |  32  |  32  |         [[1, 32, 32], [1, 32, 32], [1, 32, 32]]         | bf16  |      31.82       |       31.99       |      32.21       |        2.01        | 6.55e+04 | 3.07e+03 |       0.0%       |     0.02%     |
|  2  | 32  |  32  |  32  |         [[2, 32, 32], [2, 32, 32], [2, 32, 32]]         | bf16  |       28.9       |       29.1        |      29.33       |        2.02        | 1.31e+05 | 6.14e+03 |       0.0%       |     0.05%     |
|  4  | 32  |  32  |  32  |         [[4, 32, 32], [4, 32, 32], [4, 32, 32]]         | bf16  |      29.12       |       29.28       |      29.43       |        2.04        | 2.62e+05 | 1.23e+04 |       0.0%       |     0.1%      |
|  8  | 32  |  32  |  32  |         [[8, 32, 32], [8, 32, 32], [8, 32, 32]]         | bf16  |      29.01       |       29.15       |      29.33       |        2.07        | 5.24e+05 | 2.46e+04 |       0.0%       |     0.2%      |
| 16  | 32  |  32  |  32  |       [[16, 32, 32], [16, 32, 32], [16, 32, 32]]        | bf16  |      28.82       |       29.01       |      29.39       |        2.14        | 1.05e+06 | 4.92e+04 |      0.01%       |     0.39%     |
| 32  | 32  |  32  |  32  |       [[32, 32, 32], [32, 32, 32], [32, 32, 32]]        | bf16  |       29.0       |       29.26       |      29.68       |        2.28        | 2.10e+06 | 9.83e+04 |      0.02%       |     0.78%     |
| 64  | 32  |  32  |  32  |       [[64, 32, 32], [64, 32, 32], [64, 32, 32]]        | bf16  |      28.91       |       29.12       |      29.57       |        2.57        | 4.19e+06 | 1.97e+05 |      0.04%       |     1.57%     |
| 128 | 32  |  32  |  32  |      [[128, 32, 32], [128, 32, 32], [128, 32, 32]]      | bf16  |      28.75       |       29.04       |      29.38       |        3.14        | 8.39e+06 | 3.93e+05 |      0.08%       |     3.17%     |
|  1  | 64  |  32  |  32  |         [[1, 64, 32], [1, 64, 32], [1, 32, 32]]         | bf16  |      31.97       |       32.07       |      32.28       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.04%     |
|  2  | 64  |  32  |  32  |         [[2, 64, 32], [2, 64, 32], [2, 32, 32]]         | bf16  |       28.7       |       29.04       |       29.5       |        2.03        | 2.62e+05 | 1.02e+04 |       0.0%       |     0.08%     |
|  4  | 64  |  32  |  32  |         [[4, 64, 32], [4, 64, 32], [4, 32, 32]]         | bf16  |      29.06       |       29.35       |      29.93       |        2.06        | 5.24e+05 | 2.05e+04 |       0.0%       |     0.16%     |
|  8  | 64  |  32  |  32  |         [[8, 64, 32], [8, 64, 32], [8, 32, 32]]         | bf16  |      29.01       |       29.28       |      29.68       |        2.12        | 1.05e+06 | 4.10e+04 |      0.01%       |     0.33%     |
| 16  | 64  |  32  |  32  |       [[16, 64, 32], [16, 64, 32], [16, 32, 32]]        | bf16  |      29.13       |       29.25       |      29.36       |        2.24        | 2.10e+06 | 8.19e+04 |      0.02%       |     0.65%     |
| 32  | 64  |  32  |  32  |       [[32, 64, 32], [32, 64, 32], [32, 32, 32]]        | bf16  |      29.16       |       29.41       |      30.02       |        2.47        | 4.19e+06 | 1.64e+05 |      0.04%       |     1.3%      |
| 64  | 64  |  32  |  32  |       [[64, 64, 32], [64, 64, 32], [64, 32, 32]]        | bf16  |      29.06       |       29.21       |      29.49       |        2.95        | 8.39e+06 | 3.28e+05 |      0.08%       |     2.61%     |
| 128 | 64  |  32  |  32  |      [[128, 64, 32], [128, 64, 32], [128, 32, 32]]      | bf16  |      29.39       |       29.47       |      29.61       |        3.9         | 1.68e+07 | 6.55e+05 |      0.16%       |     5.16%     |
|  1  | 128 |  32  |  32  |        [[1, 128, 32], [1, 128, 32], [1, 32, 32]]        | bf16  |      32.03       |       32.22       |      32.45       |        2.03        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.07%     |
|  2  | 128 |  32  |  32  |        [[2, 128, 32], [2, 128, 32], [2, 32, 32]]        | bf16  |      29.03       |       29.22       |       29.5       |        2.05        | 5.24e+05 | 1.84e+04 |       0.0%       |     0.15%     |
|  4  | 128 |  32  |  32  |        [[4, 128, 32], [4, 128, 32], [4, 32, 32]]        | bf16  |      29.02       |       29.24       |      29.38       |        2.11        | 1.05e+06 | 3.69e+04 |      0.01%       |     0.29%     |
|  8  | 128 |  32  |  32  |        [[8, 128, 32], [8, 128, 32], [8, 32, 32]]        | bf16  |      29.22       |       29.32       |      29.51       |        2.21        | 2.10e+06 | 7.37e+04 |      0.02%       |     0.58%     |
| 16  | 128 |  32  |  32  |      [[16, 128, 32], [16, 128, 32], [16, 32, 32]]       | bf16  |      28.97       |       29.17       |      29.38       |        2.43        | 4.19e+06 | 1.47e+05 |      0.04%       |     1.18%     |
| 32  | 128 |  32  |  32  |      [[32, 128, 32], [32, 128, 32], [32, 32, 32]]       | bf16  |      29.16       |       29.26       |      29.35       |        2.85        | 8.39e+06 | 2.95e+05 |      0.08%       |     2.34%     |
| 64  | 128 |  32  |  32  |      [[64, 128, 32], [64, 128, 32], [64, 32, 32]]       | bf16  |      29.03       |       29.18       |      29.42       |        3.71        | 1.68e+07 | 5.90e+05 |      0.16%       |     4.7%      |
| 128 | 128 |  32  |  32  |     [[128, 128, 32], [128, 128, 32], [128, 32, 32]]     | bf16  |      28.58       |       28.72       |      28.84       |        5.41        | 3.36e+07 | 1.18e+06 |      0.32%       |     9.55%     |
|  1  | 256 |  32  |  32  |        [[1, 256, 32], [1, 256, 32], [1, 32, 32]]        | bf16  |      32.05       |       32.23       |      32.66       |        2.05        | 5.24e+05 | 1.74e+04 |       0.0%       |     0.13%     |
|  2  | 256 |  32  |  32  |        [[2, 256, 32], [2, 256, 32], [2, 32, 32]]        | bf16  |      28.89       |       29.04       |      29.28       |        2.1         | 1.05e+06 | 3.48e+04 |      0.01%       |     0.28%     |
|  4  | 256 |  32  |  32  |        [[4, 256, 32], [4, 256, 32], [4, 32, 32]]        | bf16  |      29.16       |       29.38       |      29.68       |        2.2         | 2.10e+06 | 6.96e+04 |      0.02%       |     0.55%     |
