test case : L40S_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 8, 1, 64], [8, 8, 1, 64], [8, 8, 1, 64]]           |  bf16  |       5.51       |       5.53        |       5.56       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.60e-06      |      9.15e-06      |      7.40e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 8, 1, 64], [16, 8, 1, 64], [16, 8, 1, 64]]          |  bf16  |       5.51       |       5.53        |       5.58       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.19e-06      |      1.83e-05      |      1.48e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 8, 1, 64], [32, 8, 1, 64], [32, 8, 1, 64]]          |  bf16  |       5.54       |       5.55        |       5.58       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.43e-05      |      3.64e-05      |      2.94e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.49%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 16, 1, 64], [1, 16, 1, 64], [1, 16, 1, 64]]          |  bf16  |       5.49       |       5.51        |       5.56       |       2.02        |   [112]   |      [2048, 2048]      |   [16]    |      9.02e-07      |      2.29e-06      |      1.85e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.35%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 16, 1, 64], [2, 16, 1, 64], [2, 16, 1, 64]]          |  bf16  |       5.48       |       5.51        |       5.52       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.81e-06      |      4.59e-06      |      3.72e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.70%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 16, 1, 64], [4, 16, 1, 64], [4, 16, 1, 64]]          |  bf16  |       5.52       |       5.54        |       5.56       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.59e-06      |      9.12e-06      |      7.38e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 16, 1, 64], [8, 16, 1, 64], [8, 16, 1, 64]]          |  bf16  |       5.50       |       5.55        |       5.57       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.20e-06      |      1.83e-05      |      1.48e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 16, 1, 64], [16, 16, 1, 64], [16, 16, 1, 64]]        |  bf16  |       5.54       |       5.56        |       5.59       |       2.38        |  [1792]   |     [32768, 32768]     |   [256]   |      1.43e-05      |      3.64e-05      |      2.94e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    5.48%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 16, 1, 64], [32, 16, 1, 64], [32, 16, 1, 64]]        |  bf16  |       5.55       |       5.56        |       5.57       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.86e-05      |      7.26e-05      |      5.88e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.01%        |    10.94%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 32, 1, 64], [1, 32, 1, 64], [1, 32, 1, 64]]          |  bf16  |       5.51       |       5.52        |       5.54       |       2.05        |   [224]   |      [4096, 4096]      |   [32]    |      1.80e-06      |      4.57e-06      |      3.70e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.69%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 32, 1, 64], [2, 32, 1, 64], [2, 32, 1, 64]]          |  bf16  |       5.57       |       5.58        |       5.62       |       2.10        |   [448]   |      [8192, 8192]      |   [64]    |      3.56e-06      |      9.05e-06      |      7.32e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    1.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 32, 1, 64], [4, 32, 1, 64], [4, 32, 1, 64]]          |  bf16  |       5.56       |       5.58        |       5.60       |       2.19        |   [896]   |     [16384, 16384]     |   [128]   |      7.12e-06      |      1.81e-05      |      1.47e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    2.73%     |
