Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       3.11       |       3.14        |       3.17       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.37%        |        0.37%         |     9.76%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       3.5        |       3.54        |       3.6        |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.65%        |        0.65%         |    17.34%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       4.76       |        4.8        |       4.85       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.96%        |        0.96%         |     25.5%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |       7.29       |       7.32        |       7.34       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.26%        |        1.26%         |     33.3%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      12.21       |       12.26       |      12.31       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.5%         |         1.5%         |    39.76%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      22.03       |       22.09       |      22.17       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.66%        |        1.66%         |    44.07%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      41.51       |       41.56       |       41.6       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.76%        |        1.76%         |    46.78%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       2.05       |       2.07        |       2.08       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.03%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       2.09       |        2.1        |       2.12       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.06%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       2.12       |       2.14        |       2.19       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.11%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       2.45       |       2.51        |       2.55       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.19%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       2.46       |        2.5        |       2.54       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.39%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       2.45       |       2.48        |       2.51       |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.77%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       2.51       |       2.54        |       2.56       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.06%        |        0.06%         |     1.51%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       2.64       |       2.65        |       2.68       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.11%        |        0.11%         |     2.87%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       2.66       |       2.68        |       2.72       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.22%        |        0.22%         |     5.7%      |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       2.86       |        2.9        |       2.94       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.4%         |         0.4%         |    10.61%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       3.13       |       3.16        |       3.18       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.73%        |        0.73%         |    19.39%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       3.49       |       3.52        |       3.55       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.31%        |        1.31%         |    34.77%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       4.78       |       4.82        |       4.86       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.92%        |        1.92%         |    50.78%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |       7.52       |       7.64        |       7.76       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        2.44%        |        2.44%         |    64.55%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      12.35       |       12.37       |       12.4       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        2.97%        |        2.97%         |    78.62%     |
