Test Case: L40S_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       3.76       |       3.81        |       3.92       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.3%         |         0.3%         |     8.07%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       4.36       |       4.38        |       4.39       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.53%        |        0.53%         |    13.92%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       6.33       |       6.38        |       6.42       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.72%        |        0.72%         |    19.17%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      10.22       |       10.25       |       10.3       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.9%         |         0.9%         |    23.75%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      17.64       |       17.66       |       17.7       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.04%        |        1.04%         |    27.52%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      32.24       |       32.25       |      32.28       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        1.14%        |        1.14%         |    30.11%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      61.39       |       61.43       |      61.48       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.19%        |        1.19%         |    31.63%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       2.32       |       2.35        |       2.4        |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.03%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       2.35       |       2.36        |       2.42       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.05%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       2.38       |       2.41        |       2.43       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.1%      |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       2.41       |       2.42        |       2.44       |        2.01        | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.2%      |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       2.87       |       2.91        |       2.95       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.33%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       2.87       |       2.91        |       2.97       |        2.02        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.66%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       2.9        |       2.93        |       2.96       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     1.31%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       3.01       |       3.03        |       3.05       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.1%         |         0.1%         |     2.52%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       3.05       |       3.07        |       3.15       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.19%        |        0.19%         |     4.97%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       3.34       |       3.37        |       3.43       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.34%        |        0.34%         |     9.08%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       3.72       |       3.75        |       3.82       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.62%        |        0.62%         |    16.31%     |
| 2048  |  128  |  [128]  | 0.0001  |  [[2048, 128]]   | bf16  |       4.33       |       4.34        |       4.37       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.06%        |        1.06%         |    28.03%     |
| 4096  |  128  |  [128]  | 0.0001  |  [[4096, 128]]   | bf16  |       6.32       |       6.35        |       6.38       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.45%        |        1.45%         |    38.41%     |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      10.25       |       10.28       |      10.31       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.79%        |        1.79%         |    47.36%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      17.66       |       17.69       |      17.75       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        2.07%        |        2.07%         |    54.98%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      32.33       |       32.36       |      32.43       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        2.27%        |        2.27%         |    60.06%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      61.44       |       61.49       |      61.53       |       50.55        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        2.38%        |        2.38%         |    63.21%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       2.39       |       2.41        |       2.47       |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.04%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       2.42       |       2.44        |       2.47       |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.07%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       2.38       |       2.48        |       2.59       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.01%        |        0.01%         |     0.15%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       2.44       |       2.47        |       2.51       |        2.01        | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.29%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       2.96       |       2.97        |       3.0        |        2.02        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.48%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       2.92       |       2.95        |       2.98       |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.04%        |        0.04%         |     0.97%     |
|  64   |  192  |  [192]  | 0.0001  |   [[64, 192]]    | bf16  |       3.0        |       3.03        |       3.1        |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.07%        |        0.07%         |     1.9%      |
|  128  |  192  |  [192]  | 0.0001  |   [[128, 192]]   | bf16  |       3.1        |       3.13        |       3.18       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.14%        |        0.14%         |     3.67%     |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       3.17       |       3.18        |       3.2        |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.27%        |        0.27%         |     7.18%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       3.44       |       3.48        |       3.51       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.5%         |         0.5%         |    13.23%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       3.88       |       3.97        |       4.04       |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.89%        |        0.89%         |    23.46%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       4.55       |       4.58        |       4.61       |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.51%        |        1.51%         |    40.01%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |       6.78       |       6.81        |       6.82       |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.03%        |        2.03%         |     53.7%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |      11.17       |       11.26       |      11.51       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        2.46%        |        2.46%         |    65.19%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      19.25       |       19.27       |      19.32       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        2.85%        |        2.85%         |    75.65%     |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      35.41       |       35.46       |       35.5       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        3.1%         |         3.1%         |    82.26%     |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      69.72       |       69.8        |      69.85       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        3.15%        |        3.15%         |    83.55%     |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       3.87       |        3.9        |       3.95       |        2.02        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.01%        |        0.01%         |     0.37%     |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       3.93       |       3.96        |       4.0        |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.72%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       3.95       |       3.96        |       4.0        |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.05%        |        0.05%         |     1.44%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       3.99       |       4.01        |       4.06       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.11%        |        0.11%         |     2.85%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       5.08       |       5.11        |       5.15       |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.17%        |        0.17%         |     4.48%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       5.06       |       5.09        |       5.13       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.34%        |        0.34%         |     8.99%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       5.15       |       5.17        |       5.2        |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.67%        |        0.67%         |    17.67%     |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       5.2        |       5.23        |       5.3        |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.32%        |        1.32%         |    35.01%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       5.39       |       5.41        |       5.45       |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.55%        |        2.55%         |    67.55%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       6.54       |       6.58        |       6.63       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        4.2%         |         4.2%         |    111.34%    |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |       10.0       |       10.14       |      10.28       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        5.49%        |        5.49%         |    145.64%    |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |       13.8       |       13.86       |      13.97       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        7.96%        |        7.96%         |    211.07%    |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      23.62       |       23.86       |      23.99       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        9.31%        |        9.31%         |    246.63%    |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      141.78      |      142.09       |      142.34      |       147.64       | 2.01e+08 | 2.52e+07  | 5.03e+07 |        3.1%         |         3.1%         |    82.18%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      305.19      |      307.49       |      308.39      |       293.27       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        2.88%        |        2.88%         |    76.35%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      613.35      |      614.95       |      615.53      |       584.54       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        2.87%        |        2.87%         |    75.98%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |     1227.43      |      1231.2       |     1233.38      |      1167.08       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        2.87%        |        2.87%         |    75.94%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       5.6        |       5.63        |       5.66       |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.02%        |        0.02%         |     0.51%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       5.72       |       5.74        |       5.79       |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.04%        |        0.04%         |     0.99%     |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       5.76       |       5.78        |       5.79       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.07%        |        0.07%         |     1.98%     |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       5.75       |       5.77        |       5.79       |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.15%        |        0.15%         |     3.96%     |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       7.55       |       7.56        |       7.57       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.23%        |        0.23%         |     6.03%     |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       7.55       |       7.57        |       7.58       |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.45%        |        0.45%         |    12.06%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       7.6        |       7.61        |       7.63       |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        0.9%         |         0.9%         |    23.95%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       7.64       |       7.68        |       7.7        |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        1.8%         |         1.8%         |    47.66%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       7.91       |       7.93        |       7.95       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.47%        |        3.47%         |    92.06%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      10.14       |       10.19       |      10.23       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        5.42%        |        5.42%         |    143.62%    |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      17.19       |       17.25       |      17.31       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        6.39%        |        6.39%         |    169.44%    |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      26.04       |       26.07       |       26.1       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        8.44%        |        8.44%         |    223.71%    |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      134.42      |       136.1       |      136.63      |       147.64       | 2.01e+08 | 2.52e+07  | 5.03e+07 |        3.27%        |        3.27%         |    86.67%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      305.3       |      305.98       |      306.38      |       293.27       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        2.88%        |        2.88%         |    76.32%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      610.77      |       611.1       |      611.56      |       584.54       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        2.88%        |        2.88%         |     76.3%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      1219.7      |      1220.35      |     1220.76      |      1167.08       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        2.88%        |        2.88%         |    76.42%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     2427.99      |      2429.8       |     2430.53      |      2332.17       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        2.9%         |         2.9%         |    76.78%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       6.75       |       6.77        |       6.81       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.02%        |        0.02%         |     0.56%     |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       6.88       |       6.91        |       6.97       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.04%        |        0.04%         |     1.1%      |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       6.95       |       6.98        |       7.01       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.08%        |        0.08%         |     2.18%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       6.95       |       6.97        |       6.99       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.16%        |        0.16%         |     4.37%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       9.3        |       9.34        |       9.4        |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.25%        |        0.25%         |     6.52%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       9.3        |       9.34        |       9.38       |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.49%        |        0.49%         |    13.05%     |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |       9.35       |       9.38        |       9.44       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.98%        |        0.98%         |    25.96%     |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |       9.4        |       9.43        |       9.52       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.95%        |        1.95%         |    51.64%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |       9.77       |       9.82        |       9.89       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        3.75%        |        3.75%         |    99.38%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      15.48       |       15.56       |      15.64       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        4.73%        |        4.73%         |    125.44%    |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      21.42       |       21.5        |      21.55       |       50.55        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        6.84%        |        6.84%         |    181.31%    |
| 2048  | 8192  | [8192]  | 0.0001  |  [[2048, 8192]]  | bf16  |      43.78       |       44.31       |      44.59       |       99.09        | 1.34e+08 | 1.68e+07  | 3.36e+07 |        6.69%        |        6.69%         |    177.42%    |
| 4096  | 8192  | [8192]  | 0.0001  |  [[4096, 8192]]  | bf16  |      201.73      |       202.6       |      202.96      |       196.18       | 2.68e+08 | 3.36e+07  | 6.71e+07 |        2.91%        |        2.91%         |    77.01%     |
| 8192  | 8192  | [8192]  | 0.0001  |  [[8192, 8192]]  | bf16  |      409.07      |      409.29       |      409.56      |       390.36       | 5.37e+08 | 6.71e+07  | 1.34e+08 |        2.87%        |        2.87%         |    75.95%     |
| 16384 | 8192  | [8192]  | 0.0001  | [[16384, 8192]]  | bf16  |      818.04      |       818.5       |      818.93      |       778.72       | 1.07e+09 | 1.34e+08  | 2.68e+08 |        2.87%        |        2.87%         |    75.96%     |
| 32768 | 8192  | [8192]  | 0.0001  | [[32768, 8192]]  | bf16  |     1637.11      |      1637.74      |     1638.12      |      1555.45       | 2.15e+09 | 2.68e+08  | 5.37e+08 |        2.86%        |        2.86%         |    75.91%     |
| 65536 | 8192  | [8192]  | 0.0001  | [[65536, 8192]]  | bf16  |     3274.86      |      3276.09      |     3277.29      |      3108.89       | 4.29e+09 | 5.37e+08  | 1.07e+09 |        2.86%        |        2.86%         |     75.9%     |
|   1   | 13824 | [13824] | 0.0001  |   [[1, 13824]]   | bf16  |      10.01       |       10.11       |      10.19       |        2.08        | 1.11e+05 | 1.38e+04  | 2.76e+04 |        0.02%        |        0.02%         |     0.64%     |
|   2   | 13824 | [13824] | 0.0001  |   [[2, 13824]]   | bf16  |      10.07       |       10.11       |      10.15       |        2.16        | 2.21e+05 | 2.76e+04  | 5.53e+04 |        0.05%        |        0.05%         |     1.27%     |
