Test Case: L40S_aten_contiguous
|   M   |  N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  256  | 512  | N/A |    [[256, 512]]    | bf16  |       1.43       |       1.47        |       1.51       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    42.43%     |
|  512  | 512  | N/A |    [[512, 512]]    | bf16  |       1.45       |       1.52        |       1.61       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |     83.7%     |
| 1024  | 512  | N/A |   [[1024, 512]]    | bf16  |       1.45       |       1.47        |       1.5        |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    167.4%     |
| 2048  | 512  | N/A |   [[2048, 512]]    | bf16  |       1.43       |       1.48        |       1.54       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    339.48%    |
| 4096  | 512  | N/A |   [[4096, 512]]    | bf16  |       1.43       |       1.46        |       1.49       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    678.95%    |
| 8192  | 512  | N/A |   [[8192, 512]]    | bf16  |       1.43       |       1.48        |       1.55       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1357.91%    |
| 16384 | 512  | N/A |   [[16384, 512]]   | bf16  |       1.43       |       1.47        |       1.52       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2715.81%    |
| 32768 | 512  | N/A |   [[32768, 512]]   | bf16  |       1.44       |       1.46        |       1.49       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5393.91%    |
|  32   | 768  | N/A |    [[32, 768]]     | bf16  |       1.45       |       1.51        |       1.59       |        2.14        | 0.00e+00 | 4.92e+04 |        0%        |     7.85%     |
|  64   | 768  | N/A |    [[64, 768]]     | bf16  |       1.4        |       1.45        |       1.5        |        2.28        | 0.00e+00 | 9.83e+04 |        0%        |    16.25%     |
|  128  | 768  | N/A |    [[128, 768]]    | bf16  |       1.46       |        1.5        |       1.56       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    31.17%     |
|  256  | 768  | N/A |    [[256, 768]]    | bf16  |       1.44       |       1.49        |       1.53       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    63.21%     |
|  512  | 768  | N/A |    [[512, 768]]    | bf16  |       1.45       |       1.48        |       1.51       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    125.55%    |
| 1024  | 768  | N/A |   [[1024, 768]]    | bf16  |       1.44       |       1.46        |       1.49       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    252.84%    |
| 2048  | 768  | N/A |   [[2048, 768]]    | bf16  |       1.44       |       1.47        |       1.49       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    505.68%    |
| 4096  | 768  | N/A |   [[4096, 768]]    | bf16  |       1.44       |        1.5        |       1.57       |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1011.36%    |
| 8192  | 768  | N/A |   [[8192, 768]]    | bf16  |       1.44       |       1.49        |       1.54       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2022.72%    |
| 16384 | 768  | N/A |   [[16384, 768]]   | bf16  |       1.48       |       1.52        |       1.56       |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |    3936.1%    |
| 32768 | 768  | N/A |   [[32768, 768]]   | bf16  |       1.48       |       1.52        |       1.57       |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |   7872.19%    |
|  32   | 2048 | N/A |    [[32, 2048]]    | bf16  |       1.44       |       1.47        |       1.51       |        2.38        | 0.00e+00 | 1.31e+05 |        0%        |    21.07%     |
|  64   | 2048 | N/A |    [[64, 2048]]    | bf16  |       1.46       |       1.49        |       1.51       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    41.56%     |
|  128  | 2048 | N/A |   [[128, 2048]]    | bf16  |       1.46       |       1.47        |       1.49       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    83.13%     |
|  256  | 2048 | N/A |   [[256, 2048]]    | bf16  |       1.46       |       1.49        |       1.53       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    166.25%    |
|  512  | 2048 | N/A |   [[512, 2048]]    | bf16  |       1.47       |        1.5        |       1.53       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    330.24%    |
| 1024  | 2048 | N/A |   [[1024, 2048]]   | bf16  |       1.45       |       1.48        |       1.51       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    669.59%    |
| 2048  | 2048 | N/A |   [[2048, 2048]]   | bf16  |       1.45       |       1.48        |       1.5        |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1339.18%    |
| 4096  | 2048 | N/A |   [[4096, 2048]]   | bf16  |       1.44       |       1.48        |       1.52       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2696.95%    |
| 8192  | 2048 | N/A |   [[8192, 2048]]   | bf16  |       1.41       |       1.45        |       1.5        |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5508.67%    |
| 16384 | 2048 | N/A |  [[16384, 2048]]   | bf16  |       1.47       |        1.5        |       1.53       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   10567.66%   |
| 32768 | 2048 | N/A |  [[32768, 2048]]   | bf16  |       1.44       |       1.47        |       1.49       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   21575.64%   |
|  32   | 3072 | N/A |    [[32, 3072]]    | bf16  |       1.45       |       1.48        |       1.51       |        2.57        | 0.00e+00 | 1.97e+05 |        0%        |    31.39%     |
|  64   | 3072 | N/A |    [[64, 3072]]    | bf16  |       1.44       |       1.48        |       1.52       |        3.14        | 0.00e+00 | 3.93e+05 |        0%        |    63.21%     |
|  128  | 3072 | N/A |   [[128, 3072]]    | bf16  |       1.45       |       1.49        |       1.52       |        4.28        | 0.00e+00 | 7.86e+05 |        0%        |    125.55%    |
|  256  | 3072 | N/A |   [[256, 3072]]    | bf16  |       1.42       |       1.48        |       1.55       |        6.55        | 0.00e+00 | 1.57e+06 |        0%        |    256.4%     |
|  512  | 3072 | N/A |   [[512, 3072]]    | bf16  |       1.46       |       1.49        |       1.52       |        11.1        | 0.00e+00 | 3.15e+06 |        0%        |    498.75%    |
| 1024  | 3072 | N/A |   [[1024, 3072]]   | bf16  |       1.43       |       1.47        |       1.5        |        20.2        | 0.00e+00 | 6.29e+06 |        0%        |   1018.43%    |
| 2048  | 3072 | N/A |   [[2048, 3072]]   | bf16  |       1.44       |       1.48        |       1.53       |       38.41        | 0.00e+00 | 1.26e+07 |        0%        |   2022.72%    |
| 4096  | 3072 | N/A |   [[4096, 3072]]   | bf16  |       1.45       |       1.47        |       1.5        |       74.82        | 0.00e+00 | 2.52e+07 |        0%        |   4017.53%    |
| 8192  | 3072 | N/A |   [[8192, 3072]]   | bf16  |       1.45       |       1.48        |       1.5        |       147.64       | 0.00e+00 | 5.03e+07 |        0%        |   8035.07%    |
| 16384 | 3072 | N/A |  [[16384, 3072]]   | bf16  |       1.45       |       1.52        |       1.6        |       293.27       | 0.00e+00 | 1.01e+08 |        0%        |   16070.13%   |
| 32768 | 3072 | N/A |  [[32768, 3072]]   | bf16  |       1.45       |        1.5        |       1.55       |       584.54       | 0.00e+00 | 2.01e+08 |        0%        |   32140.26%   |
|  32   | 4096 | N/A |    [[32, 4096]]    | bf16  |       1.45       |       1.49        |       1.55       |        2.76        | 0.00e+00 | 2.62e+05 |        0%        |    41.85%     |
|  64   | 4096 | N/A |    [[64, 4096]]    | bf16  |       1.44       |       1.51        |       1.58       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    84.28%     |
|  128  | 4096 | N/A |   [[128, 4096]]    | bf16  |       1.43       |       1.46        |       1.5        |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    169.74%    |
|  256  | 4096 | N/A |   [[256, 4096]]    | bf16  |       1.43       |       1.47        |       1.51       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    339.48%    |
|  512  | 4096 | N/A |   [[512, 4096]]    | bf16  |       1.44       |       1.48        |       1.51       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    674.24%    |
| 1024  | 4096 | N/A |   [[1024, 4096]]   | bf16  |       1.47       |       1.51        |       1.54       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1320.96%    |
| 2048  | 4096 | N/A |   [[2048, 4096]]   | bf16  |       1.44       |       1.47        |       1.51       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2696.95%    |
| 4096  | 4096 | N/A |   [[4096, 4096]]   | bf16  |       1.41       |       1.47        |       1.54       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5508.67%    |
| 8192  | 4096 | N/A |   [[8192, 4096]]   | bf16  |       1.4        |       1.44        |       1.49       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   11096.04%   |
| 16384 | 4096 | N/A |  [[16384, 4096]]   | bf16  |       1.42       |       1.47        |       1.52       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   21879.52%   |
| 32768 | 4096 | N/A |  [[32768, 4096]]   | bf16  |       1.44       |       1.48        |       1.52       |       778.72       | 0.00e+00 | 2.68e+08 |        0%        |   43151.28%   |
|  32   | 8192 | N/A |    [[32, 8192]]    | bf16  |       1.49       |       1.51        |       1.53       |        3.52        | 0.00e+00 | 5.24e+05 |        0%        |    81.45%     |
|  64   | 8192 | N/A |    [[64, 8192]]    | bf16  |       1.48       |       1.54        |       1.61       |        5.03        | 0.00e+00 | 1.05e+06 |        0%        |    164.0%     |
|  128  | 8192 | N/A |   [[128, 8192]]    | bf16  |       1.42       |       1.45        |       1.48       |        8.07        | 0.00e+00 | 2.10e+06 |        0%        |    341.87%    |
|  256  | 8192 | N/A |   [[256, 8192]]    | bf16  |       1.41       |       1.44        |       1.47       |       14.14        | 0.00e+00 | 4.19e+06 |        0%        |    688.58%    |
|  512  | 8192 | N/A |   [[512, 8192]]    | bf16  |       1.41       |       1.45        |       1.51       |       26.27        | 0.00e+00 | 8.39e+06 |        0%        |   1377.17%    |
| 1024  | 8192 | N/A |   [[1024, 8192]]   | bf16  |       1.39       |       1.49        |       1.61       |       50.55        | 0.00e+00 | 1.68e+07 |        0%        |   2793.97%    |
| 2048  | 8192 | N/A |   [[2048, 8192]]   | bf16  |       1.42       |       1.49        |       1.59       |       99.09        | 0.00e+00 | 3.36e+07 |        0%        |   5469.88%    |
| 4096  | 8192 | N/A |   [[4096, 8192]]   | bf16  |       2.33       |       2.39        |       2.45       |       196.18       | 0.00e+00 | 6.71e+07 |        0%        |   6667.15%    |
| 8192  | 8192 | N/A |   [[8192, 8192]]   | bf16  |       1.46       |       1.52        |       1.59       |       390.36       | 0.00e+00 | 1.34e+08 |        0%        |   21280.08%   |
| 16384 | 8192 | N/A |  [[16384, 8192]]   | bf16  |       1.44       |       1.49        |       1.54       |       778.72       | 0.00e+00 | 2.68e+08 |        0%        |   43151.28%   |
| 32768 | 8192 | N/A |  [[32768, 8192]]   | bf16  |       1.44       |        1.5        |       1.56       |      1555.45       | 0.00e+00 | 5.37e+08 |        0%        |   86302.55%   |
